line	pos	sign	conf	value	grade
Passage 2a	21	55		p	C
Passage 2a	22	7		e	C
Carta 106	1	19		e	C
Carta 106	2	4		s	C
Carta 106	3	3		t	C
Carta 106	4	y		a	C
Carta 106	5	10		h	C
Carta 106	6	8		i	C
Carta 106	7	26		u	M
Carta 106	8	22		i	C
Carta 106	9	26		u	M
Carta 106	10	7		e	C
Carta 106	11	12		r	C
Carta 106	12	2		d	M
Carta 106	13	15		o	C
Carta 106	14	55		p	C
Carta 106	15	2		d	M
Carta 106	16	2		d	M
Carta 106	17	19		e	C
Carta 106	18	21		b	C
Carta 106	19	15		o	C
Carta 106	20	20		l	C
Carta 106	21	8		i	C
Carta 106	22	14		n	C
Carta 106	23	d		o	M
Carta 106	24	21		b	C
Carta 106	25	12		r	C
Carta 106	26	15		o	C
Carta 106	27	26		u	M
Carta 106	28	55		p	C
Carta 106	29	4		s	C
Carta 106	30	7		e	C
Carta 106	31	52		r	C
Carta 106	32	18		m	C
Carta 106	33	15		o	C
Carta 106	34	4		s	C
Carta 106	35	26		u	M
Carta 106	36	2		d	M
Carta 106	37	14		n	C
Carta 106	38	2		d	M
Carta 106	39	8		i	C
Carta 106	40	2		d	M
Carta 106	41	15		o	C
Carta 106	42	4		s	C
Carta 107	1	21		b	C
Carta 107	2	19		e	C
Carta 107	3	18		m	C
Carta 107	4	20		l	C
Carta 107	5	8		i	C
Carta 107	6	26		u	M
Carta 107	7	12		r	C
Carta 107	8	17		a	C
Carta 107	9	2		d	M
Carta 107	10	15		o	C
Carta 107	11	4		s	C
Carta 107	12	13		q	C
Carta 107	13	26		u	M
Carta 107	14	19		e	C
Carta 107	15	2		d	M
Carta 107	16	26		u	M
Passage 2a	1	19		e	C
Passage 2a	2	4		s	C
Passage 2a	3	3		t	C
Passage 2a	4	19		e	C
Passage 2a	5	26		u	M
Passage 2a	6	7		e	C
Passage 2a	7	20		l	C
Passage 2a	8	10		h	C
Passage 2a	9	17		a	C
Passage 2a	10	5		c	C
Passage 2a	11	15		o	C
Passage 2a	12	21		b	C
Passage 2a	13	c		u	M
Passage 2a	14	20		l	C
Passage 2a	15	8		i	C
Passage 2a	16	14		n	C
Passage 2a	17	21		b	C
Passage 2a	18	12		r	C
Passage 2a	19	c		u	M
Passage 2a	20	17		a	C
Passage 2a	21	10		h	C
Passage 2a	22	7		e	C
Passage 2a	23	m		n	C
Passage 2a	24	15		o	C
Passage 2a	25	4		s	C
Passage 2a	26	f		s	C
Passage 2a	27	25		o	C
Passage 2a	28	8		i	C
Passage 2a	29	14		n	C
Passage 2a	30	8		i	C
Passage 2a	31	18		m	C
Passage 2a	32	22		i	C
Passage 2a	33	e		g	M
Passage 2a	34	25		o	C
Carta 110	1	19		e	C
Carta 110	2	4		s	C
Carta 110	3	3		t	C
Carta 110	4	19		e	C
Carta 110	5	26		u	M
Carta 110	6	24		h	M
Carta 110	7	20		l	C
Carta 110	8	10		h	C
Carta 110	9	17		a	C
Carta 110	10	5		c	C
Carta 110	11	15		o	C
