leaf	entry_label	cipher_line	deciffrada_line
m0285	Passage 4a	8.14.e.20.19.5.24.4. que 4.15.20.8.5.22.3.17.18.19.4.3.17.12.19.4.3.8.3.26.8.5.y.18.	Inglezes que solicitaó esta restituição
m0285	Passage 5a	14.17.18.10.7.12.19.4.55.15.4.3.17.	Não hé resposta
m0286	Carta 73	4.19.18.15.12.2.12.z.8.14.17.12.y.15.28.13.26.8.19.4.3.19.4. dois 26.19.20.10.17.5.15.4	Sempre ruinarás aqui este dois velhacos V.
m0286	Carta 74	z.f.b.24.12.d.L.26.19.15.y.12.a.23.h.d.m.a.z.20.19.17.18.55.15.12.3.g.12.y.12.22.15.5.17.f.8.g.18.18.23.24.4.a.z.f.c.g.4.p.y.5.d.4.x.19.6.15.m.f.26.20.a.y.12.z.18.17.12.24.f.15.15.4.3.y.5.d.h.25.5.23.f.a.z.20.10.17.m.15.	Espero que parta Monteleão por tirár ao ccariáo destes velhacos de consultarem a resposta como os Castelhanos V.
m0286	Passage 3a	17.14.8.18.c.26.z.18. adiraó 5.20.17.12.23.14.15.5.26.12.4.15.2.z.4.3.y.	A ninguem adiraó fára no curso deste V.
m0287	Carta 78	19.18.28.f.x.52.x.z.4.3.19.4.26.19.20.10.17.5.15.4.	Em dizer destes velhacos V.
m0287	Carta 79	17.13.26.8.14.17.18.4.19.17.3.19.4.2.19.17.12.23.f.17.18.y.10.e.26.18.17.z.19.4.3.24.26.24.20.10.17.5.15.20.15.3.19.f.15.26.52.19.8.12.15. vai 4.19.26. Caminho 55.24.12.17.3.y.8.21.15.12.14.19.	Aqui não se atende a Rasão algum, este velhaco do Thezoureiro vai seu Caminho para Baibona V.
m0287	Carta 80	10.26.18.16.8.14.15.2.z.4.55.12.15.f.8.3.15.	Huum fino de proposito V.
m0288	Carta 81	15.25.16.8.5.8.17.20.4.26.8.4.20.10.z.5.15.18.26.14.8.5.17.	O Coal Luis the Comunicá V.
m0288	Carta 85	17.3.12.15.5.2.z.17.20.5.17.14.4.23.12.19.18. qual q. bagatella avantajoza 14.15.3.12.17.3.23.2.15.2.19.8.4.26.19.14.2.z.12.17.18.3.15.2.15.18.26.14.2.25.	A troco de alcançarem q.q. bagatella avantajoza no Tractado da Rainha venderáo todo o Mundo V.
m0288	Passage 2a	19.4.3.19.4.10.15.18.17.4. tem 16.z.5.10.17.2.15. a porta 17.3.15.2.17. audiencia, e não cabe 14.15.55.17.55.19.20.15.2.z.g.17.16.15.12.15. com que 3.12.17.3.23.18.y.3.15.2.25.4.	Estes homens tem fechado a porta abra a Audiencia, e não cabe no papel do rastro com que tratáo os seus.
