leaf	entry_label	position	token	token_type
m0280	Carta 13	60	z	ltr
m0280	Carta 13	61	4	num
m0280	Carta 13	62	z	ltr
m0280	Carta 13	63	4	num
m0280	Carta 13	64	a	ltr
m0280	Carta 13	65	y	ltr
m0280	Carta 13	66	18	num
m0280	Carta 13	67	y	ltr
m0280	Carta 13	68	55	num
m0280	Carta 13	69	z	ltr
m0280	Carta 13	70	5	num
m0280	Carta 13	71	2	num
m0280	Carta 13	72	z	ltr
m0280	Carta 13	73	5	num
m0280	Carta 13	74	z	ltr
m0280	Carta 13	75	y	ltr
m0280	Carta 13	76	4	num
m0280	Carta 13	77	z	ltr
m0280	Carta 13	78	e	ltr
m0280	Carta 13	79	c	ltr
m0280	Carta 13	80	8	num
m0280	Carta 13	81	5	num
m0280	Carta 13	82	15	num
m0280	Carta 13	83	5	num
m0280	Carta 13	84	z	ltr
m0280	Carta 13	85	c	ltr
m0280	Carta 13	86	6	num
m0280	Carta 13	87	52	num
m0280	Carta 13	88	15	num
m0280	Carta 13	89	8	num
m0280	Carta 13	90	z	ltr
m0280	Carta 13	91	5	num
m0280	Carta 13	92	a	ltr
m0280	Carta 13	93	15	num
m0280	Carta 13	94	15	num
m0280	Carta 13	95	a	ltr
m0280	Carta 13	96	10	num
m0280	Carta 13	97	z	ltr
m0280	Carta 13	98	4	num
m0280	Carta 13	99	15	num
m0280	Carta 13	100	e	ltr
m0280	Carta 13	101	5	num
m0280	Carta 13	102	z	ltr
m0280	Carta 13	103	8	num
m0280	Carta 13	104	5	num
m0280	Carta 13	105	15	num
m0280	Carta 13	106	2	num
m0280	Carta 13	107	y	ltr
m0280	Carta 13	108	c	ltr
m0280	Carta 13	109	8	num
m0280	Carta 13	110	2	num
m0280	Carta 13	111	y	ltr
m0280	Carta 13	112	z	ltr
m0280	Carta 13	113	2	num
m0280	Carta 13	114	y	ltr
m0280	Carta 13	115	10	num
m0280	Carta 13	116	15	num
m0280	Carta 13	117	m	ltr
m0280	Carta 13	118	5	num
m0280	Carta 13	119	y	ltr
m0280	Carta 13	120	5	num
m0280	Carta 13	121	z	ltr
m0280	Carta 13	122	4	num
m0280	Carta 13	123	8	num
m0280	Carta 13	124	e	ltr
m0280	Carta 13	125	8	num
m0280	Carta 13	126	y	ltr
m0280	Carta 13	127	18	num
m0280	Carta 13	128	y	ltr
m0280	Carta 13	129	4	num
m0280	Carta 13	130	c	ltr
m0280	Carta 13	131	y	ltr
m0280	Carta 13	132	e	ltr
m0280	Carta 13	133	8	num
m0280	Carta 13	134	m	ltr
m0280	Carta 13	135	e	ltr
m0280	Carta 13	136	y	ltr
m0280	Carta 13	137	5	num
m0280	Carta 13	138	y	ltr
m0281	Carta 15	1	2	num
m0281	Carta 15	2	y	ltr
m0281	Carta 15	3	5	num
m0281	Carta 15	4	18	num
m0281	Carta 15	5	15	num
m0281	Carta 15	6	c	ltr
m0281	Carta 15	7	a	ltr
m0281	Carta 15	8	13	num
m0281	Carta 15	9	c	ltr
m0281	Carta 15	10	z	ltr
m0281	Carta 15	11	y	ltr
m0281	Carta 15	12	5	num
m0281	Carta 15	13	y	ltr
m0281	Carta 15	14	8	num
m0281	Carta 15	15	m	ltr
m0281	Carta 15	16	10	num
m0281	Carta 15	17	y	ltr
m0281	Carta 15	18	18	num
m0281	Carta 15	19	m	ltr
m0281	Carta 15	20	2	num
m0281	Carta 15	21	15	num
m0281	Carta 15	22	c	ltr
m0281	Carta 15	23	5	num
m0281	Carta 15	24	y	ltr
m0281	Carta 15	25	6	num
m0281	Carta 15	26	5	num
m0281	Carta 15	27	15	num
m0281	Carta 15	28	6	num
m0281	Carta 15	29	15	num
m0281	Carta 15	30	5	num
m0281	Carta 15	31	y	ltr
m0281	Carta 15	32	z	ltr
m0281	Carta 15	33	4	num
m0281	Carta 15	34	5	num
m0281	Carta 15	35	z	ltr
m0281	Carta 15	36	8	num
m0281	Carta 15	37	6	num
m0281	Carta 15	38	15	num
m0281	Carta 15	39	5	num
m0281	Carta 15	40	10	num
m0281	Carta 15	41	e	ltr
m0281	Carta 15	42	18	num
m0281	Carta 15	43	y	ltr
m0281	Carta 15	44	5	num
m0281	Carta 15	45	y	ltr
m0281	Carta 15	46	5	num
m0281	Carta 15	47	a	ltr
m0281	Carta 15	48	y	ltr
m0281	Carta 15	49	5	num
m0281	Carta 15	50	15	num
m0281	Carta 15	51	18	num
m0281	Carta 15	52	6	num
m0281	Carta 15	53	5	num
m0281	Carta 15	54	8	num
m0281	Carta 15	55	18	num
m0281	Carta 15	56	2	num
m0281	Carta 15	57	m	ltr
m0281	Carta 15	58	a	ltr
m0281	Carta 15	59	15	num
m0281	Carta 15	60	4	num
m0281	Carta 15	61	y	ltr
m0281	Carta 15	62	18	num
m0281	Carta 15	63	y	ltr
m0281	Carta 15	64	m	ltr
m0281	Carta 15	65	2	num
m0281	Carta 15	66	y	ltr
m0281	Carta 15	67	c	ltr
m0281	Carta 15	68	y	ltr
m0281	Carta 15	69	z	ltr
m0281	Carta 15	70	19	num
m0281	Carta 15	71	b	ltr
m0281	Carta 15	72	5	num
m0281	Carta 15	73	z	ltr
m0281	Carta 15	74	4	num
m0281	Carta 15	75	15	num
m0281	Carta 15	76	6	num
m0281	Carta 15	77	z	ltr
m0281	Carta 15	78	4	num
m0281	Carta 15	79	15	num
m0281	Carta 15	80	13	num
m0281	Carta 15	81	c	ltr
m0281	Carta 15	82	y	ltr
m0281	Carta 15	83	4	num
m0281	Carta 15	84	z	ltr
m0281	Carta 15	85	c	ltr
m0281	Carta 15	86	6	num
m0281	Carta 15	87	15	num
m0281	Carta 15	88	28	num
m0281	Carta 15	89	y	ltr
m0281	Carta 23	1	4	num
m0281	Carta 23	2	17	num
m0281	Carta 23	3	8	num
m0281	Carta 23	4	52	num
m0281	Carta 23	5	2	num
m0281	Carta 23	6	z	ltr
m0281	Carta 23	7	21	num
m0281	Carta 23	8	26	num
m0281	Carta 23	9	20	num
m0281	Carta 23	10	8	num
m0281	Carta 23	11	m	ltr
m0281	Carta 23	12	e	ltr
m0281	Carta 23	13	21	num
m0281	Carta 23	14	12	num
m0281	Carta 23	15	25	num
m0281	Carta 23	16	6	num
m0281	Carta 23	17	g	ltr
m0281	Carta 23	18	14	num
m0281	Carta 23	19	15	num
m0281	Carta 23	20	4	num
m0281	Carta 23	21	4	num
m0281	Carta 23	22	25	num
m0281	Carta 23	23	8	num
m0281	Carta 23	24	m	ltr
m0281	Carta 23	25	8	num
m0281	Carta 23	26	18	num
m0281	Carta 23	27	22	num
m0281	Carta 23	28	e	ltr
m0281	Carta 23	29	15	num
m0282	Carta 30	1	17	num
m0282	Carta 30	2	4	num
m0282	Carta 30	3	15	num
m0282	Carta 30	4	6	num
m0282	Carta 30	5	12	num
m0282	Carta 30	6	y	ltr
m0282	Carta 30	7	2	num
m0282	Carta 30	8	15	num
m0282	Carta 30	9	2	num
m0282	Carta 30	10	26	num
m0282	Carta 30	11	13	num
m0282	Carta 30	12	26	num
m0282	Carta 30	13	19	num
m0282	Carta 30	14	x	ltr
m0282	Carta 30	15	19	num
m0282	Carta 30	16	21	num
m0282	Carta 30	17	26	num
m0282	Carta 30	18	13	num
m0282	Carta 30	19	c	ltr
m0282	Carta 30	20	8	num
m0282	Carta 30	21	14	num
m0282	Carta 30	22	6	num
m0282	Carta 30	23	17	num
m0282	Carta 30	24	14	num
m0282	Carta 58	1	19	num
m0282	Carta 58	2	8	num
m0282	Carta 58	3	4	num
m0282	Carta 58	4	a	ltr
m0282	Carta 58	5	15	num
m0282	Carta 58	6	m	ltr
m0282	Carta 58	7	17	num
m0282	Carta 58	8	15	num
m0282	Carta 58	9	16	num
m0282	Carta 58	10	15	num
m0282	Carta 58	11	8	num
m0282	Carta 58	12	4	num
m0282	Carta 58	13	19	num
m0282	Carta 58	14	18	num
m0282	Carta 58	15	2	num
m0282	Carta 58	16	19	num
m0282	Carta 58	17	4	num
m0282	Carta 58	18	8	num
m0282	Carta 58	19	c	ltr
m0282	Carta 58	20	19	num
m0282	Carta 58	21	m	ltr
m0282	Carta 58	22	5	num
m0282	Carta 58	23	8	num
m0282	Carta 58	24	17	num
m0282	Carta 58	25	19	num
m0282	Carta 58	26	4	num
m0282	Carta 58	27	15	num
m0282	Carta 58	28	21	num
m0282	Carta 58	29	15	num
m0282	Carta 58	30	12	num
m0282	Carta 58	31	m	ltr
m0282	Carta 58	32	15	num
m0282	Carta 58	33	2	num
m0282	Carta 58	34	17	num
m0282	Carta 58	35	4	num
m0282	Carta 58	36	55	num
m0282	Carta 58	37	19	num
m0282	Carta 58	38	4	num
m0282	Carta 58	39	15	num
m0282	Carta 58	40	17	num
m0282	Carta 58	41	4	num
m0282	Carta 58	42	4	num
m0282	Carta 58	43	17	num
m0282	Carta 58	44	21	num
m0282	Carta 58	45	19	num
m0282	Carta 58	46	22	num
m0282	Carta 58	47	5	num
m0282	Carta 58	48	15	num
m0282	Carta 58	49	18	num
m0282	Carta 58	50	17	num
m0282	Carta 58	51	18	num
m0282	Carta 58	52	2	num
m0282	Carta 58	53	26	num
m0282	Carta 58	54	5	num
m0282	Carta 58	55	17	num
m0282	Carta 58	56	18	num
m0282	Carta 58	57	2	num
m0282	Carta 58	58	15	num
m0282	Carta 58	59	4	num
m0282	Carta 58	60	17	num
m0282	Carta 58	61	8	num
m0282	Carta 58	62	26	num
m0282	Carta 58	63	4	num
m0282	Carta 58	64	3	num
m0282	Carta 58	65	19	num
m0282	Carta 58	66	4	num
m0282	Carta 61	1	4	num
m0282	Carta 61	2	z	ltr
m0282	Carta 61	3	15	num
m0282	Carta 61	4	2	num
m0282	Carta 61	5	8	num
m0282	Carta 61	6	17	num
m0282	Carta 61	7	21	num
m0282	Carta 61	8	15	num
m0282	Carta 61	9	4	num
m0282	Carta 61	10	z	ltr
m0282	Carta 61	11	26	num
m0282	Carta 61	12	19	num
m0282	Carta 61	13	12	num
m0282	Carta 61	14	23	num
m0282	Carta 61	15	15	num
m0282	Carta 61	16	3	num
m0282	Carta 61	17	z	ltr
m0282	Carta 61	18	4	num
m0282	Carta 61	19	15	num
m0282	Carta 61	20	26	num
m0282	Carta 61	21	12	num
m0282	Carta 61	22	z	ltr
m0282	Carta 61	23	8	num
m0282	Carta 61	24	12	num
m0282	Carta 61	25	15	num
m0282	Carta 61	26	26	num
m0282	Carta 61	27	z	ltr
m0282	Carta 61	28	20	num
m0282	Carta 61	29	10	num
m0282	Carta 61	30	17	num
m0282	Carta 61	31	5	num
m0282	Carta 61	32	15	num
m0282	Carta 61	33	17	num
m0282	Carta 61	34	3	num
m0282	Carta 61	35	17	num
m0282	Carta 61	36	5	num
m0282	Carta 61	37	23	num
m0282	Carta 61	38	2	num
m0282	Carta 61	39	25	num
m0282	Carta 61	40	4	num
m0282	Carta 61	41	z	ltr
m0282	Carta 61	42	8	num
m0282	Carta 61	43	26	num
m0282	Carta 61	44	14	num
m0282	Carta 61	45	3	num
m0282	Carta 61	46	17	num
m0282	Carta 61	47	12	num
m0282	Carta 61	48	15	num
m0282	Carta 61	49	55	num
m0282	Carta 61	50	17	num
m0282	Carta 61	51	52	num
m0282	Carta 61	52	20	num
m0282	Carta 61	53	17	num
m0282	Carta 61	54	18	num
m0282	Carta 61	55	2	num
m0282	Carta 61	56	14	num
m0282	Carta 61	57	3	num
m0282	Carta 61	58	15	num
m0283	Carta 70	1	55	num
m0283	Carta 70	2	17	num
m0283	Carta 70	3	12	num
m0283	Carta 70	4	17	num
m0283	Carta 70	5	14	num
m0283	Carta 70	6	15	num
m0283	Carta 70	7	4	num
m0283	Carta 70	8	55	num
m0283	Carta 70	9	12	num
m0283	Carta 70	10	z	ltr
m0283	Carta 70	11	8	num
m0283	Carta 70	12	26	num
m0283	Carta 70	13	2	num
m0283	Carta 70	14	8	num
m0283	Carta 70	15	5	num
m0283	Carta 70	16	17	num
m0283	Carta 70	17	12	num
m0283	Carta 70	18	7	num
m0283	Carta 70	19	19	num
m0283	Carta 70	20	4	num
m0283	Carta 70	21	3	num
m0283	Carta 70	22	19	num
m0283	Carta 70	23	4	num
m0283	Carta 70	24	18	num
m0283	Carta 70	25	8	num
m0283	Carta 70	26	14	num
m0283	Carta 70	27	8	num
m0283	Carta 70	28	4	num
m0283	Carta 70	29	3	num
m0283	Carta 70	30	12	num
m0283	Carta 70	31	15	num
m0283	Carta 70	32	4	num
m0283	Carta 70	33	26	num
m0283	Carta 70	34	17	num
m0283	Carta 70	35	20	num
m0283	Carta 70	36	15	num
m0283	Carta 70	37	18	num
m0283	Carta 70	38	19	num
m0283	Carta 70	39	4	num
m0283	Carta 70	40	18	num
m0283	Carta 70	41	15	num
m0283	Carta 70	42	55	num
m0283	Carta 70	43	19	num
m0283	Carta 70	44	12	num
m0283	Carta 70	45	19	num
m0283	Carta 70	46	2	num
m0283	Carta 70	47	19	num
m0283	Carta 70	48	12	num
m0283	Carta 70	49	12	num
m0283	Carta 70	50	19	num
m0283	Carta 70	51	4	num
m0283	Carta 70	52	8	num
m0283	Carta 70	53	6	num
m0283	Carta 70	54	14	num
m0283	Carta 70	55	17	num
m0283	Carta 70	56	12	num
m0283	Carta 70	57	4	num
m0283	Carta 70	58	19	num
m0283	Carta 70	59	14	num
m0283	Carta 70	60	17	num
m0283	Carta 70	61	12	num
m0283	Carta 70	62	4	num
m0283	Carta 70	63	19	num
m0283	Carta 70	64	2	num
m0283	Carta 70	65	17	num
m0283	Carta 70	66	12	num
m0283	Carta 70	67	17	num
m0283	Carta 70	68	3	num
m0283	Carta 70	69	10	num
m0283	Carta 70	70	400	num
m0283	Carta 70	71	5	num
m0283	Carta 70	72	14	num
m0283	Carta 70	73	10	num
m0283	Carta 70	74	17	num
m0284	Carta 71	1	19	num
m0284	Carta 71	2	4	num
m0284	Carta 71	3	3	num
m0284	Carta 71	4	17	num
m0284	Carta 71	5	12	num
m0284	Carta 71	6	19	num
m0284	Carta 71	7	4	num
m0284	Carta 71	8	55	num
m0284	Carta 71	9	15	num
m0284	Carta 71	10	4	num
m0284	Carta 71	11	3	num
m0284	Carta 71	12	17	num
m0284	Carta 71	13	10	num
m0284	Carta 71	14	19	num
m0284	Carta 71	15	10	num
m0284	Carta 71	16	c	ltr
m0284	Carta 71	17	18	num
m0284	Carta 71	18	y	ltr
m0284	Carta 71	19	2	num
m0284	Carta 71	20	12	num
m0284	Carta 71	21	23	num
m0284	Carta 71	22	14	num
m0284	Carta 71	23	2	num
m0284	Carta 71	24	24	num
m0284	Carta 71	25	55	num
m0284	Carta 71	26	17	num
m0284	Carta 71	27	12	num
m0284	Carta 71	28	26	num
m0284	Carta 71	29	15	num
m0284	Carta 71	30	8	num
m0284	Carta 71	31	4	num
m0284	Carta 71	32	19	num
m0284	Carta 71	33	2	num
m0284	Carta 71	34	19	num
m0284	Carta 71	35	10	num
m0284	Carta 71	36	26	num
m0284	Carta 71	37	18	num
m0284	Carta 71	38	16	num
m0284	Carta 71	39	8	num
m0284	Carta 71	40	14	num
m0284	Carta 71	41	15	num
m0284	Carta 71	42	26	num
m0284	Carta 71	43	19	num
m0284	Carta 71	44	20	num
m0284	Carta 71	45	10	num
m0284	Carta 71	46	y	ltr
m0284	Carta 71	47	5	num
m0284	Carta 71	48	15	num
m0284	Passage 2a	1	4	num
m0284	Passage 2a	2	19	num
m0284	Passage 2a	3	2	num
m0284	Passage 2a	4	24	num
m0284	Passage 2a	5	4	num
m0284	Passage 2a	6	15	num
m0284	Passage 2a	7	19	num
m0284	Passage 2a	8	4	num
m0284	Passage 2a	9	2	num
m0284	Passage 2a	10	19	num
m0284	Passage 2a	11	18	num
m0284	Passage 2a	12	8	num
m0284	Passage 2a	13	18	num
m0284	Passage 3a	1	14	num
m0284	Passage 3a	2	17	num
m0284	Passage 3a	3	18	num
m0284	Passage 3a	4	21	num
m0284	Passage 3a	5	17	num
m0284	Passage 3a	6	4	num
m0284	Passage 3a	7	3	num
m0284	Passage 3a	8	23	num
m0284	Passage 3a	9	19	num
m0284	Passage 3a	10	4	num
m0284	Passage 3a	11	3	num
m0284	Passage 3a	12	24	num
m0284	Passage 3a	13	26	num
m0284	Passage 3a	14	19	num
m0284	Passage 3a	15	20	num
m0284	Passage 3a	16	10	num
m0284	Passage 3a	17	y	ltr
m0284	Passage 3a	18	5	num
m0284	Passage 3a	19	15	num
m0285	Carta 72	1	19	num
m0285	Carta 72	2	26	num
m0285	Carta 72	3	8	num
m0285	Carta 72	4	3	num
m0285	Carta 72	5	17	num
m0285	Carta 72	6	12	num
m0285	Carta 72	7	y	ltr
m0285	Carta 72	8	18	num
m0285	Carta 72	9	7	num
m0285	Carta 72	10	14	num
m0285	Carta 72	11	3	num
m0285	Carta 72	12	12	num
m0285	Carta 72	13	17	num
m0285	Carta 72	14	12	num
m0285	Carta 72	15	5	num
m0285	Carta 72	16	15	num
m0285	Carta 72	17	18	num
m0285	Carta 72	18	8	num
m0285	Carta 72	19	e	ltr
m0285	Carta 72	20	15	num
m0285	Carta 72	21	7	num
m0285	Carta 72	22	18	num
m0285	Carta 72	23	8	num
m0285	Carta 72	24	26	num
m0285	Carta 72	25	e	ltr
m0285	Carta 72	26	y	ltr
m0285	Carta 72	27	14	num
m0285	Carta 72	28	2	num
m0285	Carta 72	29	15	num
m0285	Carta 72	30	17	num
m0285	Carta 72	31	4	num
m0285	Carta 72	32	19	num
m0285	Carta 72	33	4	num
m0285	Carta 72	34	5	num
m0285	Carta 72	35	15	num
m0285	Carta 72	36	14	num
m0285	Carta 72	37	2	num
m0285	Carta 72	38	8	num
m0285	Carta 72	39	z	ltr
m0285	Carta 72	40	y	ltr
m0285	Carta 72	41	4	num
m0285	Carta 72	42	3	num
m0285	Carta 72	43	19	num
m0285	Carta 72	44	12	num
m0285	Carta 72	45	e	ltr
m0285	Carta 72	46	8	num
m0285	Carta 72	47	26	num
m0285	Carta 72	48	19	num
m0285	Carta 72	49	12	num
m0285	Carta 72	50	4	num
m0285	Carta 72	51	y	ltr
m0285	Carta 72	52	5	num
m0285	Carta 72	53	17	num
m0285	Carta 72	54	18	num
m0285	Passage 4a	1	8	num
m0285	Passage 4a	2	14	num
m0285	Passage 4a	3	e	ltr
m0285	Passage 4a	4	20	num
m0285	Passage 4a	5	19	num
m0285	Passage 4a	6	5	num
m0285	Passage 4a	7	24	num
m0285	Passage 4a	8	4	num
m0285	Passage 4a	9	4	num
m0285	Passage 4a	10	15	num
m0285	Passage 4a	11	20	num
m0285	Passage 4a	12	8	num
m0285	Passage 4a	13	5	num
m0285	Passage 4a	14	22	num
m0285	Passage 4a	15	3	num
m0285	Passage 4a	16	17	num
m0285	Passage 4a	17	18	num
m0285	Passage 4a	18	19	num
m0285	Passage 4a	19	4	num
m0285	Passage 4a	20	3	num
m0285	Passage 4a	21	17	num
m0285	Passage 4a	22	12	num
m0285	Passage 4a	23	19	num
m0285	Passage 4a	24	4	num
m0285	Passage 4a	25	3	num
m0285	Passage 4a	26	8	num
m0285	Passage 4a	27	3	num
m0285	Passage 4a	28	26	num
m0285	Passage 4a	29	8	num
m0285	Passage 4a	30	5	num
m0285	Passage 4a	31	y	ltr
m0285	Passage 4a	32	18	num
m0285	Passage 5a	1	14	num
m0285	Passage 5a	2	17	num
m0285	Passage 5a	3	18	num
m0285	Passage 5a	4	10	num
m0285	Passage 5a	5	7	num
m0285	Passage 5a	6	12	num
m0285	Passage 5a	7	19	num
m0285	Passage 5a	8	4	num
m0285	Passage 5a	9	55	num
m0285	Passage 5a	10	15	num
m0285	Passage 5a	11	4	num
m0285	Passage 5a	12	3	num
m0285	Passage 5a	13	17	num
m0286	Carta 73	1	4	num
m0286	Carta 73	2	19	num
m0286	Carta 73	3	18	num
m0286	Carta 73	4	15	num
m0286	Carta 73	5	12	num
m0286	Carta 73	6	2	num
m0286	Carta 73	7	12	num
m0286	Carta 73	8	z	ltr
m0286	Carta 73	9	8	num
m0286	Carta 73	10	14	num
m0286	Carta 73	11	17	num
m0286	Carta 73	12	12	num
m0286	Carta 73	13	y	ltr
m0286	Carta 73	14	15	num
m0286	Carta 73	15	28	num
m0286	Carta 73	16	13	num
m0286	Carta 73	17	26	num
m0286	Carta 73	18	8	num
m0286	Carta 73	19	19	num
m0286	Carta 73	20	4	num
m0286	Carta 73	21	3	num
m0286	Carta 73	22	19	num
m0286	Carta 73	23	4	num
m0286	Carta 73	24	26	num
m0286	Carta 73	25	19	num
m0286	Carta 73	26	20	num
m0286	Carta 73	27	10	num
m0286	Carta 73	28	17	num
m0286	Carta 73	29	5	num
m0286	Carta 73	30	15	num
m0286	Carta 73	31	4	num
m0286	Carta 74	1	z	ltr
m0286	Carta 74	2	f	ltr
m0286	Carta 74	3	b	ltr
m0286	Carta 74	4	24	num
m0286	Carta 74	5	12	num
m0286	Carta 74	6	d	ltr
m0286	Carta 74	7	L	ltr
m0286	Carta 74	8	26	num
m0286	Carta 74	9	19	num
m0286	Carta 74	10	15	num
m0286	Carta 74	11	y	ltr
m0286	Carta 74	12	12	num
m0286	Carta 74	13	a	ltr
m0286	Carta 74	14	23	num
m0286	Carta 74	15	h	ltr
m0286	Carta 74	16	d	ltr
m0286	Carta 74	17	m	ltr
m0286	Carta 74	18	a	ltr
m0286	Carta 74	19	z	ltr
m0286	Carta 74	20	20	num
m0286	Carta 74	21	19	num
m0286	Carta 74	22	17	num
m0286	Carta 74	23	18	num
m0286	Carta 74	24	55	num
m0286	Carta 74	25	15	num
m0286	Carta 74	26	12	num
m0286	Carta 74	27	3	num
m0286	Carta 74	28	g	ltr
m0286	Carta 74	29	12	num
m0286	Carta 74	30	y	ltr
m0286	Carta 74	31	12	num
m0286	Carta 74	32	22	num
m0286	Carta 74	33	15	num
m0286	Carta 74	34	5	num
m0286	Carta 74	35	17	num
m0286	Carta 74	36	f	ltr
m0286	Carta 74	37	8	num
m0286	Carta 74	38	g	ltr
m0286	Carta 74	39	18	num
m0286	Carta 74	40	18	num
m0286	Carta 74	41	23	num
m0286	Carta 74	42	24	num
m0286	Carta 74	43	4	num
m0286	Carta 74	44	a	ltr
m0286	Carta 74	45	z	ltr
m0286	Carta 74	46	f	ltr
m0286	Carta 74	47	c	ltr
m0286	Carta 74	48	g	ltr
m0286	Carta 74	49	4	num
m0286	Carta 74	50	p	ltr
m0286	Carta 74	51	y	ltr
m0286	Carta 74	52	5	num
m0286	Carta 74	53	d	ltr
m0286	Carta 74	54	4	num
m0286	Carta 74	55	x	ltr
m0286	Carta 74	56	19	num
m0286	Carta 74	57	6	num
m0286	Carta 74	58	15	num
m0286	Carta 74	59	m	ltr
m0286	Carta 74	60	f	ltr
m0286	Carta 74	61	26	num
m0286	Carta 74	62	20	num
m0286	Carta 74	63	a	ltr
m0286	Carta 74	64	y	ltr
m0286	Carta 74	65	12	num
m0286	Carta 74	66	z	ltr
m0286	Carta 74	67	18	num
m0286	Carta 74	68	17	num
m0286	Carta 74	69	12	num
m0286	Carta 74	70	24	num
m0286	Carta 74	71	f	ltr
m0286	Carta 74	72	15	num
m0286	Carta 74	73	15	num
m0286	Carta 74	74	4	num
m0286	Carta 74	75	3	num
m0286	Carta 74	76	y	ltr
m0286	Carta 74	77	5	num
m0286	Carta 74	78	d	ltr
m0286	Carta 74	79	h	ltr
m0286	Carta 74	80	25	num
m0286	Carta 74	81	5	num
m0286	Carta 74	82	23	num
m0286	Carta 74	83	f	ltr
m0286	Carta 74	84	a	ltr
m0286	Carta 74	85	z	ltr
m0286	Carta 74	86	20	num
m0286	Carta 74	87	10	num
m0286	Carta 74	88	17	num
m0286	Carta 74	89	m	ltr
m0286	Carta 74	90	15	num
m0286	Passage 3a	1	17	num
m0286	Passage 3a	2	14	num
m0286	Passage 3a	3	8	num
m0286	Passage 3a	4	18	num
m0286	Passage 3a	5	c	ltr
m0286	Passage 3a	6	26	num
m0286	Passage 3a	7	z	ltr
m0286	Passage 3a	8	18	num
m0286	Passage 3a	9	5	num
m0286	Passage 3a	10	20	num
m0286	Passage 3a	11	17	num
m0286	Passage 3a	12	12	num
m0286	Passage 3a	13	23	num
m0286	Passage 3a	14	14	num
m0286	Passage 3a	15	15	num
m0286	Passage 3a	16	5	num
m0286	Passage 3a	17	26	num
m0286	Passage 3a	18	12	num
m0286	Passage 3a	19	4	num
m0286	Passage 3a	20	15	num
m0286	Passage 3a	21	2	num
m0286	Passage 3a	22	z	ltr
m0286	Passage 3a	23	4	num
m0286	Passage 3a	24	3	num
m0286	Passage 3a	25	y	ltr
m0287	Carta 78	1	19	num
m0287	Carta 78	2	18	num
m0287	Carta 78	3	28	num
m0287	Carta 78	4	f	ltr
m0287	Carta 78	5	x	ltr
m0287	Carta 78	6	52	num
m0287	Carta 78	7	x	ltr
m0287	Carta 78	8	z	ltr
m0287	Carta 78	9	4	num
m0287	Carta 78	10	3	num
m0287	Carta 78	11	19	num
m0287	Carta 78	12	4	num
m0287	Carta 78	13	26	num
m0287	Carta 78	14	19	num
m0287	Carta 78	15	20	num
m0287	Carta 78	16	10	num
m0287	Carta 78	17	17	num
m0287	Carta 78	18	5	num
m0287	Carta 78	19	15	num
m0287	Carta 78	20	4	num
m0287	Carta 79	1	17	num
m0287	Carta 79	2	13	num
m0287	Carta 79	3	26	num
m0287	Carta 79	4	8	num
m0287	Carta 79	5	14	num
m0287	Carta 79	6	17	num
m0287	Carta 79	7	18	num
m0287	Carta 79	8	4	num
m0287	Carta 79	9	19	num
m0287	Carta 79	10	17	num
m0287	Carta 79	11	3	num
m0287	Carta 79	12	19	num
m0287	Carta 79	13	4	num
m0287	Carta 79	14	2	num
m0287	Carta 79	15	19	num
m0287	Carta 79	16	17	num
m0287	Carta 79	17	12	num
m0287	Carta 79	18	23	num
m0287	Carta 79	19	f	ltr
m0287	Carta 79	20	17	num
