code	value	grade	source	note
70	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
71	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
73	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
74	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
76	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
77	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
79	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
80	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
82	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
83	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
85	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
86	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
88	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
89	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
91	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
92	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
94	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
95	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
97	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
98	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
