cipher_line	idx	raw	kind	value	repair	plain_chunk	status
35732	1	278	num	278		let	agrees
35732	2	6	num	6		t	agrees
35732	3	18	num	18		e	agrees
35732	4	12	num	12		r	agrees
35732	5	25	num	25		s	agrees
35732	6	10	num	10			null-or-unaligned
35732	7	99	num	99			null-or-unaligned
35732	8	196	num	196		for	agrees
35732	9	407	num	407		the	agrees
35732	10	495	num	495		fleet	single-segment
35732	11	105	num	105		and	agrees
35732	12	251	num	251		in	agrees
35732	13	16	num	16		m	single-segment
35732	14	30	num	30		o	conflict:m
35732	15	90	num	90		f	agrees
35732	16	97	num	97		t	single-segment
35732	17	254	num	254		if	agrees
35732	18	320	num	320		not	agrees
35732	19	251	num	251		in	agrees
35732	20	83	num	83		a	single-segment
35732	21	33	num	33		l	agrees
35732	22	69	num	69		l	single-segment
35732	23	343	num	343		of	agrees
35735	0	409	num	409		them	agrees
35735	1	31	num	31		a	agrees
35735	2	364	num	364		paper	single-segment
35735	3	346	num	346		one	single-segment
35735	4	343	num	343		of	agrees
35735	5	458	num	458		which	conflict:other
35735	6	259	num	259		is	agrees
35735	7	236	num	236		here	agrees
35735	8	42	num	42		e	agrees
35735	9	27	num	27		n	agrees
35735	10	9	num	9		c	agrees
35735	11	5	num	5		l	agrees
35735	12	19	num	19		o	agrees
35735	13	23	num	23		f	agrees
35735	14	93	num	93		e	agrees
35735	15	39	num	39		d	agrees
35735	16	(410	clear				clear
35735	17	450	num	450		they	single-segment
35735	18	366	num	366		were	single-segment
35735	19	251	num	251		putin	conflict:in
35735	20	404	num	404		to	agrees
35735	21	407	num	407		the	agrees
35738	0	278	num	278		let	agrees
35738	1	6	num	6		t	agrees
35738	2	91	num	91		e	single-segment
35738	3	103	num	103		r	agrees
35738	4	90	num	90		s	agrees
35738	5	108	num	108		after	single-segment
35738	6	4io	num	410		they	single-segment
35738	7	4-59	doubtful			were	doubtful
35738	8	59	num	59		f	agrees
35738	9	93	num	93		e	agrees
35738	10	3i	num	31		a	agrees
35738	11	33	num	33		l	agrees
35738	12	42	num	42		e	agrees
35738	13	1	num	1			null-or-unaligned
35738	14	1	num	1		d	conflict:p
35738	15	105	num	105		and	agrees
35738	16	9	num	9		c	agrees
35738	17	5	num	5		l	agrees
35738	18	19	num	19		o	agrees
35738	19	59	num	59		f	agrees
35738	20	56	num	56		e	agrees
35738	21	80	num	80		d	single-segment
35738	22	z6if	clear				clear
35738	23	53	num	53		u	single
35738	24	S	clear				clear
35738	25	6	num	6		p	conflict:t
35738	26	2	num	2		w	conflict:h
35742	0	21	num	21		w	agrees
35742	1	7	num	7		a	agrees
35742	2	13.)	clear				clear
35746	0	407278	doubtful			thelet	doubtful
35746	1	50	num	50		t	single
35746	2	18	num	18		e	agrees
35746	3	12	num	12		r	agrees
35746	4	90	num	90		s	agrees
35746	5	10493	doubtful			being	doubtful
35746	6	8	num	8		m	conflict:i
35746	7	27	num	27		o	conflict:n
35746	8	20	num	20		f	single
35746	9	10	num	10		t	conflict:h
35746	10	16302550	doubtful			delivered	doubtful
35746	11	172	num	172		befor	single
35746	12	39	num	39		e	conflict:d
35746	13	133452	doubtful			wee	doubtful
35746	14	240273413	doubtful			hadknowledge	doubtful
35746	15	343	num	343		thereof	conflict:of
35750	0	10	num	10		w	conflict:h
35750	1	32	num	32		e	conflict:a
35750	2	452	num	452		e	conflict:wee
35750	3	428	num	428		thought	single-segment
35750	4	142	num	142		belt	single-segment
35750	5	404	num	404		to	agrees
35750	6	278	num	278		let	agrees
35750	7	409	num	409		them	agrees
35750	8	368	num	368		pafle	single-segment
35750	9	251	num	251		in	agrees
35750	10	23	num	23		f	agrees
35750	11	8	num	8		i	agrees
35750	12	5	num	5		l	agrees
35750	13	18	num	18		e	agrees
35750	14	27	num	27		n	agrees
35750	15	9	num	9		c	agrees
35750	16	93	num	93		e	agrees
35750	17	347	num	347		onl	single
35750	18	16	num	16		y	conflict:m
35750	19	31	num	31		m	conflict:a
35750	20	n	clear				clear
35750	21	18	num	18		a	conflict:e
35750	22	32	num	32		d	conflict:a
35750	23	IO	num	10		e	conflict:h
35750	24	409	num	409		them	agrees
35754	0	4	num	4		b	single
35754	1	18	num	18		e	agrees
35754	2	93	num	93		e	agrees
35754	3	10	num	10		t	conflict:h
35754	4	32	num	32		a	single
35754	5	405	num	405		k	single
35754	6	27	num	27		n	agrees
35754	7	19	num	19		o	agrees
35754	8	26	num	26		u	agrees
35754	9	6	num	6		t	agrees
35754	10	10	num	10			null-or-unaligned
35754	11	104	num	104		o	single
35754	12	343	num	343		f	conflict:of
35754	13	419	num	419		thofe	single-segment
35754	14	278	num	278		let	agrees
35754	15	6	num	6		t	agrees
35754	16	18	num	18		e	agrees
35754	17	12	num	12		r	agrees
35754	18	92	num	92		s	single-segment
35754	19	406	num	406		that	agrees
35754	20	450	num	450		were	conflict:they
35754	21	320	num	320		not	agrees
35754	22	172	num	172		deliver	conflict:befor
35754	23	II.	num	11		d	agrees
