line	position	sign	confidence
05801_p3_L02	36	78	L
05801_p3_L02	37	82	M
05801_p3_L02	38	84	L
05801_p3_L02	39	1	M
05801_p3_L02	40	132	H
05801_p3_L02	41	67	M
05801_p3_L02	42	82	M
05801_p3_L02	43	20	M
05801_p3_L02	44	32	H
05801_p3_L02	45	82	H
05801_p3_L02	46	112	M
05801_p3_L02	47	115	M
05801_p3_L02	48	30	M
05801_p3_L02	49	7	H
05801_p3_L02	50	87	L
05801_p3_L02	51	78	L
05801_p3_L02	52	82	M
05801_p3_L02	53	2	M
05801_p3_L02	54	75	M
05801_p3_L02	55	53	M
05801_p3_L02	56	38	M
05801_p3_L02	57	87	L
05801_p3_L02	58	113	M
05801_p3_L02	59	82	M
05801_p3_L02	60	30	M
05801_p3_L02	61	83	M
05801_p3_L02	62	79	M
05801_p3_L02	63	77	M
05801_p3_L02	64	85	L
05801_p3_L02	65	7	M
05801_p3_L02	66	113	M
05801_p3_L02	67	111	M
05801_p3_L02	68	82	M
05801_p3_L02	69	12	M
05801_p3_L02	70	91	L
05801_p3_L02	71	12	M
05801_p3_L02	72	22	H
05801_p3_L02	73	9	M
05801_p3_L02	74	105	M
05801_p3_L02	75	81	M
05801_p3_L02	76	24	M
05801_p3_L02	77	82	M
05801_p3_L02	78	331	L
05801_p3_L02	79	=contracter	L
05801_p3_L02	80	72	M
05801_p3_L02	81	7	M
05801_p3_L02	82	2	M
05801_p3_L02	83	32	H
05801_p3_L02	84	22	M
05801_p3_L02	85	91	L
05801_p3_L02	86	73	M
05801_p3_L02	87	34	M
05801_p3_L02	88	81	M
05801_p3_L02	89	25	M
05801_p3_L02	90	125	M
05801_p3_L02	91	132	H
05801_p3_L02	92	61	M
05801_p3_L02	93	35	L
05801_p3_L02	94	81	M
05801_p3_L02	95	74	L
05801_p3_L03	1	20	M
05801_p3_L03	2	40	M
05801_p3_L03	3	81	M
05801_p3_L03	4	50	L
05801_p3_L03	5	82	M
05801_p3_L03	6	31	M
05801_p3_L03	7	50	M
05801_p3_L03	8	18	L
05801_p3_L03	9	30	M
05801_p3_L03	10	102	M
05801_p3_L03	11	112	M
05801_p3_L03	12	20	L
05801_p3_L03	13	31	M
05801_p3_L03	14	120	M
05801_p3_L03	15	82	M
05801_p3_L03	16	12	M
05801_p3_L03	17	2	M
05801_p3_L03	18	34	M
05801_p3_L03	19	55	M
05801_p3_L03	20	115	M
05801_p3_L03	21	20	L
05801_p3_L03	22	72	M
05801_p3_L03	23	97	M
05801_p3_L03	24	64	M
05801_p3_L03	25	22	H
05801_p3_L03	26	102	M
05801_p3_L03	27	54	L
05801_p3_L03	28	132	H
05801_p3_L03	29	197	M
05801_p3_L03	30	=que	M
05801_p3_L03	31	=leur	M
05801_p3_L03	32	=impossible	M
05801_p3_L03	33	=du	M
05801_p3_L03	34	=fils	L
05801_p3_L03	35	87	M
05801_p3_L03	36	62	M
05801_p3_L03	37	101	M
05801_p3_L03	38	22	M
05801_p3_L03	39	82	M
05801_p3_L03	40	56	M
05801_p3_L03	41	27	M
05801_p3_L03	42	26	M
05801_p3_L03	43	81	M
05801_p3_L03	44	29	M
05801_p3_L03	45	55	L
05801_p3_L03	46	24	M
05801_p3_L03	47	112	M
05801_p3_L03	48	82	M
05801_p3_L03	49	29	M
05801_p3_L03	50	25	M
05801_p3_L03	51	101	M
05801_p3_L03	52	83	L
05801_p3_L03	53	81	M
05801_p3_L03	54	25	M
05801_p3_L03	55	81	M
05801_p3_L03	56	29	M
05801_p3_L03	57	83	M
05801_p3_L03	58	74	M
05801_p3_L03	59	62	M
05801_p3_L03	60	51	L
05801_p3_L03	61	37	M
05801_p3_L03	62	28	M
05801_p3_L03	63	59	L
05801_p3_L03	64	26	M
05801_p3_L03	65	30	M
05801_p3_L03	66	65	M
05801_p3_L03	67	85	L
05801_p3_L03	68	85	L
05801_p3_L03	69	27	M
05801_p3_L03	70	127	L
05801_p3_L03	71	132	H
05801_p3_L03	72	140	M
05801_p3_L04	1	132	H
05801_p3_L04	2	22	M
05801_p3_L04	3	1	M
05801_p3_L04	4	55	L
05801_p3_L04	5	42	M
05801_p3_L04	6	28	M
05801_p3_L04	7	83	L
05801_p3_L04	8	28	M
05801_p3_L04	9	32	M
05801_p3_L04	10	63	L
05801_p3_L04	11	34	M
05801_p3_L04	12	30	M
05801_p3_L04	13	3	M
05801_p3_L04	14	77	M
05801_p3_L04	15	3	L
05801_p3_L04	16	28	M
05801_p3_L04	17	140	M
05801_p3_L04	18	126	M
05801_p3_L04	19	137	L
05801_p3_L04	20	61	M
05801_p3_L04	21	71	M
05801_p3_L04	22	26	M
05801_p3_L04	23	27	M
05801_p3_L04	24	82	M
05801_p3_L04	25	14	L
05801_p3_L04	26	37	M
05801_p3_L04	27	57	L
05801_p3_L04	28	83	L
05801_p3_L04	29	102	M
05801_p3_L04	30	3	M
05801_p3_L04	31	83	L
05801_p3_L04	32	12	M
05801_p3_L04	33	72	M
05801_p3_L04	34	27	M
05801_p3_L04	35	81	M
05801_p3_L04	36	37	M
05801_p3_L04	37	50	L
05801_p3_L04	38	14	L
05801_p3_L04	39	2	M
05801_p3_L04	40	5	M
05801_p3_L04	41	81	M
05801_p3_L04	42	22	M
05801_p3_L04	43	82	M
05801_p3_L04	44	39	M
05801_p3_L04	45	34	M
05801_p3_L04	46	62	M
05801_p3_L04	47	2	M
05801_p3_L04	48	32	M
05801_p3_L04	49	9	L
05801_p3_L04	50	116	L
05801_p3_L04	51	117	L
05801_p3_L04	52	81	M
05801_p3_L04	53	26	M
05801_p3_L04	54	102	M
05801_p3_L04	55	111	L
05801_p3_L04	56	50	M
05801_p3_L04	57	81	L
05801_p3_L04	58	50	L
05801_p3_L04	59	7	M
05801_p3_L04	60	55	L
05801_p3_L04	61	84	M
05801_p3_L04	62	2	M
05801_p3_L04	63	33	M
05801_p3_L04	64	113	M
05801_p3_L04	65	83	L
05801_p3_L04	66	38	M
05801_p3_L04	67	23	M
05801_p3_L04	68	72	M
05801_p3_L04	69	126	L
05801_p3_L04	70	58	L
05801_p3_L04	71	8	M
05801_p3_L04	72	55	L
05801_p3_L04	73	140	M
05801_p3_L04	74	121	M
05801_p3_L04	75	75	L
05801_p3_L04	76	26	M
05801_p3_L04	77	30	M
05801_p3_L04	78	172	L
05801_p3_L04	79	82	M
05801_p3_L04	80	27	M
05801_p3_L04	81	103	M
05801_p3_L04	82	50	M
05801_p3_L04	83	63	L
05801_p3_L04	84	102	M
05801_p3_L04	85	3	M
05801_p3_L04	86	84	L
05801_p3_L04	87	120	L
05801_p3_L04	88	82	L
05801_p3_L04	89	30	L
05801_p3_L04	90	102	L
05801_p3_L04	91	112	L
05801_p3_L04	92	95	L
05801_p3_L05	1	54	M
05801_p3_L05	2	38	M
05801_p3_L05	3	7	M
05801_p3_L05	4	52	M
05801_p3_L05	5	83	L
05801_p3_L05	6	9	M
05801_p3_L05	7	72	M
05801_p3_L05	8	132	H
05801_p3_L05	9	140	M
05801_p3_L05	10	112	L
05801_p3_L05	11	82	L
05801_p3_L05	12	38	L
05801_p3_L05	13	25	L
05801_p3_L05	14	80	L
05801_p3_L05	15	26	L
05801_p3_L05	16	87	L
05801_p3_L05	17	33	L
05801_p3_L05	18	35	L
05801_p3_L05	19	81	L
05801_p3_L05	20	190	M
05801_p3_L05	21	132	M
05801_p3_L05	22	121	M
05801_p3_L05	23	124	M
05801_p3_L05	24	12	M
05801_p3_L05	25	22	M
05801_p3_L05	26	2	M
05801_p3_L05	27	105	M
05801_p3_L05	28	81	M
05801_p3_L05	29	25	M
05801_p3_L05	30	81	M
05801_p3_L05	31	132	H
05801_p3_L05	32	140	M
05801_p3_L05	33	86	L
05801_p3_L05	34	82	L
05801_p3_L05	35	28	L
05801_p3_L05	36	32	L
05801_p3_L05	37	73	L
05801_p3_L05	38	112	L
05801_p3_L05	39	115	L
05801_p3_L05	40	37	L
05801_p3_L05	41	3	L
05801_p3_L05	42	84	L
05801_p3_L05	43	132	M
05801_p3_L05	44	140	M
05801_p3_L05	45	121	M
05801_p3_L05	46	137	L
05801_p3_L05	47	148	L
05801_p3_L05	48	150	L
05801_p3_L05	49	121	M
05801_p3_L05	50	81	L
05801_p3_L05	51	3	L
05801_p3_L05	52	32	L
05801_p3_L05	53	61	L
05801_p3_L05	54	30	L
05801_p3_L05	55	12	L
05801_p3_L05	56	83	L
05801_p3_L05	57	27	L
05801_p3_L05	58	30	L
05801_p3_L05	59	85	L
05801_p3_L05	60	72	L
05801_p3_L05	61	83	L
05801_p3_L05	62	102	L
05801_p3_L05	63	82	L
05801_p3_L05	64	2	L
05801_p3_L05	65	82	L
05801_p3_L05	66	5	L
05801_p3_L05	67	89	L
05801_p3_L05	68	54	L
05801_p3_L05	69	2	L
05801_p3_L05	70	112	L
05801_p3_L05	71	62	L
05801_p3_L05	72	34	L
05801_p3_L05	73	52	L
05801_p3_L05	74	23	L
05801_p3_L05	75	82	L
05801_p3_L05	76	113	L
05801_p3_L05	77	49	L
05801_p3_L05	78	37	L
05801_p3_L05	79	28	L
05801_p3_L05	80	72	L
05801_p3_L05	81	8	L
05801_p3_L05	82	118	L
05801_p3_L05	83	120	L
05801_p3_L05	84	8	L
05801_p3_L05	85	12	L
05801_p3_L05	86	62	L
05801_p3_L05	87	7	L
05801_p3_L05	88	112	L
05801_p3_L05	89	40	L
05801_p3_L05	90	53	L
05801_p3_L05	91	132	M
05801_p3_L05	92	140	M
05801_p3_L06	1	82	L
05801_p3_L06	2	84	L
05801_p3_L06	3	37	M
05801_p3_L06	4	30	M
05801_p3_L06	5	173	L
05801_p3_L06	6	96	L
05801_p3_L06	7	82	M
05801_p3_L06	8	28	M
05801_p3_L06	9	102	M
05801_p3_L06	10	83	L
05801_p3_L06	11	2	M
05801_p3_L06	12	83	L
05801_p3_L06	13	58	L
05801_p3_L06	14	132	H
05801_p3_L06	15	81	M
05801_p3_L06	16	2	M
05801_p3_L06	17	141	L
05801_p3_L06	18	84	L
05801_p3_L06	19	27	M
05801_p3_L06	20	32	M
05801_p3_L06	21	21	L
05801_p3_L06	22	82	M
05801_p3_L06	23	112	L
05801_p3_L06	24	83	L
05801_p3_L06	25	32	M
05801_p3_L06	26	35	L
05801_p3_L06	27	29	M
05801_p3_L06	28	82	M
05801_p3_L06	29	61	M
05801_p3_L06	30	26	M
05801_p3_L06	31	30	M
05801_p3_L06	32	82	M
05801_p3_L06	33	37	M
05801_p3_L06	34	7	M
05801_p3_L06	35	102	M
05801_p3_L06	36	22	M
05801_p3_L06	37	84	L
05801_p3_L06	38	70	L
05801_p3_L06	39	12	L
05801_p3_L06	40	85	L
05801_p3_L06	41	26	L
05801_p3_L06	42	76	L
05801_p3_L06	43	83	L
05801_p3_L06	44	113	L
05801_p3_L06	45	140	M
05801_p3_L06	46	131	M
05801_p3_L06	47	124	M
05801_p3_L06	48	29	M
05801_p3_L06	49	34	M
05801_p3_L06	50	83	L
05801_p3_L06	51	102	M
05801_p3_L06	52	3	M
05801_p3_L06	53	28	M
05801_p3_L06	54	82	M
05801_p3_L06	55	115	L
05801_p3_L06	56	132	M
05801_p3_L06	57	38	L
05801_p3_L06	58	23	M
05801_p3_L06	59	29	M
05801_p3_L06	60	113	L
05801_p3_L06	61	62	L
05801_p3_L06	62	50	L
05801_p3_L06	63	3	L
05801_p3_L06	64	82	L
05801_p3_L06	65	140	L
05801_p3_L06	66	124	L
05801_p3_L06	67	42	L
05801_p3_L06	68	132	M
05801_p3_L06	69	13	L
05801_p3_L06	70	45	L
05801_p3_L06	71	30	L
05801_p3_L06	72	27	L
05801_p3_L06	73	84	L
05801_p3_L06	74	78	L
05801_p3_L06	75	22	L
05801_p3_L07	1	85	L
05801_p3_L07	2	77	M
05801_p3_L07	3	47	M
05801_p3_L07	4	5	M
05801_p3_L07	5	31	M
05801_p3_L07	6	72	L
05801_p3_L07	7	88	L
05801_p3_L07	8	63	M
05801_p3_L07	9	103	M
05801_p3_L07	10	21	L
05801_p3_L07	11	81	M
05801_p3_L07	12	24	L
05801_p3_L07	13	83	L
05801_p3_L07	14	117	L
05801_p3_L07	15	21	L
05801_p3_L07	16	83	L
05801_p3_L07	17	102	M
05801_p3_L07	18	119	L
05801_p3_L07	19	87	L
05801_p3_L07	20	172	L
05801_p3_L07	21	9	M
05801_p3_L07	22	91	L
05801_p3_L07	23	2	M
05801_p3_L07	24	6	L
05801_p3_L07	25	103	M
05801_p3_L07	26	29	M
05801_p3_L07	27	72	M
05801_p3_L07	28	113	M
05801_p3_L07	29	64	L
05801_p3_L07	30	132	M
05801_p3_L07	31	15	L
05801_p3_L07	32	91	L
05801_p3_L07	33	7	M
05801_p3_L07	34	16	L
05801_p3_L07	35	72	L
05801_p3_L07	36	87	L
05801_p3_L07	37	64	L
05801_p3_L07	38	59	L
05801_p3_L07	39	11	L
05801_p3_L07	40	22	M
05801_p3_L07	41	82	M
05801_p3_L07	42	28	M
05801_p3_L07	43	33	M
05801_p3_L07	44	84	L
05801_p3_L07	45	25	L
05801_p3_L07	46	72	M
05801_p3_L07	47	30	M
05801_p3_L07	48	150	L
05801_p3_L07	49	141	L
05801_p3_L07	50	59	L
05801_p3_L07	51	3	L
05801_p3_L07	52	132	M
05801_p3_L07	53	129	L
05801_p3_L07	54	77	L
05801_p3_L07	55	4	L
05801_p3_L07	56	28	L
05801_p3_L07	57	140	L
05801_p3_L07	58	124	L
05801_p3_L07	59	131	L
05801_p3_L08	1	130	M
05801_p3_L08	2	141	M
05801_p3_L08	3	16	L
05801_p3_L08	4	32	L
05801_p3_L08	5	76	L
05801_p3_L08	6	66	L
05801_p3_L08	7	130	M
05801_p3_L08	8	141	M
05801_p3_L08	9	126	M
05801_p3_L08	10	117	L
05801_p3_L08	11	81	M
05801_p3_L08	12	2	M
05801_p3_L08	13	85	M
05801_p3_L08	14	23	M
05801_p3_L08	15	119	L
05801_p3_L08	16	336	L
05801_p3_L08	17	115	L
05801_p3_L08	18	89	L
05801_p3_L08	19	14	L
05801_p3_L08	20	5	M
05801_p3_L08	21	93	L
05801_p3_L08	22	133	L
05801_p3_L08	23	129	M
05801_p3_L08	24	15	L
05801_p3_L08	25	130	M
05801_p3_L08	26	126	M
05801_p3_L08	27	68	L
05801_p3_L08	28	3	M
05801_p3_L08	29	59	L
05801_p3_L08	30	39	L
05801_p3_L08	31	25	L
05801_p3_L08	32	124	L
05801_p3_L08	33	126	L
05801_p3_L08	34	12	L
05801_p3_L08	35	64	L
05801_p3_L08	36	27	L
05801_p3_L08	37	72	L
05801_p3_L08	38	23	L
05801_p3_L08	39	111	L
05801_p3_L08	40	85	L
05801_p3_L08	41	132	M
05801_p3_L08	42	140	M
05801_p3_L08	43	124	M
05801_p3_L08	44	2	M
05801_p3_L08	45	30	L
05801_p3_L08	46	103	L
05801_p3_L08	47	85	L
05801_p3_L08	48	77	L
05801_p3_L08	49	81	L
05801_p3_L08	50	81	L
05801_p3_L08	51	3	L
05801_p3_L08	52	32	L
05801_p3_L08	53	272	L
05801_p3_L08	54	124	L
05801_p3_L08	55	132	L
