line	idx	sign	value	grade
p1_r07	2	26	t	M
p1_r07	3	71	a	M
p1_r07	4	27	e	M
p1_r07	5	36	e	M
p1_r07	6	46	n	M
p1_r07	7	83	r	M
p1_r07	8	97	e	M
p1_r07	9	46	n	M
p1_r07	10	37	s	M
p1_r07	11	81	e	M
p1_r07	12	101	s	M
p1_r07	13	29	r	M
p1_r07	14	64	e	M
p1_r07	15	6	e	M
p1_r07	16	38	u	M
p1_r07	17	72	e	M
p1_r07	18	12	e	M
p1_r07	19	26	t	M
p1_r07	20	82	e	M
p1_r07	21	102	t	M
p1_r07	22	22	r	M
p1_r07	23	28	e	M
p1_r07	24	150	best	M
p1_r08	1	82	e	M
p1_r08	2	37	s	M
p1_r08	3	26	t	M
p1_r08	4	33	e	M
p1_r08	5	57	i	M
p1_r08	6	22	r	M
p1_r08	7	48	m	M
p1_r08	8	29	r	M
p1_r08	9	62	e	M
p1_r08	10	42	e	M
p1_r08	11	27	e	M
p1_r08	12	19	e	M
p1_r08	13	25	e	M
p1_r08	14	7	u	M
p1_r08	15	28	e	M
p1_r08	16	62	e	M
p1_r08	17	54	e	M
p1_r08	18	40	s	M
p1_r08	19	29	r	M
p1_r08	20	62	e	M
p1_r08	21	83	r	M
p1_r08	22	9	e	M
p1_r08	23	2	a	M
p1_r08	24	28	e	M
p1_r08	25	16	n	M
p1_r09	1	103	e	M
p1_r09	2	72	e	M
p1_r09	3	33	e	M
p1_r09	4	46	n	M
p1_r09	5	?	?	U
p1_r09	6	73	n	M
p1_r09	7	27	e	M
p1_r09	8	25	e	M
p1_r09	9	56	u	M
p1_r09	10	24	t	M
p1_r09	11	13	a	M
p1_r09	12	82	e	M
p1_r09	13	23	d	M
p1_r09	14	27	e	M
p1_r09	15	81	e	M
p1_r09	16	2	a	M
p1_r09	17	77	e	M
p1_r09	18	69	e	M
p1_r09	19	104	n	M
p1_r09	20	74	u	M
p1_r09	21	31	i	M
p1_r09	22	60	e	M
p1_r09	23	59	e	M
p1_r09	24	40	s	M
p1_r09	25	25	e	M
p1_r10	1	42	e	M
p1_r10	2	92	s	M
p1_r10	3	?	?	U
p1_r10	4	?	?	U
p1_r10	5	9	e	M
p1_r10	6	4	d	M
p1_r10	7	12	e	M
p1_r10	8	41	a	M
p1_r10	9	13	a	M
p1_r10	10	77	e	M
p1_r10	11	84	o	M
p1_r10	12	4	d	M
p1_r10	13	34	i	M
p1_r10	14	67	e	M
p1_r10	15	13	a	M
p1_r10	16	68	e	M
p1_r10	17	72	e	M
p1_r10	18	83	r	M
p1_r10	19	37	s	M
p1_r10	20	26	t	M
p1_r10	21	72	e	M
p1_r10	22	4	d	M
p1_r10	23	34	i	M
p1_r10	24	87	e	M
p1_r10	25	?	?	U
p1_r11	1	65	t	M
p1_r11	2	25	e	M
p1_r11	3	68	e	M
p1_r11	4	82	e	M
p1_r11	5	22	r	M
p1_r11	6	61	e	M
p1_r11	7	39	u	M
p1_r11	8	67	e	M
p1_r11	9	4	d	M
p1_r11	10	12	e	M
p1_r11	11	60	e	M
p1_r11	12	84	o	M
p1_r11	13	39	u	M
p1_r11	14	26	t	M
p1_r11	15	150	best	M
p1_r11	16	128	de	M
p1_r11	17	136	a	M
p1_r11	18	46	n	M
p1_r11	19	52	d	M
p1_r11	20	28	e	M
p1_r11	21	84	o	M
p1_r11	22	112	s	M
p1_r11	23	42	e	M
p1_r11	24	27	e	M
p1_r12	1	54	e	M
p1_r12	2	40	s	M
p1_r12	3	27	e	M
p1_r12	4	9	e	M
p1_r12	5	4	d	M
p1_r12	6	35	s	M
p1_r12	7	16	n	M
p1_r12	8	101	s	M
p1_r12	9	114	r	H
p1_r12	10	43	e	M
p1_r12	11	12	e	M
p1_r12	12	79	e	M
p1_r12	13	40	s	M
p1_r12	14	29	r	M
p1_r12	15	9	e	M
p1_r12	16	28	e	M
p1_r12	17	77	e	M
p1_r12	18	59	e	M
p1_r12	19	12	e	M
p1_r12	20	202	p	M
p1_r12	21	12	e	M
p1_r12	22	201	NULL	M
p1_r12	23	12	e	M
p1_r13	1	279	?	U
p1_r13	4	?	?	U
p1_r13	5	?	?	U
p1_r13	6	?	?	U
p1_r13	7	?	?	U
p1_r13	8	?	?	U
p1_r13	10	?	?	U
p1_r13	12	59	e	M
p1_r13	13	37	s	M
p1_r13	14	25	e	M
p1_r13	15	76	e	M
p1_r13	16	2	a	M
p1_r13	17	31	i	M
p1_r13	18	142	e	M
p1_r13	19	51	t	M
p1_r13	20	52	d	M
p1_r13	21	61	e	M
p1_r13	22	2	a	M
p1_r14	1	33	e	M
p1_r14	2	12	e	M
p1_r14	3	42	e	M
p1_r14	4	88	r	M
p1_r14	5	62	e	M
p1_r14	6	13	a	M
p1_r14	7	82	e	M
p1_r14	8	40	s	M
p1_r14	9	62	e	M
p1_r14	10	7	u	M
p1_r14	11	41	a	M
p1_r14	12	54	e	M
p1_r14	13	39	u	M
p1_r14	14	29	r	M
p1_r14	15	67	e	M
p1_r14	16	38	u	M
p1_r14	17	26	t	M
p1_r14	18	73	n	M
p1_r14	19	27	e	M
p1_r14	20	33	e	M
p1_r14	21	142	e	M
p1_r14	22	121	l	M
p1_r14	23	135	d	M
p1_r15	1	62	e	M
p1_r15	2	34	i	M
p1_r15	3	4	d	M
p1_r15	4	27	e	M
p1_r15	5	48	m	M
p1_r15	6	26	t	M
p1_r15	7	57	i	M
p1_r15	8	101	s	M
p1_r15	9	52	d	M
p1_r15	10	12	e	M
p1_r15	11	54	e	M
p1_r15	12	40	s	M
p1_r15	13	27	e	M
p1_r15	14	67	e	M
p1_r15	15	2	a	M
p1_r15	16	73	n	M
p1_r15	17	62	e	M
p1_r15	18	46	n	M
p1_r15	19	105	o	M
p1_r15	20	27	e	M
p1_r15	21	31	i	M
p1_r15	22	67	e	M
p1_r15	23	29	r	M
p1_r15	24	12	e	M
p1_r15	25	7	u	M
p1_r16	1	56	u	M
p1_r16	2	102	t	M
p1_r16	3	29	r	M
p1_r16	4	12	e	M
p1_r16	5	12	e	M
p1_r16	6	6	e	M
p1_r16	7	41	a	M
p1_r16	8	47	e	M
p1_r16	9	39	u	M
p1_r16	10	72	e	M
p1_r16	11	81	e	M
p1_r16	12	31	i	M
p1_r16	13	54	e	M
p1_r16	14	39	u	M
p1_r16	15	29	r	M
p1_r16	16	74	u	M
p1_r16	17	116	e	M
p1_r16	18	47	e	M
p1_r16	19	26	t	M
p1_r16	20	148	que	M
p1_r16	21	81	e	M
p1_r16	22	120	e	M
p1_r16	23	56	u	M
p1_r16	24	61	e	M
p1_r17	1	60	e	M
p1_r17	2	12	e	M
p1_r17	3	26	t	M
p1_r17	4	74	u	M
p1_r17	5	26	t	M
p1_r17	6	27	e	M
p1_r17	7	77	e	M
p1_r17	8	62	e	M
p1_r17	9	87	e	M
p1_r17	10	46	n	M
p1_r17	11	12	e	M
p1_r17	12	88	r	M
p1_r17	13	77	e	M
p1_r17	14	116	e	M
p1_r17	15	68	e	M
p1_r17	16	117	e	M
p1_r17	17	2	a	M
p1_r17	18	22	r	M
p1_r17	19	91	a	M
p1_r17	20	64	e	M
p1_r17	21	119	e	M
p1_r17	22	27	e	M
p1_r17	23	77	e	M
p1_r17	24	69	e	M
p1_r17	25	33	e	M
p1_r18	1	16	n	M
p1_r18	2	111	e	M
p1_r18	3	37	s	M
p1_r18	4	49	e	M
p1_r18	5	4	d	M
p1_r18	6	33	e	M
p1_r18	8	?	?	U
p1_r18	18	?	?	U
p1_r19	9	81	e	M
p1_r19	10	2	a	M
p1_r19	11	56	u	M
p1_r19	12	51	t	M
p1_r19	13	62	e	M
p1_r19	14	3	e	M
p1_r19	15	33	e	M
p1_r19	16	63	e	M
p1_r19	17	54	e	M
p1_r19	18	36	e	M
p1_r19	19	26	t	M
p1_r19	20	81	e	M
p1_r19	21	27	e	M
p1_r19	22	33	e	M
p1_r20	1	49	e	M
p1_r20	2	2	a	M
p1_r20	3	91	a	M
p1_r20	4	4	d	M
p1_r20	5	4	d	M
p1_r20	6	49	e	M
p1_r20	7	101	s	M
p1_r20	8	82	e	M
p1_r20	9	2	a	M
p1_r20	10	12	e	M
p1_r20	11	26	t	M
p1_r20	12	105	o	M
p1_r20	13	67	e	M
p1_r20	14	350	?	U
p1_r20	19	?	?	U
p1_r20	20	?	?	U
p1_r21	2	61	e	M
p1_r21	3	36	e	M
p1_r21	4	47	e	M
p1_r21	5	59	e	M
p1_r21	6	22	r	M
p1_r21	7	77	e	M
p1_r21	8	26	t	M
p1_r21	9	12	e	M
p1_r21	10	276	?	U
p1_r21	11	59	e	M
p1_r21	12	37	s	M
p1_r21	13	25	e	M
p1_r21	14	12	e	M
p1_r21	15	45	i	M
p1_r21	16	27	e	M
p1_r21	17	62	e	M
p1_r21	18	101	s	M
p1_r21	19	72	e	M
p1_r21	20	84	o	M
p1_r21	21	47	e	M
p1_r21	22	2	a	M
p1_r21	23	33	e	M
p1_r22	1	9	e	M
p1_r22	2	118	d	M
p1_r22	3	47	e	M
p1_r22	4	3	e	M
p1_r22	5	12	e	M
p1_r22	6	25	e	M
p1_r22	9	?	?	U
p1_r22	12	?	?	U
p1_r22	13	?	?	U
p1_r22	14	9	e	M
p1_r22	15	39	u	M
p1_r22	16	54	e	M
p1_r22	17	40	s	M
p1_r22	18	27	e	M
p1_r22	19	61	e	M
p1_r22	20	?	?	U
p1_r22	21	4	d	M
p1_r22	22	?	?	U
p1_r22	23	48	m	M
p1_r22	24	27	e	M
p1_r23	1	81	e	M
p1_r23	2	2	a	M
p1_r23	3	72	e	M
p1_r23	4	117	e	M
p1_r23	5	66	n	M
p1_r23	6	42	e	M
p1_r23	7	?	?	U
p1_r23	8	138	e	M
p1_r23	9	8	s	M
p1_r23	10	4	d	M
p1_r23	11	16	n	M
p1_r23	12	48	m	M
p1_r23	13	112	s	M
p1_r23	14	339	?	U
p1_r23	15	81	e	M
p1_r23	16	33	e	M
p1_r23	17	12	e	M
p1_r23	18	36	e	M
p1_r23	19	46	n	M
p1_r23	20	48	m	M
p1_r23	21	114	r	H
p1_r23	22	337	?	U
p1_r24	1	?	?	U
p1_r24	2	?	?	U
p1_r24	3	?	?	U
p1_r24	5	82	e	M
p1_r24	6	26	t	M
p1_r24	7	76	e	M
p1_r24	8	2	a	M
p1_r24	9	33	e	M
p1_r24	10	35	s	M
p1_r24	11	69	e	M
p1_r24	12	12	e	M
p1_r24	13	57	i	M
p1_r24	14	36	e	M
p1_r24	15	129	e	M
p1_r24	16	138	e	M
p1_r24	17	59	e	M
p1_r24	18	38	u	M
p1_r24	19	25	e	M
p1_r24	20	81	e	M
p1_r24	21	2	a	M
p1_r24	22	83	r	M
p1_r24	23	67	e	M
p1_r24	24	28	e	M
p1_r25	1	3	e	M
p1_r25	2	81	e	M
p1_r25	3	2	a	M
p1_r25	4	61	e	M
p1_r25	5	81	e	M
p1_r25	6	2	a	M
p1_r25	7	33	e	M
p1_r25	8	11	c	M
p1_r25	9	5	e	M
p1_r25	10	28	e	M
p1_r25	11	42	e	M
p1_r25	12	56	u	M
p1_r25	13	102	t	M
p1_r25	14	29	r	M
p1_r25	15	12	e	M
p1_r25	16	211	?	U
p1_r25	17	32	e	M
p1_r25	18	75	e	M
p1_r25	19	104	n	M
p1_r25	20	26	t	M
p1_r25	21	62	e	M
p1_r25	22	12	e	M
p1_r25	23	67	e	M
p1_r25	24	30	e	M
p1_r26	1	56	u	M
p1_r26	2	36	e	M
p1_r26	3	25	e	M
p1_r26	4	82	e	M
p1_r26	5	26	t	M
p1_r26	6	71	a	M
p1_r26	7	?	?	U
p1_r26	8	?	?	U
p1_r26	9	24	t	M
p1_r26	10	12	e	M
p1_r26	11	47	e	M
p1_r26	12	71	a	M
p1_r26	13	101	s	M
p1_r26	14	73	n	M
p1_r26	15	23	d	M
p1_r26	16	41	a	M
p1_r26	17	312	a	M
p1_r26	18	81	e	M
p1_r26	19	31	i	M
p1_r26	20	314	?	U
p1_r26	21	12	e	M
p1_r26	22	43	e	M
p1_r26	23	116	e	M
p1_r27	1	4	d	M
p1_r27	2	22	r	M
p1_r27	3	71	a	M
p1_r27	4	100	e	M
p1_r27	5	14	a	M
p1_r27	6	4	d	M
p1_r27	7	34	i	M
p1_r27	8	9	e	M
p1_r27	9	5	e	M
p1_r27	10	47	e	M
p1_r27	11	14	a	M
p1_r27	12	4	d	M
p1_r27	13	52	d	M
p1_r27	14	150	best	M
p1_r27	15	19	e	M
p1_r27	16	22	r	M
p1_r27	17	33	e	M
p1_r27	18	4	d	M
p1_r27	19	4	d	M
p1_r27	20	52	d	M
p1_r27	21	81	e	M
p1_r27	22	26	t	M
p1_r27	23	57	i	M
p1_r27	24	66	n	M
p1_r27	25	4	d	M
p1_r27	26	7	u	M
p1_r27	27	149	n	M
p1_r28	1	6	e	M
p1_r28	2	25	e	M
p1_r28	3	62	e	M
p1_r28	4	13	a	M
p1_r28	5	67	e	M
p1_r28	6	28	e	M
p1_r28	7	72	e	M
p1_r28	8	59	e	M
p1_r28	9	38	u	M
p1_r28	10	22	r	M
p1_r28	11	66	n	M
p1_r28	12	52	d	M
p1_r28	13	26	t	M
p1_r28	14	105	o	M
p1_r28	15	67	e	M
p1_r28	16	7	u	M
p1_r28	17	2	a	M
p1_r28	18	33	e	M
p1_r28	19	8	s	M
p1_r28	20	2	a	M
p1_r28	21	61	e	M
p1_r28	22	3	e	M
p1_r28	23	77	e	M
p1_r28	24	9	e	M
p1_r28	25	39	u	M
p1_r28	26	12	e	M
p1_r28	27	39	u	M
p1_r29	1	48	m	M
p1_r29	2	7	u	M
p1_r29	3	5	e	M
p1_r29	4	29	r	M
p1_r29	5	48	m	M
p1_r29	6	115	u	M
p1_r29	7	86	n	M
p1_r29	8	44	t	M
p1_r29	9	68	e	M
p1_r29	10	5	e	M
p1_r29	11	26	t	M
p1_r29	15	?	?	U
p1_r30	16	?	?	U
p1_r29	17	?	?	U
p1_r29	18	?	?	U
p1_r29	20	?	?	U
p1_r31	1	?	?	U
p1_r31	2	?	?	U
p1_r31	3	?	?	U
p1_r31	4	?	?	U
p1_r29	22	?	?	U
p1_r30	1	?	?	U
p1_r30	2	?	?	U
p1_r30	3	?	?	U
p1_r30	4	?	?	U
p1_r30	5	?	?	U
p1_r30	6	?	?	U
p1_r30	10	?	?	U
p1_r30	11	?	?	U
p1_r30	12	?	?	U
p1_r30	13	?	?	U
p1_r30	14	9	e	M
p1_r30	15	39	u	M
p1_r30	16	59	e	M
p1_r30	17	40	s	M
p1_r30	18	25	e	M
p1_r30	19	55	e	M
p1_r30	20	85	u	M
p1_r30	21	5	e	M
p1_r30	22	16	n	M
p1_r30	23	105	o	M
p1_r30	24	67	e	M
p1_r30	25	82	e	M
p1_r31	1	53	e	M
p1_r31	2	23	d	M
p1_r31	3	12	e	M
p1_r31	4	45	i	M
p1_r31	5	26	t	M
p1_r31	6	92	s	M
p1_r31	7	66	n	M
p1_r31	8	4	d	M
p1_r31	9	77	e	M
p1_r31	10	54	e	M
p1_r31	11	119	e	M
p1_r31	12	66	n	M
p1_r31	13	67	e	M
p1_r31	14	9	e	M
p1_r31	15	112	s	M
p1_r31	16	47	e	M
p1_r31	17	61	e	M
p1_r31	18	41	a	M
p1_r31	19	82	e	M
p1_r31	20	68	e	M
p1_r31	21	77	e	M
p1_r31	22	150	best	M
p1_r31	23	148	que	M
p1_r32	1	77	e	M
p1_r32	2	51	t	M
p1_r32	3	5	e	M
p1_r32	4	26	t	M
p1_r32	5	7	u	M
p1_r32	6	311	a	M
p1_r32	7	12	e	M
p1_r32	8	12	e	M
p1_r32	9	6	e	M
p1_r32	10	41	a	M
p1_r32	11	47	e	M
p1_r32	12	36	e	M
p1_r32	13	72	e	M
p1_r32	14	104	n	M
p1_r32	15	114	r	H
p1_r32	16	81	e	M
p1_r32	17	26	t	M
p1_r32	18	33	e	M
p1_r32	19	79	e	M
p1_r32	20	40	s	M
p1_r32	21	33	e	M
p1_r32	22	7	u	M
p1_r32	23	22	r	M
p1_r33	1	76	e	M
p1_r33	2	101	s	M
p1_r33	3	2	a	M
p1_r33	4	63	e	M
p1_r33	5	115	u	M
p1_r33	6	54	e	M
p1_r33	7	40	s	M
p1_r33	8	27	e	M
p1_r33	9	83	r	M
p1_r33	10	81	e	M
p1_r33	11	2	a	M
p1_r33	12	77	e	M
p1_r33	13	60	e	M
p1_r33	14	12	e	M
p1_r33	15	29	r	M
p1_r33	16	74	u	M
p1_r33	17	112	s	M
p1_r33	18	11	c	M
p1_r33	19	33	e	M
p1_r33	20	60	e	M
p1_r33	1001	?	?	U
p1_r33	1002	?	?	U
p1_r33	1003	?	?	U
p1_r33	22	?	?	U
p1_r33	23	?	?	U
p1_r33	24	?	?	U
p1_r33	25	?	?	U
p1_r34	1	?	?	U
p1_r34	2	?	?	U
p1_r34	3	?	?	U
p1_r34	4	?	?	U
p1_r34	5	12	e	M
p1_r34	6	279	?	U
p1_r34	7	104	n	M
p1_r34	8	114	r	H
p1_r34	9	55	e	M
p1_r34	10	81	e	M
p1_r34	11	4	d	M
p1_r34	12	83	r	M
p1_r34	13	82	e	M
p1_r34	14	2	a	M
p1_r34	15	32	e	M
p1_r34	16	12	e	M
p1_r34	17	26	t	M
p1_r34	18	31	i	M
p1_r34	19	79	e	M
p1_r34	20	38	u	M
p1_r34	21	29	r	M
p1_r35	1	42	e	M
p1_r35	2	26	t	M
p1_r35	3	34	i	M
p1_r35	4	38	u	M
p1_r35	5	22	r	M
p1_r35	6	29	r	M
p1_r35	7	81	e	M
p1_r35	8	31	i	M
p1_r35	9	54	e	M
p1_r35	10	72	e	M
p1_r35	11	69	e	M
p1_r35	12	2	a	M
p1_r35	13	33	e	M
p1_r35	14	56	u	M
p1_r35	15	65	t	M
p1_r35	16	6	e	M
p1_r35	17	40	s	M
p1_r35	18	72	e	M
p1_r35	19	12	e	M
p1_r35	20	54	e	M
p1_r35	21	27	e	M
p1_r35	22	?	?	U
p1_r35	23	67	e	M
p1_r36	1	84	o	M
p1_r36	2	101	s	M
p1_r36	3	73	n	M
p1_r36	4	?	?	U
p1_r36	5	22	r	M
p1_r36	6	85	u	M
p1_r36	7	116	e	M
p1_r36	8	57	i	M
p1_r36	9	28	e	M
p1_r36	10	71	a	M
p1_r36	11	27	e	M
p1_r36	12	22	r	M
p1_r36	13	42	e	M
p1_r36	14	27	e	M
p1_r36	15	74	u	M
p1_r36	16	115	u	M
p1_r36	17	11	c	M
p1_r36	18	31	i	M
p1_r36	19	59	e	M
p1_r36	20	86	n	M
p1_r36	21	66	n	M
p1_r36	22	4	d	M
p1_r36	23	9	e	M
p1_r36	24	101	s	M
p1_r37	1	30	e	M
p1_r37	2	12	e	M
p1_r37	3	56	u	M
p1_r37	4	26	t	M
p1_r37	5	72	e	M
p1_r37	6	22	r	M
p1_r37	7	56	u	M
p1_r37	8	22	r	M
p1_r37	9	42	e	M
p1_r37	10	13	a	M
p1_r37	11	33	e	M
p1_r37	12	311	a	M
p1_r37	14	?	?	U
p1_r37	17	?	?	U
p1_r37	19	4	d	M
p1_r37	20	39	u	M
p1_r37	21	101	s	M
p1_r37	22	111	e	M
p1_r37	23	44	t	M
p1_r37	24	4	d	M
p2_r01	1	81	e	M
p2_r01	2	33	e	M
p2_r01	3	12	e	M
p2_r01	4	201	NULL	M
p2_r01	5	54	e	M
p2_r01	6	84	o	M
p2_r01	7	4	d	M
p2_r01	8	61	e	M
p2_r01	9	22	r	M
p2_r01	10	68	e	M
p2_r01	11	82	e	M
p2_r01	12	69	e	M
p2_r01	13	4	d	M
p2_r01	14	84	o	M
p2_r01	15	76	e	M
p2_r01	16	2	a	M
p2_r01	17	32	e	M
p2_r01	18	62	e	M
p2_r01	19	54	e	M
p2_r01	20	40	s	M
p2_r01	21	26	t	M
p2_r01	22	81	e	M
p2_r01	23	2	a	M
p2_r02	1	84	o	M
p2_r02	2	39	u	M
p2_r02	3	77	e	M
p2_r02	4	69	e	M
p2_r02	5	5	e	M
p2_r02	6	26	t	M
p2_r02	8	?	?	U
p2_r02	9	?	?	U
p2_r02	11	?	?	U
p2_r02	14	?	?	U
p2_r03	10	?	?	U
p2_r03	11	?	?	U
p2_r03	12	?	?	U
p2_r03	13	?	?	U
p2_r03	14	?	?	U
p2_r03	13	?	?	U
p2_r03	15	?	?	U
p2_r03	16	?	?	U
p2_r03	17	?	?	U
p2_r03	18	?	?	U
p2_r04	1	?	?	U
p2_r04	6	?	?	U
p2_r04	12	?	?	U
p2_r04	13	?	?	U
p2_r04	16	?	?	U
p2_r04	18	?	?	U
p2_r05	1	4	d	M
p2_r05	3	145	a	M
p2_r05	4	127	d	M
p2_r05	5	54	e	M
p2_r05	6	40	s	M
p2_r05	7	26	t	M
p2_r05	8	62	e	M
p2_r05	9	84	o	M
p2_r05	10	4	d	M
p2_r05	11	28	e	M
p2_r05	12	7	u	M
p2_r05	13	29	r	M
p2_r05	14	34	i	M
p2_r05	15	40	s	M
p2_r05	16	22	r	M
p2_r05	17	26	t	M
p2_r05	18	101	s	M
p2_r05	19	8	s	M
p2_r05	20	33	e	M
p2_r05	21	66	n	M
p2_r05	22	102	t	M
p2_r05	23	72	e	M
p2_r06	1	77	e	M
p2_r06	2	61	e	M
p2_r06	3	82	e	M
p2_r06	4	75	e	M
p2_r06	5	42	e	M
p2_r06	6	82	e	M
p2_r06	7	26	t	M
p2_r06	8	62	e	M
p2_r06	9	12	e	M
p2_r06	10	279	?	U
p2_r06	11	15	e	M
p2_r06	12	62	e	M
p2_r06	13	111	e	M
p2_r06	14	61	e	M
p2_r06	15	84	o	M
p2_r06	16	4	d	M
p2_r06	17	26	t	M
p2_r06	18	15	e	M
p2_r06	19	69	e	M
p2_r06	20	47	e	M
p2_r06	21	26	t	M
p2_r06	22	72	e	M
p2_r07	1	12	e	M
p2_r07	2	79	e	M
p2_r07	3	40	s	M
p2_r07	4	77	e	M
p2_r07	5	65	t	M
p2_r07	6	48	m	M
p2_r07	7	78	e	M
p2_r07	8	85	u	M
p2_r07	9	64	e	M
p2_r07	10	40	s	M
p2_r07	11	111	e	M
p2_r07	12	83	r	M
p2_r07	13	67	e	M
p2_r07	14	47	e	M
p2_r07	15	4	d	M
p2_r07	16	34	i	M
p2_r07	17	81	e	M
p2_r07	18	36	e	M
p2_r07	19	26	t	M
p2_r07	20	73	n	M
p2_r07	21	9	e	M
p2_r07	22	4	d	M
p2_r07	23	30	e	M
p2_r08	1	75	e	M
p2_r08	2	101	s	M
p2_r08	3	83	r	M
p2_r08	4	84	o	M
p2_r08	5	26	t	M
p2_r08	6	33	e	M
p2_r08	7	67	e	M
p2_r08	8	9	e	M
p2_r08	9	4	d	M
p2_r08	10	72	e	M
p2_r08	11	105	o	M
p2_r08	12	115	u	M
p2_r08	13	120	e	M
p2_r08	14	30	e	M
p2_r08	15	33	e	M
p2_r08	16	9	e	M
p2_r08	17	87	e	M
p2_r08	18	5	e	M
p2_r08	19	150	best	M
p2_r08	20	46	n	M
p2_r08	21	101	s	M
p2_r08	22	30	e	M
p2_r09	1	54	e	M
p2_r09	2	40	s	M
p2_r09	3	26	t	M
p2_r09	4	54	e	M
p2_r09	5	36	e	M
p2_r09	6	27	e	M
p2_r09	7	59	e	M
p2_r09	8	38	u	M
p2_r09	9	22	r	M
p2_r09	10	84	o	M
p2_r09	11	102	t	M
p2_r09	12	69	e	M
p2_r09	13	2	a	M
p2_r09	14	30	e	M
p2_r09	15	25	e	M
p2_r09	16	4	d	M
p2_r09	17	65	t	M
p2_r09	18	37	s	M
p2_r09	19	112	s	M
p2_r09	20	33	e	M
p2_r09	21	67	e	M
p2_r10	1	56	u	M
p2_r10	2	27	e	M
p2_r10	3	71	a	M
p2_r10	4	22	r	M
p2_r10	12	?	?	U
p2_r11	5	?	?	U
p2_r11	7	?	?	U
p2_r11	8	?	?	U
p2_r11	12	?	?	U
p2_r12	5	?	?	U
p2_r12	6	?	?	U
p2_r12	7	?	?	U
p2_r12	13	?	?	U
p2_r13	2	?	?	U
p2_r13	5	?	?	U
p2_r13	6	?	?	U
p2_r13	8	?	?	U
p2_r13	10	?	?	U
p2_r13	3	?	?	U
p2_r13	12	?	?	U
p2_r13	14	?	?	U
p2_r14	3	?	?	U
p2_r14	4	?	?	U
p2_r14	9	?	?	U
p2_r14	11	?	?	U
p2_r15	5	?	?	U
p2_r15	6	?	?	U
p2_r15	7	?	?	U
p2_r16	1	?	?	U
p2_r15	2	?	?	U
p2_r16	6	?	?	U
p2_r16	9	?	?	U
p2_r15	11	?	?	U
p2_r16	11	?	?	U
p2_r16	14	?	?	U
