line	pos	code	marks	grade
10	20	_	dot	AB
10	21	w		AB
10	22	Lx	dot	settled
10	23	S7	1	AB
11	1	eps	7	AB
11	2	S7		AB
11	3	sq	ot	settled
11	4	_		settled
11	5	_		AB
11	6	#		AB
11	7	H	1|o	AB
11	8	tee		settled
11	9	w		AB
11	10	g		AB
11	11	S7		AB
11	12	y		AB
11	13	g		AB
11	14	]	o	AB
11	15	bh		AB
11	16	g		settled
11	17	rz		AB
11	18	g	1	AB
11	19	S7		AB
11	20	#		AB
11	21	S4		AB
11	22	dl		settled
11	22.5	f		settled
11	23	Lx		AB
12	1	_		AB
12	2	_		AB
12	3	_		settled
12	4	_		AB
12	5	_		AB
12	6	_		AB
12	7	_		AB
12	8	_	dot	AB
12	9	_		AB
12	10	_		AB
12	11	_		AB
12	12	_		AB
12	13	S4		AB
12	14	y		AB
12	15	nt		AB
12	16	bh		AB
12	17	w		AB
12	18	e	dot	AB
12	19	phi		AB
12	20	dl		AB
12	21	_		AB
12	22	_		AB
12	23	_		AB
12	24	_		AB
12	25	_		AB
12	26	_	ot	AB
13	1	S4		AB
13	2	Lx		AB
13	3	tee		settled
13	4	w		AB
13	5	y		AB
13	6	S7	dot	settled
13	7	nt		settled
13	8	g		AB
13	9	H		AB
13	10	H	1|o	AB
13	11	e		AB
13	12	H		AB
13	13	S7		AB
13	14	#	dot	AB
13	15	e	dot	AB
13	16	S7		AB
13	17	#	dot	AB
13	18	]	ot	AB
13	19	L		AB
13	20	g	1	AB
13	21	_		AB
13	22	S4		AB
13	23	dl		AB
13	24	Lx		AB
14	1	eps	1	AB
14	2	_		AB
14	3	_		AB
14	4	_		AB
14	5	_		AB
14	6	_		AB
14	7	_		settled
14	8	_		AB
14	9	_		AB
14	10	_		AB
14	11	_		AB
14	12	_	dot	AB
14	13	_		settled
14	14	_		AB
14	15	_		AB
14	16	_	dot|dot	AB
14	17	_		AB
14	18	_		settled
14	19	_		settled
14	20	S		settled
14	21	lam		AB
14	22	lam	#	AB
14	23	p		AB
14	24	Lx		AB
14	25	_		AB
15	1	sq	ot	AB
15	2	_		AB
15	3	rz		AB
15	4	U		AB
15	5	w		AB
15	6	_		AB
15	7	S7	5	settled
15	7.5	H		settled
15	8	e	dot	AB
15	9	e	dot|#	AB
15	10	a	~	AB
15	11	S7	#	AB
15	12	eps	dot	AB
15	13	g		AB
15	14	nt		AB
15	15	]	o	AB
15	16	_	1	AB
15	17	sq	#	AB
15	18	eps	~	settled
15	19	S7		AB
15	20	#		settled
15	21	rz		AB
15	22	Z		AB
15	23	S7		AB
15	24	lam	#	AB
16	1	a	5	AB
16	2	tee		AB
16	3	lam		AB
16	4	g	5	AB
16	5	a		AB
16	6	g	5	AB
16	7	phi	1	AB
16	8	e		AB
16	9	psi		AB
16	10	g		settled
16	11	H	o|1	AB
16	12	]		settled
16	13	dl		settled
16	14	g		AB
16	15	S		AB
16	16	rz		AB
16	17	g	5	AB
16	18	S7	#	AB
16	19	a	dot	AB
16	20	S		AB
16	21	tee		AB
16	22	lam	5	AB
16	23	o.		AB
16	24	y		AB
16	25	S7		AB
16	26	w		settled
16	27	_		AB
16	28	g		AB
16	29	Z		AB
16	30	S4		AB
16	31	dl		AB
16	32	+		AB
17	1	S		settled
17	2	_		settled
17	3	S		settled
17	4	_		AB
17	5	_		settled
17	6	_		AB
17	7	_		settled
17	8	_		AB
17	9	f		settled
17	10	_		settled
17	11	_		AB
17	12	_		AB
17	13	ch		AB
17	14	bh	dot	settled
17	15	_		AB
17	16	_	1|1	AB
17	17	_		settled
17	18	_		AB
17	19	_		AB
17	20	_		AB
17	21	_		AB
18	1	_		settled
18	2	_		settled
18	3	_		AB
18	4	_		settled
18	5	_		settled
18	6	S		settled
18	7	nt		settled
18	7.5	S	~	settled
18	8	_		AB
18	9	_		AB
18	10	_		settled
18	11	_		AB
18	12	_		AB
18	13	_		settled
18	14	_	~	AB
18	15	_		settled
18	16	_		AB
18	17	_		AB
18	18	_		settled
18	19	_		AB
18	20	_		AB
18	21	S4		AB
18	22	dl		AB
18	23	H	1|o	AB
18	24	]	o	AB
18	25	_		AB
19	1	eps	7	AB
19	2	Z		AB
19	3	psi		AB
19	4	eps	5	AB
19	5	Z	ot	AB
19	6	e	dot|+	AB
19	7	lam		AB
19	8	wd		AB
19	9	rz		AB
19	10	e	#	AB
19	11	g	dot	AB
19	12	y		AB
19	13	L		AB
19	14	bh		AB
19	15	eps	1	AB
19	16	w		AB
19	17	e	dot	AB
19	18	S7	+	settled
19	19	]		AB
19	20	nt		AB
19	21	S4		AB
19	22	_		AB
19	23	eps		AB
19	24	+		AB
19	25	_		AB
