line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
2	f54v_02_017	17	1033	291	46	19	rz	3.605	1.00	rz	
2	f54v_02_018	18	1074	289	33	45	psi	2.905	1.00	psi	
2	f54v_02_019	19	1101	289	31	30	lam	1.625	1.00	lam	5
2	f54v_02_020	20	1143	272	27	65	phi	2.718	0.79	phi	
2	f54v_02_021	21	1178	291	23	25	[	4.532	0.81	[	
2	f54v_02_022	22	1208	286	28	31	tee	2.447	0.55	_	
2	f54v_02_023	23	1246	294	39	25	Z	3.787	1.00	Z	#
2	f54v_02_024	24	1298	296	17	27	eps	4.602	1.00	eps	~
2	f54v_02_025	25	1317	299	26	34	g	2.799	1.00	g	
2	f54v_02_026	26	1355	298	41	39	y	4.148	1.00	y	~
2	f54v_02_027	27	1385	297	37	43	y	3.255	1.00	y	
2	f54v_02_028	28	1424	298	29	35	g	2.621	1.00	g	7
3	f54v_03_001	1	285	370	10	12	_	5.320	1.00	_	
3	f54v_03_002	2	393	373	22	29	eps	4.079	1.00	eps	5
3	f54v_03_003	3	413	378	65	17	w	1.936	1.00	w	
3	f54v_03_004	4	486	353	33	52	e	4.930	1.00	e	
3	f54v_03_005	5	520	367	26	36	lam	5.259	0.42	lam	5
3	f54v_03_006	6	563	372	43	49	_	6.256	0.81	_	dot|+
3	f54v_03_007	7	613	348	31	41	L	3.476	1.00	L	
3	f54v_03_008	8	649	372	20	31	g	3.786	1.00	g	~
3	f54v_03_009	9	689	372	50	70	Z	5.868	1.00	Z	
3	f54v_03_010	10	742	377	27	31	S7	2.218	1.00	S7	
3	f54v_03_011	11	764	352	31	66	_	4.477	1.00	_	dot
3	f54v_03_012	12	795	373	28	37	psi	3.827	1.00	psi	
3	f54v_03_013	13	819	369	24	26	lam	2.340	1.00	lam	
3	f54v_03_014	14	845	368	23	29	lam	3.436	1.00	lam	5
3	f54v_03_015	15	886	372	43	36	e	3.503	1.00	e	+
3	f54v_03_016	16	933	363	35	33	H	3.044	1.00	H	#
3	f54v_03_017	17	985	369	52	53	_	5.549	0.80	_	
3	f54v_03_018	18	1034	379	59	16	w	1.566	1.00	w	
3	f54v_03_019	19	1096	370	26	27	lam	3.323	1.00	lam	?
3	f54v_03_020	20	1135	372	16	26	eps	3.988	1.00	eps	7
3	f54v_03_021	21	1158	377	36	20	m	3.335	1.00	m	7
3	f54v_03_022	22	1204	380	21	25	S7	2.412	1.00	S7	
3	f54v_03_023	23	1237	374	54	50	w	4.223	1.00	w	dot|#
3	f54v_03_024	24	1297	381	25	26	S7	2.234	1.00	S7	
3	f54v_03_025	25	1332	358	36	41	_	2.605	1.00	_	dot|#|dot
3	f54v_03_026	26	1373	379	35	19	]	3.477	1.00	]	dot|o
3	f54v_03_027	27	1417	355	27	57	phi	5.684	1.00	phi	
4	f54v_04_001	1	393	456	23	25	o.	4.234	1.00	o.	
4	f54v_04_002	2	419	452	18	27	tee	2.977	1.00	tee	
4	f54v_04_003	3	445	423	39	56	_	3.413	1.00	_	
4	f54v_04_004	4	491	421	37	55	_	3.823	1.00	_	
4	f54v_04_005	5	534	454	36	19	]	3.955	1.00	]	ot
4	f54v_04_006	6	584	435	38	63	phi	2.438	1.00	phi	
4	f54v_04_007	7	621	448	25	27	lam	2.385	1.00	lam	
4	f54v_04_008	8	638	417	17	28	S	4.296	1.00	S	
4	f54v_04_009	9	650	417	28	103	bh	3.287	1.00	bh	
4	f54v_04_010	10	670	450	25	26	lam	2.808	1.00	lam	
4	f54v_04_011	11	698	452	56	23	rz	3.050	1.00	rz	
4	f54v_04_012	12	764	458	20	19	a	5.491	0.82	a	5
4	f54v_04_013	13	785	459	26	23	S7	2.723	1.00	S7	
4	f54v_04_014	14	810	452	25	25	lam	2.340	1.00	lam	7
4	f54v_04_015	15	849	435	33	61	phi	2.612	1.00	phi	
4	f54v_04_016	16	884	449	35	34	H	3.278	1.00	H	1|o
4	f54v_04_017	17	928	461	42	22	m	3.343	1.00	m	~
4	f54v_04_018	18	973	467	61	16	w	1.899	1.00	w	
4	f54v_04_019	19	1046	461	38	21	]	3.191	1.00	]	o
4	f54v_04_020	20	1089	459	30	44	psi	2.795	1.00	psi	
4	f54v_04_021	21	1116	442	52	62	_	5.549	0.61	_	
4	f54v_04_022	22	1177	437	30	42	_	2.478	1.00	_	
4	f54v_04_023	23	1212	458	33	20	]	3.804	1.00	]	o|dot
4	f54v_04_024	24	1248	456	22	30	lam	2.161	1.00	lam	1
4	f54v_04_025	25	1282	438	41	54	e	4.950	1.00	e	
4	f54v_04_026	26	1325	456	31	22	_	5.894	0.59	_	
4	f54v_04_027	27	1350	457	33	43	psi	2.275	1.00	psi	
4	f54v_04_028	28	1374	437	31	64	bh	2.010	1.00	bh	
4	f54v_04_029	29	1405	438	47	43	_	7.289	0.60	_	
4	f54v_04_030	30	1446	459	14	16	_	2.555	1.00	_	
5	f54v_05_001	1	402	535	20	21	a	3.797	1.00	a	~
5	f54v_05_002	2	432	500	41	86	_	4.336	1.00	_	
5	f54v_05_003	3	478	534	55	20	rz	3.523	1.00	rz	
5	f54v_05_004	4	538	526	25	33	tee	2.615	0.59	tee	
5	f54v_05_005	5	575	533	24	28	eps	3.145	1.00	eps	1
5	f54v_05_006	6	603	537	36	19	m	3.434	1.00	m	7
5	f54v_05_007	7	641	531	25	28	lam	2.471	1.00	lam	
5	f54v_05_008	8	670	539	28	29	S7	2.701	1.00	S7	#
5	f54v_05_009	9	722	520	38	52	e	3.316	1.00	e	
5	f54v_05_010	10	762	512	42	45	wd	3.728	1.00	wd	
5	f54v_05_011	11	787	537	45	48	y	2.810	0.83	y	
5	f54v_05_012	12	847	505	45	57	_	4.400	0.80	y	
5	f54v_05_013	13	872	541	42	47	y	3.046	1.00	y	
5	f54v_05_014	14	908	526	60	41	_	5.403	0.41	_	
5	f54v_05_015	15	981	516	23	52	_	5.114	1.00	_	
5	f54v_05_016	16	1005	546	24	24	_	1.790	1.00	_	
5	f54v_05_017	17	1040	543	38	20	]	3.084	1.00	]	o
5	f54v_05_018	18	1093	532	35	26	_	3.768	0.83	_	
5	f54v_05_019	19	1130	537	46	29	nt	2.873	1.00	nt	
5	f54v_05_020	20	1162	537	39	45	y	2.599	1.00	y	
5	f54v_05_021	21	1198	544	57	14	w	2.032	1.00	w	
5	f54v_05_022	22	1263	523	47	49	e	3.888	1.00	e	dot
5	f54v_05_023	23	1300	539	36	51	y	2.940	1.00	y	
5	f54v_05_024	24	1346	518	29	63	phi	2.552	1.00	phi	
5	f54v_05_025	25	1381	534	44	32	nt	3.240	1.00	nt	
5	f54v_05_026	26	1432	514	28	54	f	4.589	0.80	f	
6	f54v_06_001	1	406	623	23	27	eps	5.120	1.00	eps	1
6	f54v_06_002	2	433	596	34	49	_	5.574	0.40	f	
6	f54v_06_003	3	473	617	22	28	lam	2.391	1.00	lam	1
6	f54v_06_004	4	498	624	26	28	S7	1.785	1.00	S7	
6	f54v_06_005	5	512	593	39	27	#	3.683	1.00	#	
6	f54v_06_006	6	547	601	41	55	e	3.483	1.00	e	
6	f54v_06_007	7	600	596	39	50	Z	2.785	1.00	Z	
6	f54v_06_008	8	644	620	21	25	S7	2.098	1.00	S7	
6	f54v_06_009	9	668	614	25	26	lam	1.855	1.00	lam	~
6	f54v_06_010	10	710	600	40	55	e	4.293	1.00	e	
6	f54v_06_011	11	738	620	72	16	w	2.022	1.00	w	
6	f54v_06_012	12	817	619	20	20	a	4.468	1.00	a	~
6	f54v_06_013	13	861	621	23	28	eps	4.830	1.00	eps	5
6	f54v_06_014	14	884	624	28	24	S7	2.755	1.00	S7	
6	f54v_06_015	15	917	597	37	45	L	4.775	1.00	L	
6	f54v_06_016	16	961	603	41	54	e	3.483	1.00	e	
6	f54v_06_017	17	994	627	29	23	S7	3.659	1.00	S7	
6	f54v_06_018	18	1025	616	28	28	lam	1.979	1.00	lam	
6	f54v_06_019	19	1071	617	37	32	H	2.804	1.00	H	1|o|~
6	f54v_06_020	20	1120	600	43	57	e	3.316	1.00	e	
6	f54v_06_021	21	1155	605	47	38	_	5.399	0.62	_	
6	f54v_06_022	22	1209	627	19	24	_	3.698	1.00	_	
6	f54v_06_023	23	1233	604	41	54	e	3.964	1.00	e	
6	f54v_06_024	24	1281	600	38	57	e	3.483	1.00	e	
6	f54v_06_025	25	1327	583	48	55	_	4.693	0.83	_	
6	f54v_06_026	26	1376	599	53	38	S4	2.654	1.00	S4	
6	f54v_06_027	27	1440	599	20	33	_	6.477	0.40	g	
7	f54v_07_001	1	410	709	19	35	eps	5.623	1.00	eps	
7	f54v_07_002	2	424	701	28	32	+	3.697	1.00	+	
7	f54v_07_003	3	466	708	43	21	_	4.763	0.61	_	
7	f54v_07_004	4	506	661	31	83	_	5.124	0.80	_	
7	f54v_07_005	5	539	673	17	64	_	2.335	1.00	_	
7	f54v_07_006	6	574	748	7	11	_	4.275	1.00	_	
7	f54v_07_007	7	580	698	17	48	_	2.794	0.82	_	
7	f54v_07_008	8	599	703	9	21	_	5.397	0.80	_	
7	f54v_07_009	9	610	702	15	22	_	6.310	1.00	_	
7	f54v_07_010	10	626	701	11	22	_	3.621	0.80	_	
7	f54v_07_011	11	640	700	26	24	_	4.859	0.81	_	
7	f54v_07_012	12	670	693	136	30	_	3.697	1.00	_	
7	f54v_07_013	13	821	700	53	21	rz	2.948	1.00	rz	
7	f54v_07_014	14	882	696	26	27	tee	3.989	0.81	tee	
7	f54v_07_015	15	917	684	42	52	Z	4.169	1.00	Z	dot
7	f54v_07_016	16	969	679	48	50	Z	3.974	1.00	Z	
7	f54v_07_017	17	1011	709	56	17	w	1.689	1.00	w	
7	f54v_07_018	18	1072	682	39	55	Z	4.213	0.62	Z	
7	f54v_07_019	19	1103	701	32	30	lam	2.639	1.00	lam	
7	f54v_07_020	20	1128	710	34	36	g	2.362	1.00	g	5
7	f54v_07_021	21	1155	690	30	18	Z	5.063	1.00	Z	
7	f54v_07_022	22	1195	692	39	37	H	2.909	1.00	H	5
7	f54v_07_023	23	1250	693	35	51	_	4.895	0.79	_	
7	f54v_07_024	24	1280	678	74	46	_	5.199	0.80	_	
7	f54v_07_025	25	1348	700	16	24	_	3.880	1.00	_	
7	f54v_07_026	26	1385	665	27	56	_	1.707	1.00	_	
7	f54v_07_027	27	1401	698	59	21	_	4.520	1.00	_	
8	f54v_08_001	1	413	755	26	56	_	1.987	1.00	_	
8	f54v_08_002	2	432	788	53	21	_	4.836	1.00	_	
8	f54v_08_003	3	520	788	33	20	v	3.851	0.54	N	
8	f54v_08_004	4	555	784	38	26	_	3.438	0.45	_	
8	f54v_08_005	5	597	764	27	42	_	4.669	1.00	_	
8	f54v_08_006	6	649	785	14	25	S	4.069	1.00	S	
8	f54v_08_007	7	680	783	28	25	lam	4.044	1.00	lam	
8	f54v_08_008	8	706	782	27	60	_	5.314	1.00	_	
8	f54v_08_009	9	730	763	39	79	_	5.351	1.00	_	
8	f54v_08_010	10	771	755	32	51	_	3.634	1.00	_	
8	f54v_08_011	11	807	756	21	50	_	2.998	1.00	_	
8	f54v_08_012	12	828	749	30	56	_	2.487	1.00	_	dot
8	f54v_08_013	13	846	780	31	27	_	5.081	0.81	_	
8	f54v_08_014	14	869	782	35	26	_	4.354	1.00	_	
8	f54v_08_015	15	898	789	28	19	#	4.653	0.39	_	
8	f54v_08_016	16	938	761	90	50	_	3.322	1.00	_	
8	f54v_08_017	17	1043	765	108	55	_	5.426	1.00	_	
8	f54v_08_018	18	1165	777	42	48	_	4.452	0.61	_	
8	f54v_08_019	19	1208	786	22	23	tee	5.881	0.60	_	
8	f54v_08_020	20	1250	790	13	56	_	4.862	0.82	_	
8	f54v_08_021	21	1259	827	12	22	S	3.020	1.00	S	
8	f54v_08_022	22	1268	785	21	27	tee	5.003	1.00	tee	
8	f54v_08_023	23	1295	758	28	53	_	1.906	1.00	_	
8	f54v_08_024	24	1336	790	20	20	a	5.225	1.00	a	
8	f54v_08_025	25	1360	762	50	46	_	4.760	1.00	_	
8	f54v_08_026	26	1418	793	16	20	_	4.478	0.66	_	
8	f54v_08_027	27	1438	778	22	29	lam	6.619	0.60	lam	
9	f54v_09_001	1	413	859	46	38	dl	3.277	1.00	dl	
9	f54v_09_002	2	443	863	50	44	Lx	4.622	1.00	Lx	
9	f54v_09_003	3	509	867	28	26	[	4.032	0.61	[	dot
9	f54v_09_004	4	541	873	25	30	S7	2.322	1.00	S7	
9	f54v_09_005	5	576	867	17	13	_	5.314	1.00	_	
9	f54v_09_006	6	643	841	37	33	+	6.356	0.40	+	dot
9	f54v_09_007	7	684	873	26	11	]	7.211	0.80	_	
9	f54v_09_008	8	710	853	90	83	w	8.529	0.61	_	dot|#
9	f54v_09_009	9	796	871	36	51	y	2.713	1.00	y	
9	f54v_09_010	10	835	873	63	36	nt	3.231	0.80	nt	
9	f54v_09_011	11	901	849	18	68	bh	1.598	1.00	bh	
9	f54v_09_012	12	923	879	56	17	w	1.695	1.00	w	
9	f54v_09_013	13	984	854	40	51	e	4.480	1.00	e	
9	f54v_09_014	14	1026	849	33	52	f	3.894	1.00	f	
9	f54v_09_015	15	1056	874	51	16	w	2.256	1.00	w	
9	f54v_09_016	16	1101	868	32	47	y	2.815	1.00	y	
9	f54v_09_017	17	1139	867	61	68	_	4.476	1.00	_	
9	f54v_09_018	18	1196	860	20	31	tee	3.362	1.00	tee	
9	f54v_09_019	19	1225	853	26	42	K	3.647	1.00	K	
9	f54v_09_020	20	1271	849	32	58	phi	3.291	1.00	phi	
9	f54v_09_021	21	1308	836	49	54	_	4.693	1.00	_	
9	f54v_09_022	22	1368	862	53	18	rz	1.895	1.00	rz	
9	f54v_09_023	23	1426	854	24	29	tee	3.743	0.58	_	
10	f54v_10_001	1	412	914	68	82	_	5.996	0.60	_	
10	f54v_10_002	2	475	939	32	48	y	3.294	0.42	y	
10	f54v_10_003	3	507	978	10	16	_	4.848	1.00	_	
10	f54v_10_004	4	514	942	24	34	g	3.875	1.00	g	
10	f54v_10_005	5	793	950	23	29	S7	1.892	1.00	S7	1
10	f54v_10_006	6	808	921	30	26	#	2.712	1.00	#	dot
10	f54v_10_007	7	841	948	20	24	_	2.459	1.00	_	5
10	f54v_10_008	8	861	949	24	26	S7	2.229	1.00	S7	
10	f54v_10_009	9	892	949	16	24	_	3.104	1.00	_	
10	f54v_10_010	10	912	944	18	29	tee	3.732	1.00	tee	
10	f54v_10_011	11	931	947	48	35	Lx	4.083	0.59	Lx	
10	f54v_10_012	12	982	950	40	29	e	2.774	1.00	e	#
10	f54v_10_013	13	1022	947	21	34	g	2.608	1.00	g	~
10	f54v_10_014	14	1053	942	37	51	y	2.959	1.00	y	
10	f54v_10_015	15	1093	945	35	24	Z	2.998	1.00	Z	ot
10	f54v_10_016	16	1128	947	27	27	S7	2.673	1.00	S7	
10	f54v_10_017	17	1151	941	31	29	lam	2.405	1.00	lam	
10	f54v_10_018	18	1194	939	42	36	H	2.723	1.00	H	o|1
10	f54v_10_019	19	1249	946	22	27	eps	3.329	1.00	eps	#
10	f54v_10_020	20	1273	952	24	27	S7	2.203	1.00	S7	
10	f54v_10_021	21	1307	948	16	29	eps	4.165	1.00	eps	
10	f54v_10_022	22	1329	945	19	50	_	6.147	0.41	_	
10	f54v_10_023	23	1355	947	40	35	nt	3.358	1.00	nt	
10	f54v_10_024	24	1400	927	42	55	e	3.964	1.00	e	
10	f54v_10_025	25	1432	937	28	38	_	6.332	0.40	p	5
11	f54v_11_001	1	411	1005	47	44	Z	4.405	1.00	Z	dot
11	f54v_11_002	2	459	1023	34	55	y	2.081	1.00	y	
11	f54v_11_003	3	497	1019	48	49	nt	4.900	1.00	nt	
11	f54v_11_004	4	544	1008	21	58	bh	3.464	1.00	bh	
11	f54v_11_005	5	567	1032	32	17	Z	5.470	0.80	Z	
11	f54v_11_006	6	716	1032	22	27	S7	3.569	0.61	S7	
11	f54v_11_007	7	743	1013	31	41	p	3.372	1.00	p	
11	f54v_11_008	8	771	991	23	29	S7	5.600	0.81	g	
11	f54v_11_009	9	788	1004	35	77	phi	2.948	1.00	phi	
11	f54v_11_010	10	832	1024	48	58	f	5.364	0.41	_	
11	f54v_11_011	11	881	1026	51	22	w	5.044	0.42	_	dot
11	f54v_11_012	12	913	1024	92	58	_	4.370	1.00	_	
11	f54v_11_013	13	1022	1028	21	30	eps	4.943	0.78	eps	
11	f54v_11_014	14	1039	1024	22	26	+	4.125	1.00	+	
11	f54v_11_015	15	1074	997	34	51	_	3.748	1.00	_	
11	f54v_11_016	16	1110	1022	50	27	_	4.996	1.00	_	
11	f54v_11_017	17	1156	1026	23	19	S7	5.210	0.60	_	
11	f54v_11_018	18	1179	1032	10	20	_	5.661	1.00	_	
11	f54v_11_019	19	1195	1006	50	53	S4	2.416	1.00	S4	
11	f54v_11_020	20	1245	1027	31	46	y	2.713	1.00	y	
11	f54v_11_021	21	1279	1025	13	29	S	3.730	1.00	S	
11	f54v_11_022	22	1302	1026	38	19	]	3.095	1.00	]	o
11	f54v_11_023	23	1351	1024	17	29	eps	3.803	1.00	eps	1
11	f54v_11_024	24	1372	1027	38	19	m	3.172	1.00	m	7
11	f54v_11_025	25	1415	987	31	61	_	4.252	0.41	p	
11	f54v_11_026	26	1447	1025	13	21	_	6.146	1.00	_	
12	f54v_12_001	1	416	1080	35	60	L	3.945	1.00	L	
12	f54v_12_002	2	463	1082	22	55	_	2.190	1.00	_	
12	f54v_12_003	3	487	1107	27	29	[	5.628	0.80	[	
12	f54v_12_004	4	525	1117	28	32	S7	2.404	1.00	S7	
12	f54v_12_005	5	541	1083	31	28	#	3.797	1.00	#	
12	f54v_12_006	6	564	1111	53	53	w	6.578	1.00	w	1
12	f54v_12_007	7	615	1110	26	40	psi	4.675	0.42	psi	
12	f54v_12_008	8	650	1105	38	24	]	4.375	1.00	]	ot
12	f54v_12_009	9	699	1111	39	30	#	4.849	1.00	#	ot
12	f54v_12_010	10	760	1089	39	52	e	3.934	1.00	e	
12	f54v_12_011	11	801	1103	19	25	tee	4.712	1.00	tee	
12	f54v_12_012	12	832	1100	27	39	K	3.825	1.00	K	
12	f54v_12_013	13	857	1068	43	92	g	4.586	1.00	g	
12	f54v_12_014	14	901	1113	43	31	nt	4.103	1.00	nt	
12	f54v_12_015	15	930	1110	43	49	y	2.009	1.00	y	
12	f54v_12_016	16	978	1090	46	49	S4	2.621	1.00	S4	
12	f54v_12_017	17	1032	1091	38	54	Lx	4.538	1.00	Lx	
12	f54v_12_018	18	1086	1098	22	44	S	4.601	1.00	S	
12	f54v_12_019	19	1106	1108	14	24	_	4.380	1.00	_	
12	f54v_12_020	20	1121	1082	79	52	_	3.449	1.00	_	
12	f54v_12_021	21	1194	1110	16	21	_	3.719	1.00	_	
12	f54v_12_022	22	1223	1084	40	52	ch	4.536	1.00	ch	
12	f54v_12_023	23	1271	1106	84	61	_	4.548	0.82	_	
12	f54v_12_024	24	1345	1104	32	32	N	4.409	1.00	N	
12	f54v_12_025	25	1389	1106	15	27	eps	3.201	1.00	eps	
12	f54v_12_026	26	1403	1106	31	31	#	5.195	1.00	#	
12	f54v_12_027	27	1424	1102	30	50	p	3.219	1.00	p	
12	f54v_12_028	28	1456	1112	4	14	_	3.539	1.00	_	
13	f54v_13_001	1	422	1172	18	52	_	4.054	1.00	_	
13	f54v_13_002	2	441	1191	90	30	_	3.821	1.00	_	dot
13	f54v_13_003	3	567	1199	14	33	eps	3.785	1.00	eps	
13	f54v_13_004	4	583	1192	25	28	tee	5.730	0.81	tee	
13	f54v_13_005	5	611	1197	29	54	_	5.522	1.00	_	
13	f54v_13_006	6	631	1192	32	40	Lx	5.320	0.41	Lx	
13	f54v_13_007	7	663	1192	107	25	_	3.327	1.00	_	dot
13	f54v_13_008	8	773	1162	33	59	_	3.866	1.00	_	
13	f54v_13_009	9	814	1185	30	34	+	3.225	0.82	+	
13	f54v_13_010	10	841	1187	39	41	Lx	2.824	1.00	Lx	
13	f54v_13_011	11	875	1194	35	52	y	2.127	1.00	y	
13	f54v_13_012	12	912	1193	12	28	S	4.428	1.00	S	
13	f54v_13_013	13	936	1193	29	20	]	4.097	1.00	]	o
13	f54v_13_014	14	967	1196	23	26	S7	2.098	1.00	S7	dot|dot
13	f54v_13_015	15	1002	1186	32	29	U	4.105	1.00	U	
13	f54v_13_016	16	1032	1197	53	16	w	2.472	1.00	w	
13	f54v_13_017	17	1090	1187	24	26	o.	2.956	1.00	o.	
13	f54v_13_018	18	1115	1194	23	40	S7	4.967	0.41	_	
13	f54v_13_019	19	1143	1192	21	26	_	5.831	0.41	_	7
13	f54v_13_020	20	1168	1194	39	18	m	3.743	1.00	m	~
13	f54v_13_021	21	1221	1171	25	64	phi	2.126	0.65	phi	
13	f54v_13_022	22	1244	1192	29	45	y	2.969	0.82	y	
13	f54v_13_023	23	1273	1192	12	22	S	2.811	1.00	S	
13	f54v_13_024	24	1299	1186	32	22	]	4.460	0.80	]	o
13	f54v_13_025	25	1336	1179	19	30	tee	3.303	1.00	tee	
13	f54v_13_026	26	1352	1166	36	64	f	3.200	1.00	f	
13	f54v_13_027	27	1378	1189	56	61	_	6.246	0.42	_	
13	f54v_13_028	28	1442	1161	18	65	bh	1.616	1.00	bh	
14	f54v_14_001	1	406	1251	55	80	_	5.038	0.41	_	
14	f54v_14_002	2	456	1281	23	21	N	4.681	0.81	N	
14	f54v_14_003	3	493	1246	33	55	_	3.746	0.80	_	
14	f54v_14_004	4	540	1281	17	21	a	5.178	1.00	a	
14	f54v_14_005	5	560	1251	38	59	_	5.379	0.79	_	
14	f54v_14_006	6	592	1275	20	24	_	3.851	1.00	_	
14	f54v_14_007	7	625	1262	66	55	_	6.711	1.00	_	
14	f54v_14_008	8	705	1271	38	61	y	3.416	0.52	_	
14	f54v_14_009	9	738	1271	22	44	_	1.833	0.35	_	
14	f54v_14_010	10	759	1242	72	51	_	4.275	1.00	_	
14	f54v_14_011	11	836	1253	42	49	S4	2.807	1.00	S4	
14	f54v_14_012	12	884	1255	45	39	dl	3.277	1.00	dl	
14	f54v_14_013	13	916	1265	42	38	Lx	2.370	1.00	Lx	
14	f54v_14_014	14	971	1263	42	37	H	2.821	1.00	H	o|1
14	f54v_14_015	15	1021	1273	37	21	]	3.962	1.00	]	o
14	f54v_14_016	16	1063	1240	68	85	g	5.152	1.00	g	5
14	f54v_14_017	17	1129	1274	33	20	]	3.926	1.00	]	
14	f54v_14_018	18	1165	1242	40	80	g	2.578	1.00	g	ot
14	f54v_14_019	19	1197	1270	33	53	psi	3.960	0.81	psi	
14	f54v_14_020	20	1243	1272	42	31	e	2.774	1.00	e	#
14	f54v_14_021	21	1274	1236	33	50	L	2.160	0.51	L	~
14	f54v_14_022	22	1313	1240	51	76	g	3.422	1.00	g	
14	f54v_14_023	23	1366	1259	33	26	Z	3.822	0.64	Z	
14	f54v_14_024	24	1406	1239	36	74	phi	3.021	1.00	phi	
14	f54v_14_025	25	1441	1259	19	22	_	6.169	0.80	_	
15	f54v_15_001	1	422	1339	15	77	bh	1.758	1.00	bh	
15	f54v_15_002	2	446	1354	75	64	_	7.803	0.61	_	
15	f54v_15_003	3	524	1318	49	97	g	3.151	1.00	g	
15	f54v_15_004	4	571	1357	37	25	Z	4.237	1.00	Z	ot
15	f54v_15_005	5	602	1327	36	83	g	2.174	1.00	g	
15	f54v_15_006	6	638	1352	23	35	tee	3.499	1.00	tee	
15	f54v_15_007	7	670	1334	52	52	Z	4.551	0.82	Z	
15	f54v_15_008	8	725	1351	40	37	H	3.071	1.00	H	1
15	f54v_15_009	9	764	1337	57	58	S4	3.318	1.00	S4	o
15	f54v_15_010	10	828	1342	49	40	dl	2.468	1.00	dl	
15	f54v_15_011	11	885	1342	57	63	_	5.334	0.74	_	
15	f54v_15_012	12	944	1353	32	48	f	4.124	0.40	f	
15	f54v_15_013	13	972	1357	24	24	_	3.235	1.00	_	
15	f54v_15_014	14	1013	1320	68	65	_	4.204	1.00	_	
15	f54v_15_015	15	1078	1362	13	21	_	4.393	1.00	_	
15	f54v_15_016	16	1093	1331	29	64	_	4.871	0.61	_	
15	f54v_15_017	17	1148	1359	18	30	eps	5.040	1.00	eps	
15	f54v_15_018	18	1162	1350	27	30	+	3.697	0.82	+	
15	f54v_15_019	19	1207	1323	88	57	_	5.500	1.00	_	
15	f54v_15_020	20	1294	1353	58	39	w	5.609	0.57	w	
15	f54v_15_021	21	1375	1349	21	35	eps	4.539	0.82	eps	
15	f54v_15_022	22	1392	1341	26	32	+	3.735	0.77	+	
