line	pos	group	conf	note
mssDE108A_p3_L04	7	555	H	agree
mssDE108A_p3_L04	8	1074	H	agree
mssDE108A_p3_L04	9	486	H	agree
mssDE108A_p3_L04	10	766	H	A 66: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p3_L05	1	1125	H	agree
mssDE108A_p3_L05	2	947	H	agree
mssDE108A_p3_L05	3	682	H	agree
mssDE108A_p3_L05	4	587	H	agree
mssDE108A_p3_L05	5	646	H	agree
mssDE108A_p3_L05	6	1181	H	agree
mssDE108A_p3_L05	7	574	H	agree
mssDE108A_p3_L05	8	816	H	agree
mssDE108A_p3_L05	9	434	H	agree
mssDE108A_p3_L05	10	713	H	A 13: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p3_L05	11	281	H	agree
mssDE108A_p3_L06	1	266	H	agree
mssDE108A_p3_L06	2	947	H	agree
mssDE108A_p3_L06	3	443	H	agree
mssDE108A_p3_L06	4	1181	H	agree
mssDE108A_p3_L06	5	628	H	agree
mssDE108A_p3_L06	6	425	H	agree
mssDE108A_p3_L06	7	1068	H	agree
mssDE108A_p3_L06	8	1181	H	agree
mssDE108A_p3_L06	9	626	H	agree
mssDE108A_p3_L06	10	49	H	agree
mssDE108A_p3_L07	1	1161	H	agree
mssDE108A_p3_L07	2	824	H	agree
mssDE108A_p3_L07	3	4	H	agree
mssDE108A_p3_L07	4	961	H	agree
mssDE108A_p3_L07	5	169	H	agree
mssDE108A_p3_L07	6	878	H	agree
mssDE108A_p3_L07	7	750	H	A 50: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p3_L07	8	402	H	agree
mssDE108A_p3_L07	9	878	H	agree
mssDE108A_p3_L07	10	525	H	agree
mssDE108A_p3_L08	1	381	H	agree
mssDE108A_p3_L08	2	480	H	agree
mssDE108A_p3_L08	3	444	H	agree
mssDE108A_p3_L08	4	824	H	agree
mssDE108A_p3_L08	5	878	H	agree
mssDE108A_p3_L08	6	542	H	agree
mssDE108A_p3_L08	7	997	H	agree
mssDE108A_p3_L08	8	947	H	agree
mssDE108A_p3_L08	9	1133	H	agree
mssDE108A_p3_L08	10	626	H	agree
mssDE108A_p3_L09	1	1010	H	agree
mssDE108A_p3_L09	2	947	H	agree
mssDE108A_p3_L09	3	830	H	agree
mssDE108A_p3_L09	4	880	H	agree
mssDE108A_p3_L09	5	983	H	agree
mssDE108A_p3_L09	6	519	H	agree
mssDE108A_p3_L09	7	444	H	agree
mssDE108A_p3_L09	8	460	H	agree
mssDE108A_p3_L09	9	941	H	agree
mssDE108A_p3_L09	10	771	M	agree-flagged
mssDE108A_p3_L10	1	195	H	agree
mssDE108A_p3_L10	2	80	H	agree
mssDE108A_p3_L10	3	135	H	agree
mssDE108A_p3_L10	4	991	H	agree
mssDE108A_p3_L10	5	976	H	agree
mssDE108A_p3_L10	6	646	H	agree
mssDE108A_p3_L10	7	1151	H	agree
mssDE108A_p3_L10	8	381	H	agree
mssDE108A_p3_L10	9	858	H	agree
mssDE108A_p3_L10	10	1181	H	agree
mssDE108A_p3_L11	1	628	H	agree
mssDE108A_p3_L11	2	8	H	agree
mssDE108A_p3_L11	3	309	H	agree
mssDE108A_p3_L11	4	10	H	agree
mssDE108A_p3_L11	5	216	H	agree
mssDE108A_p3_L11	6	1113	H	agree
mssDE108A_p3_L11	7	4	H	agree
mssDE108A_p3_L11	8	816	H	agree
mssDE108A_p3_L11	9	6	H	agree
mssDE108A_p3_L11	10	1147	H	agree
mssDE108A_p3_L11	11	941	H	agree
mssDE108A_p3_L11	12	1181	H	agree
mssDE108A_p3_L12	1	414	H	agree
mssDE108A_p3_L12	2	741	H	agree
mssDE108A_p3_L12	3	542	H	agree
mssDE108A_p3_L12	4	884	H	agree
mssDE108A_p3_L12	5	1159	M	agree-flagged
mssDE108A_p3_L12	6	177	M	agree-flagged
mssDE108A_p3_L12	7	402	H	agree
mssDE108A_p3_L12	8	913	H	agree
mssDE108A_p3_L12	9	10	H	agree
mssDE108A_p3_L12	10	1159	M	agree-flagged
mssDE108A_p3_L12	11	267	H	agree
mssDE108A_p4_L01	1	96	H	agree
mssDE108A_p4_L01	2	220	H	agree
mssDE108A_p4_L01	3	341	H	agree
mssDE108A_p4_L01	4	981	H	agree
mssDE108A_p4_L01	5	381	H	agree
mssDE108A_p4_L01	6	878	H	agree
mssDE108A_p4_L01	7	831	H	agree
mssDE108A_p4_L01	8	868	H	agree
mssDE108A_p4_L01	9	521	M	agree-flagged
mssDE108A_p4_L01	10	1002	H	agree
mssDE108A_p4_L01	11	452	H	agree
mssDE108A_p4_L02	1	80	H	agree
mssDE108A_p4_L02	2	466	H	agree
mssDE108A_p4_L02	3	116	H	agree
mssDE108A_p4_L02	4	608	H	agree
mssDE108A_p4_L02	5	931	H	agree
mssDE108A_p4_L02	6	10	H	agree
mssDE108A_p4_L02	7	1018	H	agree
mssDE108A_p4_L02	8	185	H	agree
mssDE108A_p4_L02	9	80	H	agree
mssDE108A_p4_L02	10	256	H	agree
mssDE108A_p4_L02	11	476	H	agree
mssDE108A_p4_L02	12	415	H	agree
mssDE108A_p4_L03	1	725	H	A 25: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p4_L03	2	165	H	agree
mssDE108A_p4_L03	3	1193	H	agree
mssDE108A_p4_L03	4	620	H	agree
mssDE108A_p4_L03	5	599	H	agree
mssDE108A_p4_L03	6	947	H	agree
mssDE108A_p4_L03	7	594	H	agree
mssDE108A_p4_L03	8	947	H	agree
mssDE108A_p4_L03	9	443	H	agree
mssDE108A_p4_L03	10	628	H	agree
mssDE108A_p4_L04	1	153	H	agree
mssDE108A_p4_L04	2	486	H	agree
mssDE108A_p4_L04	3	1082	H	agree
mssDE108A_p4_L04	4	1151	H	agree
mssDE108A_p4_L04	5	232	H	agree
mssDE108A_p4_L04	6	626	H	agree
mssDE108A_p4_L04	7	337	H	agree
mssDE108A_p4_L04	8	617	H	agree
mssDE108A_p4_L04	9	1187	M	1185 (A); final digit a > stroke, read 7
mssDE108A_p4_L04	10	983	H	agree
mssDE108A_p4_L05	1	202	H	agree
mssDE108A_p4_L05	2	890	H	agree
mssDE108A_p4_L05	3	28	H	agree
mssDE108A_p4_L05	4	983	H	agree
mssDE108A_p4_L05	5	428	H	agree
mssDE108A_p4_L05	6	838	H	agree
mssDE108A_p4_L05	7	462	H	agree
mssDE108A_p4_L05	8	802	H	agree
mssDE108A_p4_L05	9	818	H	agree
mssDE108A_p4_L05	10	947	H	agree
mssDE108A_p4_L06	1	309	H	agree
mssDE108A_p4_L06	2	62	H	agree
mssDE108A_p4_L06	3	701	H	A 1: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p4_L06	4	1181	H	agree
mssDE108A_p4_L06	5	620	H	agree
mssDE108A_p4_L06	6	202	H	agree
mssDE108A_p4_L06	7	40	H	agree
mssDE108A_p4_L06	8	165	H	agree
mssDE108A_p4_L06	9	947	H	agree
mssDE108A_p4_L06	10	697	M	agree-flagged
mssDE108A_p4_L06	11	557	M	agree-flagged
mssDE108A_p4_L07	1	1068	H	agree
mssDE108A_p4_L07	2	430	H	agree
mssDE108A_p4_L07	3	1181	H	agree
mssDE108A_p4_L07	4	799	H	A 99: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p4_L07	5	1088	H	agree
mssDE108A_p4_L07	6	10	H	agree
mssDE108A_p4_L07	7	888	H	agree
mssDE108A_p4_L07	8	247	H	agree
mssDE108A_p4_L07	9	940	H	agree
mssDE108A_p4_L07	10	888	H	agree
mssDE108A_p4_L08	1	853	M	843 (B)
mssDE108A_p4_L08	2	961	H	agree
mssDE108A_p4_L08	3	579	H	agree
mssDE108A_p4_L08	4	1125	H	agree
mssDE108A_p4_L08	5	880	H	agree
mssDE108A_p4_L08	6	151	H	agree
mssDE108A_p4_L08	7	381	H	agree
mssDE108A_p4_L08	8	96	H	agree
mssDE108A_p4_L08	9	1125	H	agree
mssDE108A_p4_L08	10	352	H	agree
mssDE108A_p4_L08	11	555	H	agree
mssDE108A_p4_L09	1	472	H	agree
mssDE108A_p4_L09	2	107	H	agree
mssDE108A_p4_L09	3	460	H	agree
mssDE108A_p4_L09	4	6	H	agree
mssDE108A_p4_L09	5	1004	H	agree
mssDE108A_p4_L09	6	961	H	agree
mssDE108A_p4_L09	7	1199	H	agree
mssDE108A_p4_L09	8	216	H	agree
mssDE108A_p4_L09	9	408	H	agree
mssDE108A_p4_L09	10	97	H	agree
mssDE108A_p4_L09	11	626	H	agree
mssDE108A_p4_L10	1	1151	H	agree
mssDE108A_p4_L10	2	32	H	agree
mssDE108A_p4_L10	3	947	H	agree
mssDE108A_p4_L10	4	1165	H	agree
mssDE108A_p4_L10	5	517	H	agree
mssDE108A_p4_L10	6	40	H	agree
mssDE108A_p4_L10	7	10	H	agree
mssDE108A_p4_L10	8	217	H	agree
mssDE108A_p4_L10	9	324	H	agree
mssDE108A_p4_L10	10	187	H	agree
mssDE108A_p4_L10	11	1084	M	agree-flagged
mssDE108A_p4_L10	12	216	H	agree
mssDE108A_p4_L11	1	357	M	agree-flagged
mssDE108A_p4_L11	2	1058	H	agree
mssDE108A_p4_L11	3	444	H	agree
mssDE108A_p4_L11	4	622	H	agree
mssDE108A_p4_L11	5	402	H	agree
mssDE108A_p4_L11	6	777	M	agree-flagged
mssDE108A_p4_L11	7	1151	H	agree
mssDE108A_p4_L11	8	888	H	agree
mssDE108A_p4_L11	9	740	H	agree
mssDE108A_p4_L11	10	626	H	A skipped the line; B, checked on the image
mssDE108A_p4_L12	1	890	H	agree
mssDE108A_p4_L12	2	680	H	agree
mssDE108A_p4_L12	3	686	H	agree
mssDE108A_p4_L12	4	105	H	agree
mssDE108A_p4_L12	5	122	H	agree
mssDE108A_p4_L12	6	940	H	agree
mssDE108A_p4_L12	7	1004	H	agree
mssDE108A_p4_L12	8	727	M	agree-flagged
mssDE108A_p4_L12	9	692	H	agree
mssDE108A_p4_L12	10	301	H	agree
mssDE108A_p4_L12	11	330	H	agree
mssDE108A_p5_L01	1	744	H	agree
mssDE108A_p5_L01	2	713	H	agree
mssDE108A_p5_L01	3	832	H	agree
mssDE108A_p5_L01	4	935	H	agree
mssDE108A_p5_L01	5	38	H	agree
mssDE108A_p5_L01	6	98	H	agree
mssDE108A_p5_L01	7	1173	H	agree
mssDE108A_p5_L01	8	1068	H	agree
mssDE108A_p5_L01	9	579	H	agree
mssDE108A_p5_L01	10	771	M	agree-flagged
mssDE108A_p5_L02	1	1113	H	agree
mssDE108A_p5_L02	2	165	H	agree
mssDE108A_p5_L02	3	36	H	agree
mssDE108A_p5_L02	4	6	H	agree
mssDE108A_p5_L02	5	474	H	agree
mssDE108A_p5_L02	6	713	H	agree
mssDE108A_p5_L02	7	486	H	agree
mssDE108A_p5_L02	8	490	H	agree
mssDE108A_p5_L02	9	10	H	agree
mssDE108A_p5_L02	10	890	H	agree
mssDE108A_p5_L02	11	830	H	agree
mssDE108A_p5_L03	1	683	H	agree
mssDE108A_p5_L03	2	1028	H	agree
mssDE108A_p5_L03	3	381	H	agree
mssDE108A_p5_L03	4	480	H	agree
mssDE108A_p5_L03	5	444	H	agree
mssDE108A_p5_L03	6	947	H	agree
mssDE108A_p5_L03	7	267	H	agree
mssDE108A_p5_L03	8	997	H	agree
mssDE108A_p5_L03	9	32	H	agree
mssDE108A_p5_L03	10	850	H	agree
