cipher_line	idx	raw	kind	value	repair	plain_chunk	status
65:11	3	12	num	12			null-or-unaligned
65:11	4	21	num	21			null-or-unaligned
65:11	5	et	clear				clear
65:11	6	25	num	25		p	agrees
65:11	7	23	num	23		r	agrees
65:11	8	13	num	13		o	agrees
65:11	9	42	num	42		c	agrees
65:11	10	14	num	14		e	agrees
65:11	11	43	num	43		d	agrees
65:11	12	14	num	14		e	agrees
65:11	13	ms.	clear				clear
65:12	0	quamvis	clear				clear
65:12	1	aliqui	clear				clear
65:12	2	42	num	42		c	agrees
65:12	3	44	num	44		h	agrees
65:12	4	23	num	23		r	agrees
65:12	5	46	num	46		i	agrees
65:12	6	21	num	21		s	agrees
65:12	7	20	num	20		t	agrees
65:12	8	46	num	46		i	agrees
65:12	9	17	num	17		a	agrees
65:12	10	nj.	clear				clear
65:13	0	non	clear				clear
65:13	1	ita	clear				clear
65:13	2	se	clear				clear
65:13	3	41	num	41		g	agrees
65:13	4	14	num	14		e	agrees
65:13	5	23	num	23		r	agrees
65:13	6	17	num	17		e	conflict:a
65:13	7	51	num	51		n	agrees
65:13	8	20	num	20		t	agrees
65:13	9	et	clear				clear
65:13	10	51	num	51		e	conflict:n
65:13	11	13	num	13		t	conflict:o
65:13	12	29	num	29		n	single
65:13	13	46:	num	46		o	conflict:i
65:14	0	21	num	21			null-or-unaligned
65:14	1	42	num	42			null-or-unaligned
65:14	2	u	clear				clear
65:14	3	50	num	50			null-or-unaligned
65:14	4	25	num	25		p	agrees
65:14	5	23	num	23		r	agrees
65:14	6	13	num	13		o	agrees
65:14	7	42	num	42		c	agrees
65:14	8	14	num	14		e	agrees
65:14	9	43	num	43		d	agrees
65:14	10	ant,	clear				clear
65:14	11	uti	clear				clear
65:14	12	appro.	clear				clear
65:15	0	50	num	50		m	agrees
65:15	1	46	num	46		i	agrees
65:15	2	21	num	21		s	agrees
65:15	3	14	num	14		e	agrees
65:15	4	23	num	23		r	agrees
65:15	5	17	num	17		a	agrees
65:15	6	51	num	51		n	agrees
65:15	7	20.	num	20		t	agrees
65:15	8	et	clear				clear
65:15	9	multis	clear				clear
65:15	10	modis	clear				clear
65:16	0	51	num	51		n	agrees
65:16	1	13	num	13		o	agrees
65:16	2	21	num	21		s	agrees
65:16	3	21	num	21		s	agrees
65:16	4	13	num	13		o	agrees
65:16	5	49	num	49		l	agrees
65:16	6	46	num	46		i	agrees
65:16	7	42	num	42		c	agrees
65:16	8	46	num	46		i	agrees
65:16	9	20	num	20		t	agrees
65:16	10	17	num	17		a	agrees
65:16	11	12	num	12		v	agrees
65:16	12	14	num	14		e	agrees
65:16	13	rant.	clear				clear
65:17	0	Sed	clear				clear
65:17	1	hoc	clear				clear
65:17	2	remitti	clear				clear
65:17	3	50	num	50		m	agrees
65:17	4	12	num	12		u	agrees
65:17	5	21	num	21		s	agrees
65:17	6	ad	clear				clear
65:17	7	divinam	clear				clear
65:17	8	Justi-	clear				clear
65:18	0	tiam,	clear				clear
65:18	1	et	clear				clear
65:18	2	providentiam,	clear				clear
65:18	3	quae	clear				clear
65:18	4	omnia	clear				clear
65:18	5	fuit	clear				clear
65:18	6	et	clear				clear
65:19	0	videt.	clear				clear
65:19	1	13	num	13		c	conflict:o
65:19	2	44:	num	44		h	agrees
65:19	3	Dne	clear				clear
65:19	4	mi	clear				clear
65:19	5	Rissime	clear				clear
65:19	6	Pater	clear				clear
65:19	7	si	clear				clear
65:19	8	17	num	17		a	agrees
65:19	9	12	num	12		u	agrees
65:19	10	43	num	43		d	agrees
65:19	11	46:	num	46		i	agrees
65:20	0	[20	doubtful				doubtful
65:20	1	et,	clear				clear
65:20	2	struck]	clear				clear
65:20	3	quanta	clear				clear
65:20	4	et	clear				clear
65:20	5	qualia,	clear				clear
65:20	6	ac	clear				clear
65:20	7	quibus	clear				clear
65:20	8	modis	clear				clear
