line	tomo	inv_no	shelfmark	date	place	sender	recipient	class	index_wording	key_route
50410	A	3580	A-27, f.410 y 411.	1523.04.25	Venecia	Alonso Sánchez	Carlos V	D	Texto descifrado de los dos documentos anteriores: Cartas de Alonso Sánchez, embajador de	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
50425	A	3581	A-27, f.413 a 414.	1523.04.25	Roma	Lope Hurtado de Mendoza	Carlos V	D	Original, con algunos pasajes en cifra.	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
50443	A	3582	A-27, f.416.	1523.04.25	Roma	Lope Hurtado de Mendoza		D	Texto descifrado de los pasajes en cifra de la carta anterior: de Lope Hurtado de Mendoza a Carlos	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
50456	A	3583	A-27, f.418 a 422.	1523.04.25	Roma	Duke of Sessa (Luis Fernández)	Carlos V	P	Original, con algunos pasajes en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
50470	A	3584	A-27, f.424 a 428.	1523.04.25	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Original, con varios pasajes en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
50485	A	3585	A-27, f.430 y 431.	1523.04.25	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Texto descifrado de los pasajes en cifra del documento anterior: Carta de Luis Fernández de	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
50616	A	3594	A-27, f.453 y 454.	1523.04.30	Milán	Abbot of Nájera (Fernando Marín)	Carlos V	P	Original, en su mayor parte en cifra.	Ko.3 (Kolosova)
50630	A	3595	A-27, f.455 y 456.	1523.04.30	Milán	Abbot of Nájera (Fernando Marín)	Carlos V	P	Original, en su mayor parte en cifra.	Ko.3 (Kolosova)
50661	A	3597	A-27, f.458 y 459.	1523.04.14	; 1523.04.30. Milán		Carlos V	D	Texto descifrado de los párrafos en cifra de las cartas registradas con los números 3595 y 3596,	none known
50707	A	3600	A-28, f.1 y 2.	1523.05.02	Milán	Alonso Sánchez	Carlos V	D	Texto descifrado del documento reseñado anteriormente: Carta de Juan Manuel, embajador de	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
