page	block	line	pos	token
0030	dup10	10	38	77
0030	dup10	10	39	55
0030	dup10	10	40	E
0030	dup10	10	41	i6
0030	dup10	10	42	44
0030	dup10	10	43	23
0030	dup10	10	44	ii
0030	dup10	10	45	i
0030	dup10	10	46	z
0030	dup10	10	47	93
0030	dup10	10	48	2124
0030	dup10	10	49	N
0030	dup10	11	1	iew
0030	dup10	11	2	40
0030	dup10	11	3	88
0030	dup10	11	4	9d
0030	dup10	11	5	i6
0030	dup10	11	6	15
0030	dup10	11	7	60
0030	dup10	11	8	37
0030	dup10	11	9	36
0030	dup10	11	10	99
0030	dup10	11	11	77
0030	dup10	11	12	73
0030	dup10	11	13	68
0030	dup10	11	14	O
0030	dup10	11	15	47
0030	dup10	11	16	76
0030	dup10	11	17	84
0030	dup10	11	18	55
0030	dup10	11	19	15
0030	dup10	11	20	55
0030	dup10	11	21	44
0030	dup10	11	22	60
0030	dup10	11	23	40
0030	dup10	11	24	58
0030	dup10	11	25	z9
0030	dup10	11	26	6i
0030	dup10	11	27	7z
0030	dup10	11	28	i6
0030	dup10	11	29	85
0030	dup10	11	30	3i
0030	dup10	11	31	ii
0030	dup10	11	32	L
0030	dup10	11	33	04
0030	dup10	11	34	58
0030	dup10	11	35	3i
0030	dup10	11	36	i5
0030	dup10	11	37	8i
0030	dup10	11	38	N
0030	dup10	11	39	40
0030	dup10	11	40	88
0030	dup10	11	41	37
0030	dup10	11	42	55
0030	dup10	11	43	W
0030	dup10	11	44	48
0030	dup10	11	45	30
0030	dup10	11	46	55
0030	dup10	11	47	i0
0030	dup10	11	48	6i
0030	dup10	11	49	30
0030	dup10	12	1	78
0030	dup10	12	2	39
0030	dup10	12	3	3i
0030	dup10	12	4	z9
0030	dup10	12	5	37
0030	dup10	12	6	Y
0030	dup10	12	7	99
0030	dup10	12	8	ii
0030	dup10	12	9	73
0030	dup10	12	10	2d3
0030	dup10	12	11	9z239
0030	dup10	12	12	zz
0030	dup10	12	13	i3
0030	dup10	12	14	73
0030	dup10	12	15	i78
0030	dup10	12	16	9
0030	dup10	12	17	44
0030	dup10	12	18	ii
0030	dup10	12	19	4z
0030	dup10	12	20	83
0030	dup10	12	21	ii
0030	dup10	12	22	ft
0030	dup10	12	23	40
0030	dup10	12	24	88
0030	dup10	12	25	37
0030	dup10	12	26	i6
0030	dup10	12	27	36
0030	dup10	12	28	38
0030	dup10	12	29	5i
0030	dup10	12	30	4z
0030	dup10	12	31	i6
0030	dup10	12	32	30
0030	dup10	12	33	ii
0030	dup10	12	34	z
0030	dup10	12	35	60
0030	dup10	12	36	i6
0030	dup10	12	37	zz
0030	dup10	12	38	36
0030	dup10	12	39	37
0030	dup10	12	40	6i
0030	dup10	12	41	30
0030	dup10	12	42	zz
0030	dup10	12	43	98
0030	dup10	12	44	83
0030	dup10	12	45	67
0030	dup10	12	46	70
0030	dup10	12	47	zz
0030	dup10	13	1	84
0030	dup10	13	2	i3
0030	dup10	13	3	79
0030	dup10	13	4	97
0030	dup10	13	5	z3
0030	dup10	13	6	35
0030	dup10	13	7	z5
0030	dup10	13	8	3z
0030	dup10	13	9	79
0030	dup10	13	10	30
0030	dup10	13	11	4i
0030	dup10	13	12	7i
0030	dup10	13	13	ii
0030	dup10	13	14	6i
0030	dup10	13	15	H
0030	dup10	13	16	90
0030	dup10	13	17	y
0030	dup10	13	18	60
0030	dup10	13	19	84
0030	dup10	13	20	7z
0030	dup10	13	21	z6
0030	dup10	13	22	4z
0030	dup10	13	23	39
0030	dup10	13	24	3i
0030	dup10	13	25	X
0030	dup10	13	26	95
0030	dup10	13	27	49
0030	dup10	13	28	T
0030	dup10	13	29	84
0030	dup10	13	30	68
0030	dup10	13	31	35
0030	dup10	13	32	40
0030	dup10	13	33	58
0030	dup10	13	34	97
0030	dup10	13	35	68
0030	dup10	13	36	79
0030	dup10	13	37	7z
0030	dup10	13	38	i6
0030	dup10	13	39	4z
0030	dup10	13	40	48
0030	dup10	13	41	8z
0030	dup10	13	42	i
0030	dup10	13	43	zz
0030	dup10	13	44	q
0030	dup10	13	45	i
0030	dup10	13	46	55
0030	dup10	13	47	78
0030	dup10	14	1	8z
0030	dup10	14	2	ii
0030	dup10	14	3	25
0030	dup10	14	4	3i
0030	dup10	14	5	ii
0030	dup10	14	6	60
0030	dup10	14	7	i8
0030	dup10	14	8	7i
0030	dup10	14	9	76
0030	dup10	14	10	79
0030	dup10	14	11	9z
0030	dup10	14	12	85
0030	dup10	14	13	Z
0030	dup10	14	14	6i
0030	dup10	14	15	83
0030	dup10	14	16	68
0030	dup10	14	17	G
0030	dup10	14	18	44
0030	dup10	14	19	9i
0030	dup10	14	20	ib
0030	dup10	14	21	Z
0030	dup10	14	22	6i
0030	dup10	14	23	99
0030	dup10	14	24	60
0030	dup10	14	25	Vin
0030	dup10	14	26	98
0030	dup10	14	27	93
0030	dup10	14	28	8z78
0030	dup10	14	29	55
0030	dup10	14	30	44
0030	dup10	14	31	67
0030	dup10	14	32	36
0030	dup10	14	33	ii
0030	dup10	14	34	q
0030	dup10	14	35	99
0030	dup10	14	36	6i
0030	dup10	14	37	zz
0030	dup10	14	38	L
0030	dup10	14	39	273
0030	dup10	14	40	z00
0030	dup10	14	41	68
0030	dup10	14	42	73
0030	dup10	14	43	3i
0030	dup10	14	44	73
0030	dup10	14	45	3
0030	dup10	14	46	26
0030	dup10	14	47	37
0030	dup10	14	48	6i
0030	dup10	14	49	zz
