page	block	line	pos	token
0028	dup10	6	26	93
0028	dup10	6	27	84
0028	dup10	6	28	tt
0028	dup10	6	29	Fz
0028	dup10	6	30	73
0028	dup10	6	31	40
0028	dup10	6	32	29
0028	dup10	6	33	zz
0028	dup10	6	34	37
0028	dup10	6	35	70
0028	dup10	6	36	L
0028	dup10	6	37	61
0028	dup10	6	38	7z
0028	dup10	6	39	39
0028	dup10	6	40	M
0028	dup10	6	41	35
0028	dup10	6	42	O
0028	dup10	6	43	43
0028	dup10	6	44	16
0028	dup10	6	45	99
0028	dup10	6	46	8i
0028	dup10	6	47	zz
0028	dup10	6	48	9
0028	dup10	6	49	84
0028	dup10	6	50	83
0028	dup10	6	51	87
0028	dup10	6	52	98
0028	dup10	6	53	30
0028	dup10	7	1	N
0028	dup10	7	2	z35
0028	dup10	7	3	29
0028	dup10	7	4	5i
0028	dup10	7	5	10
0028	dup10	7	6	16
0028	dup10	7	7	7
0028	dup10	7	8	36
0028	dup10	7	9	56
0028	dup10	7	10	z6
0028	dup10	7	11	16
0028	dup10	7	12	30
0028	dup10	7	13	z3
0028	dup10	7	14	30
0028	dup10	7	15	z6
0028	dup10	7	16	56
0028	dup10	7	17	ii
0028	dup10	7	18	4i
0028	dup10	7	19	54
0028	dup10	7	20	73
0028	dup10	7	21	Rib
0028	dup10	7	22	77
0028	dup10	7	23	7z
0028	dup10	7	24	7i
0028	dup10	7	25	99
0028	dup10	7	26	B
0028	dup10	7	27	29
0028	dup10	7	28	55
0028	dup10	7	29	tt
0028	dup10	7	30	15
0028	dup10	7	31	70
0028	dup10	7	32	zz
0028	dup10	7	33	13
0028	dup10	7	34	79
0028	dup10	7	35	63
0028	dup10	7	36	98
0028	dup10	7	37	z
0028	dup10	7	38	78
0028	dup10	7	39	36
0028	dup10	7	40	N
0028	dup10	7	41	70
0028	dup10	7	42	10
0028	dup10	7	43	16
0028	dup10	7	44	30
0028	dup10	7	45	193
0028	dup10	7	46	ziz
0028	dup10	7	47	O
0028	dup10	7	48	88
0028	dup10	8	1	38
0028	dup10	8	2	51
0028	dup10	8	3	du
0028	dup10	8	4	107
0028	dup10	8	5	4z
0028	dup10	8	6	36
0028	dup10	8	7	L
0028	dup10	8	8	z6
0028	dup10	8	9	30
0028	dup10	8	10	ii
0028	dup10	8	11	zz
0028	dup10	8	12	i6
0028	dup10	8	13	31
0028	dup10	8	14	13
0028	dup10	8	15	73
0028	dup10	8	16	Vz
0028	dup10	8	17	z6
0028	dup10	8	18	25
0028	dup10	8	19	8d
0028	dup10	8	20	G
0028	dup10	8	21	60
0028	dup10	8	22	55
0028	dup10	8	23	10
0028	dup10	8	24	16
0028	dup10	8	25	97
0028	dup10	8	26	137
0028	dup10	8	27	i6
0028	dup10	8	28	99
0028	dup10	8	29	N
0028	dup10	8	30	6i
0028	dup10	8	31	30
0028	dup10	8	32	51
0028	dup10	8	33	73
0028	dup10	8	34	O
0028	dup10	8	35	5z
0028	dup10	8	36	37
0028	dup10	8	37	ii
0028	dup10	8	38	X
0028	dup10	8	39	6i
0028	dup10	8	40	44
0028	dup10	8	41	149
0028	dup10	8	42	du
0028	dup10	8	43	65
0028	dup10	8	44	yi
0028	dup10	8	45	7z
0028	dup10	8	46	30
0028	dup10	8	47	39
0028	dup10	8	48	4z
0028	dup10	8	49	3z
0028	dup10	8	50	ii
0028	dup10	9	1	44
0028	dup10	9	2	6
0028	dup10	9	3	z73
0028	dup10	9	4	10z
0028	dup10	9	5	E
0028	dup10	9	6	n
0028	dup10	9	7	z73
0028	dup10	9	8	zoo
0028	dup10	9	9	du
0028	dup10	9	10	z73
0028	dup10	9	11	94
0028	dup10	9	12	z5
0028	dup10	9	13	70
0028	dup10	9	14	54
0028	dup10	9	15	73
0028	dup10	9	16	zz
0028	dup10	9	17	77
0028	dup10	9	18	99
0028	dup10	9	19	tt
0028	dup10	9	20	54
0028	dup10	9	21	79
0028	dup10	9	22	48
0028	dup10	9	23	7z
0028	dup10	9	24	55
0028	dup10	9	25	A
0028	dup10	9	26	S
0028	dup10	9	27	D
0028	dup10	9	28	8i
0028	dup10	9	29	73
0028	dup10	9	30	N
0028	dup10	9	31	K
0028	dup10	9	32	z53
0028	dup10	9	33	z1z
0028	dup10	9	34	F
0028	dup10	9	35	W
0028	dup10	9	36	99
0028	dup10	9	37	75
0028	dup10	9	38	A
0028	dup10	9	39	30
0028	dup10	9	40	ii
0028	dup10	9	41	zz
0028	dup10	9	42	54
0028	dup10	9	43	ib
0028	dup10	9	44	zz
0028	dup10	9	45	7
0028	dup10	9	46	60
0028	dup10	9	47	37
0028	dup10	9	48	70
0028	dup10	9	49	ttt
0028	dup10	9	50	4tt
0028	dup10	10	1	1z
0028	dup10	10	2	30
0028	dup10	10	3	30
0028	dup10	10	4	66
0028	dup10	10	5	O
0028	dup10	10	6	55
0028	dup10	10	7	30
0028	dup10	10	8	39
0028	dup10	10	9	51
0028	dup10	10	10	87
0028	dup10	10	11	55
0028	dup10	10	12	90
0028	dup10	10	13	71
0028	dup10	10	14	51
0028	dup10	10	15	73
0028	dup10	10	16	R
0028	dup10	10	17	6i
0028	dup10	10	18	tz
0028	dup10	10	19	36
0028	dup10	10	20	5z
0028	dup10	10	21	73
0028	dup10	10	22	70
0028	dup10	10	23	7
0028	dup10	10	24	7755
0028	dup10	10	25	E
0028	dup10	10	26	i6
0028	dup10	10	27	74
0028	dup10	10	28	23
0028	dup10	10	29	13
0028	dup10	10	30	7z
0028	dup10	10	31	16
0028	dup10	10	32	A
0028	dup10	10	33	bLS
0028	dup10	10	34	70
0028	dup10	10	35	88
0028	dup10	10	36	86
0028	dup10	10	37	16
0028	dup10	10	38	15
0028	dup10	10	39	60
0028	dup10	10	40	37
0028	dup10	10	41	36
0028	dup10	10	42	99
0028	dup10	10	43	7773
0028	dup10	10	44	66
0028	dup10	10	45	O
0028	dup10	10	46	77
0028	dup10	10	47	76
0028	dup10	10	48	87
0028	dup10	10	49	65
0028	dup10	11	1	1z
0028	dup10	11	2	55
0028	dup10	11	3	tz
0028	dup10	11	4	6z
0028	dup10	11	5	30
0028	dup10	11	6	58
0028	dup10	11	7	29
0028	dup10	11	8	5i
0028	dup10	11	9	7z
0028	dup10	11	10	16
0028	dup10	11	11	83
0028	dup10	11	12	5i
0028	dup10	11	13	ii
0028	dup10	11	14	T
0028	dup10	11	15	94
0028	dup10	11	16	58
0028	dup10	11	17	3i
0028	dup10	11	18	15
0028	dup10	11	19	66
0028	dup10	11	20	N
0028	dup10	11	21	70
0028	dup10	11	22	88
0028	dup10	11	23	37
0028	dup10	11	24	55
0028	dup10	11	25	W
0028	dup10	11	26	28
0028	dup10	11	27	30
0028	dup10	11	28	55
0028	dup10	11	29	10
0028	dup10	11	30	9i
0028	dup10	11	31	30
0028	dup10	11	32	78
0028	dup10	11	33	39
0028	dup10	11	34	5i
0028	dup10	11	35	29
0028	dup10	11	36	37
0028	dup10	11	37	V
0028	dup10	11	38	99
0028	dup10	11	39	ii
0028	dup10	11	40	13
0028	dup10	11	41	M
0028	dup10	11	42	8z
0028	dup10	11	43	39
0028	dup10	11	44	zz
0028	dup10	11	45	73
0028	dup10	11	46	i
0028	dup10	11	47	78
0028	dup10	11	48	G
0028	dup10	11	49	74
0028	dup10	11	50	ii
0028	dup10	12	1	43
0028	dup10	12	2	83
0028	dup10	12	3	ii
0028	dup10	12	4	A
0028	dup10	12	5	40
0028	dup10	12	6	88
0028	dup10	12	7	37
0028	dup10	12	8	16
0028	dup10	12	9	30
0028	dup10	12	10	38
0028	dup10	12	11	51
0028	dup10	12	12	73
0028	dup10	12	13	16
0028	dup10	12	14	30
0028	dup10	12	15	ii
0028	dup10	12	16	O
0028	dup10	12	17	60
0028	dup10	12	18	16
0028	dup10	12	19	z6
0028	dup10	12	20	37
0028	dup10	12	21	6i
0028	dup10	12	22	30
0028	dup10	12	23	z7
0028	dup10	12	24	78
0028	dup10	12	25	83
0028	dup10	12	26	67
0028	dup10	12	27	70
0028	dup10	12	28	zz
0028	dup10	12	29	87
0028	dup10	12	30	13
0028	dup10	12	31	7997
0028	dup10	12	32	z5
0028	dup10	12	33	35
0028	dup10	12	34	z5
0028	dup10	12	35	37
0028	dup10	12	36	79
0028	dup10	12	37	30
0028	dup10	12	38	tt
0028	dup10	12	39	T
0028	dup10	12	40	7i
0028	dup10	12	41	ii
0028	dup10	12	42	6i
0028	dup10	12	43	A
0028	dup10	12	44	90
0028	dup10	12	45	V
0028	dup10	12	46	60
0028	dup10	12	47	84
0028	dup10	12	48	7z
0028	dup10	12	49	16
0028	dup10	13	1	1z
0028	dup10	13	2	39
0028	dup10	13	3	31
0028	dup10	13	4	X
0028	dup10	13	5	03
0028	dup10	13	6	15
0028	dup10	13	7	T
0028	dup10	13	8	84
0028	dup10	13	9	68
0028	dup10	13	10	35
0028	dup10	13	11	z6
0028	dup10	13	12	58
0028	dup10	13	13	97
0028	dup10	13	14	68
0028	dup10	13	15	79
0028	dup10	13	16	7z
0028	dup10	13	17	16
0028	dup10	13	18	73
0028	dup10	13	19	78
0028	dup10	13	20	8
0028	dup10	13	21	9z
0028	dup10	13	22	6i
0028	dup10	13	23	zz
0028	dup10	13	24	4ud
0028	dup10	13	25	55
0028	dup10	13	26	78
0028	dup10	13	27	8z
0028	dup10	13	28	11
0028	dup10	13	29	z5
0028	dup10	13	30	31
0028	dup10	13	31	11
0028	dup10	13	32	60
0028	dup10	13	33	40
0028	dup10	13	34	71
0028	dup10	13	35	76
0028	dup10	13	36	79
0028	dup10	13	37	9z
0028	dup10	13	38	89
0028	dup10	13	39	T
0028	dup10	13	40	5i
0028	dup10	13	41	83
0028	dup10	13	42	68
0028	dup10	13	43	C
0028	dup10	13	44	44
0028	dup10	13	45	91
0028	dup10	13	46	16
0028	dup10	13	47	z
0028	dup10	13	48	5i
0028	dup10	14	1	99
0028	dup10	14	2	60
0028	dup10	14	3	4
0028	dup10	14	4	500
0028	dup10	14	5	0z
0028	dup10	14	6	0z
0028	dup10	14	7	z8
0028	dup10	14	8	55
0028	dup10	14	9	44
0028	dup10	14	10	87
0028	dup10	14	11	36
0028	dup10	14	12	ii
0028	dup10	14	13	C
0028	dup10	14	14	88
0028	dup10	14	15	5i
0028	dup10	14	16	zz
0028	dup10	14	17	L
0028	dup10	14	18	z73
0028	dup10	14	19	Zoo
0028	dup10	14	20	68
0028	dup10	14	21	73
0028	dup10	14	22	31
0028	dup10	14	23	73
0028	dup10	14	24	z5
0028	dup10	14	25	37
0028	dup10	14	26	5i
0028	dup10	14	27	zz
0028	dup10	14	28	z7
0028	dup10	14	29	36
0028	dup10	14	30	z958
0028	dup10	14	31	35
0028	dup10	14	32	83
0028	dup10	14	33	7z
0028	dup10	14	34	ii
0028	dup10	14	35	16
0028	dup10	14	36	30
0028	dup10	14	37	z8
0028	dup10	14	38	76
0028	dup10	14	39	45
0028	dup10	14	40	i686
0028	dup10	14	41	88
0028	dup10	14	42	36
0028	dup10	14	43	60
0028	dup10	14	44	98
0028	dup10	14	45	6i
0028	dup10	14	46	303z
