line	pos	sign
hstam_4_h_1411_0023_L18	35	66
hstam_4_h_1411_0023_L18	36	z7
hstam_4_h_1411_0023_L18	37	3z
hstam_4_h_1411_0023_L18	38	z6
hstam_4_h_1411_0023_L18	39	97
hstam_4_h_1411_0023_L18	40	z1
hstam_4_h_1411_0023_L18	41	61
hstam_4_h_1411_0023_L18	42	ILLEGIBLE
hstam_4_h_1411_0023_L18	43	z6
hstam_4_h_1411_0023_L19	1	z7
hstam_4_h_1411_0023_L19	2	55
hstam_4_h_1411_0023_L19	3	31
hstam_4_h_1411_0023_L19	4	ILLEGIBLE
hstam_4_h_1411_0023_L19	5	71
hstam_4_h_1411_0023_L19	6	z8
hstam_4_h_1411_0023_L19	7	30
hstam_4_h_1411_0023_L19	8	ILLEGIBLE
hstam_4_h_1411_0023_L19	9	z3
hstam_4_h_1411_0023_L19	10	15
hstam_4_h_1411_0023_L19	11	11
hstam_4_h_1411_0023_L19	12	N
hstam_4_h_1411_0023_L19	13	z6
hstam_4_h_1411_0023_L19	14	61
hstam_4_h_1411_0023_L19	15	94
hstam_4_h_1411_0023_L19	16	79
hstam_4_h_1411_0023_L19	17	z5
hstam_4_h_1411_0023_L19	18	13
hstam_4_h_1411_0023_L19	19	z6
hstam_4_h_1411_0023_L19	20	D
hstam_4_h_1411_0023_L19	21	39
hstam_4_h_1411_0023_L19	22	H
hstam_4_h_1411_0023_L19	23	49
hstam_4_h_1411_0023_L19	24	74
hstam_4_h_1411_0023_L19	25	73
hstam_4_h_1411_0023_L19	26	37
hstam_4_h_1411_0023_L19	27	35
hstam_4_h_1411_0023_L19	28	78
hstam_4_h_1411_0023_L19	29	97
hstam_4_h_1411_0023_L19	30	V
hstam_4_h_1411_0023_L19	31	z6
hstam_4_h_1411_0023_L19	32	39
hstam_4_h_1411_0023_L19	33	15
hstam_4_h_1411_0023_L19	34	13
hstam_4_h_1411_0023_L19	35	37
hstam_4_h_1411_0023_L19	36	78
hstam_4_h_1411_0023_L19	37	z9
hstam_4_h_1411_0023_L19	38	11
hstam_4_h_1411_0023_L19	39	zz
hstam_4_h_1411_0023_L19	40	50
hstam_4_h_1411_0023_L20	1	z6
hstam_4_h_1411_0023_L20	2	30
hstam_4_h_1411_0023_L20	3	66
hstam_4_h_1411_0023_L20	4	84
hstam_4_h_1411_0023_L20	5	94
hstam_4_h_1411_0023_L20	6	35
hstam_4_h_1411_0023_L20	7	36
hstam_4_h_1411_0023_L20	8	57
hstam_4_h_1411_0023_L20	9	7z
hstam_4_h_1411_0023_L20	10	66
hstam_4_h_1411_0023_L20	11	z4
hstam_4_h_1411_0023_L20	12	ILLEGIBLE
hstam_4_h_1411_0023_L20	13	7z
hstam_4_h_1411_0023_L20	14	z6
hstam_4_h_1411_0023_L20	15	25
hstam_4_h_1411_0023_L20	16	90
hstam_4_h_1411_0023_L20	17	66
hstam_4_h_1411_0023_L20	18	8z
hstam_4_h_1411_0023_L20	19	61
hstam_4_h_1411_0023_L20	20	31
hstam_4_h_1411_0023_L20	21	3z
hstam_4_h_1411_0023_L20	22	30
hstam_4_h_1411_0023_L20	23	F
hstam_4_h_1411_0023_L20	24	56
hstam_4_h_1411_0023_L20	25	54
hstam_4_h_1411_0023_L20	26	48
hstam_4_h_1411_0023_L20	27	7z
hstam_4_h_1411_0023_L20	28	49
hstam_4_h_1411_0023_L20	29	83
hstam_4_h_1411_0023_L20	30	90
hstam_4_h_1411_0023_L20	31	58
hstam_4_h_1411_0023_L20	32	7z
hstam_4_h_1411_0023_L20	33	16
hstam_4_h_1411_0023_L20	34	40
hstam_4_h_1411_0023_L20	35	55
hstam_4_h_1411_0023_L20	36	15
hstam_4_h_1411_0023_L20	37	79
hstam_4_h_1411_0023_L20	38	zz
hstam_4_h_1411_0023_L21	1	0
hstam_4_h_1411_0023_L21	2	6z
hstam_4_h_1411_0023_L21	3	H
hstam_4_h_1411_0023_L21	4	79
hstam_4_h_1411_0023_L21	5	z9
hstam_4_h_1411_0023_L21	6	16
hstam_4_h_1411_0023_L21	7	50
hstam_4_h_1411_0023_L21	8	70
hstam_4_h_1411_0023_L21	9	zz
hstam_4_h_1411_0023_L21	10	54
hstam_4_h_1411_0023_L21	11	61
hstam_4_h_1411_0023_L21	12	31
hstam_4_h_1411_0023_L21	13	84
hstam_4_h_1411_0023_L21	14	5z
hstam_4_h_1411_0023_L21	15	71
hstam_4_h_1411_0023_L21	16	15
