line	pos	sign
hstam_4_h_1411_0016_L21	8	49
hstam_4_h_1411_0016_L21	9	25
hstam_4_h_1411_0016_L21	10	11
hstam_4_h_1411_0016_L21	11	40
hstam_4_h_1411_0016_L21	12	44
hstam_4_h_1411_0016_L21	13	84
hstam_4_h_1411_0016_L21	14	4
hstam_4_h_1411_0016_L21	15	H
hstam_4_h_1411_0016_L21	16	6
hstam_4_h_1411_0016_L21	17	D
hstam_4_h_1411_0016_L21	18	25
hstam_4_h_1411_0016_L21	19	V
hstam_4_h_1411_0016_L21	20	N
hstam_4_h_1411_0016_L21	21	13
hstam_4_h_1411_0016_L21	22	60
hstam_4_h_1411_0016_L21	23	S
hstam_4_h_1411_0016_L21	24	77
hstam_4_h_1411_0016_L21	25	40
hstam_4_h_1411_0016_L21	26	55
hstam_4_h_1411_0016_L21	27	ILLEGIBLE
hstam_4_h_1411_0016_L21	28	z
hstam_4_h_1411_0016_L21	29	22
hstam_4_h_1411_0016_L21	30	z
hstam_4_h_1411_0016_L21	31	35
hstam_4_h_1411_0016_L22	1	99
hstam_4_h_1411_0016_L22	2	94
hstam_4_h_1411_0016_L22	3	48
hstam_4_h_1411_0016_L22	4	z
hstam_4_h_1411_0016_L22	5	7
hstam_4_h_1411_0016_L22	6	70
hstam_4_h_1411_0016_L22	7	z
hstam_4_h_1411_0016_L22	8	z
hstam_4_h_1411_0016_L22	9	z
hstam_4_h_1411_0016_L22	10	9
hstam_4_h_1411_0016_L22	11	97
hstam_4_h_1411_0016_L22	12	44
hstam_4_h_1411_0016_L22	13	35
hstam_4_h_1411_0016_L22	14	N
hstam_4_h_1411_0016_L22	15	z
hstam_4_h_1411_0016_L22	16	1
hstam_4_h_1411_0016_L22	17	38
hstam_4_h_1411_0016_L22	18	44
hstam_4_h_1411_0016_L22	19	z
hstam_4_h_1411_0016_L22	20	7
hstam_4_h_1411_0016_L22	21	V
hstam_4_h_1411_0016_L22	22	60
hstam_4_h_1411_0016_L22	23	X
hstam_4_h_1411_0016_L22	24	15
hstam_4_h_1411_0016_L22	25	55
hstam_4_h_1411_0016_L22	26	83
hstam_4_h_1411_0016_L22	27	z
hstam_4_h_1411_0016_L22	28	78
hstam_4_h_1411_0016_L22	29	69
hstam_4_h_1411_0016_L22	30	54
hstam_4_h_1411_0016_L22	31	61
hstam_4_h_1411_0016_L22	32	63
hstam_4_h_1411_0016_L22	33	82
hstam_4_h_1411_0016_L23	1	61
hstam_4_h_1411_0016_L23	2	H
hstam_4_h_1411_0016_L23	3	z
hstam_4_h_1411_0016_L23	4	9
hstam_4_h_1411_0016_L23	5	79
hstam_4_h_1411_0016_L23	6	65
hstam_4_h_1411_0016_L23	7	82
hstam_4_h_1411_0016_L23	8	z
hstam_4_h_1411_0016_L23	9	87
hstam_4_h_1411_0016_L23	10	L
hstam_4_h_1411_0016_L23	11	74
hstam_4_h_1411_0016_L23	12	36
hstam_4_h_1411_0016_L23	13	N
hstam_4_h_1411_0016_L23	14	z
hstam_4_h_1411_0016_L23	15	8
hstam_4_h_1411_0016_L23	16	76
hstam_4_h_1411_0016_L23	17	z
hstam_4_h_1411_0016_L23	18	z
hstam_4_h_1411_0016_L23	19	30
hstam_4_h_1411_0016_L23	20	z
hstam_4_h_1411_0016_L23	21	4
hstam_4_h_1411_0016_L23	22	36
hstam_4_h_1411_0016_L23	23	97
hstam_4_h_1411_0016_L23	24	54
hstam_4_h_1411_0016_L23	25	84
