page	line	idx	sign
p3	4	17	1
p3	4	18	7
p3	4	19	G1
p3	4	20	ITAL
p3	4	21	G6
p3	4	22	7
p3	4	23	1
p3	4	24	V
p3	4	25	G6
p3	4	26	G3
p3	4	27	3
p3	4	28	7
p3	4	29	Zb
p3	4	30	X?
p3	4	31	0
p3	4	32	T
p3	4	33	G2
p3	4	34	S
p3	4	35	3
p3	4	36	G1
p3	4	37	Z
p3	4	38	1
p3	4	39	V
p3	4	40	PAPST
p3	5	1	Z
p3	5	2	1
p3	5	3	G3
p3	5	4	VmV
p3	5	5	ZZ
p3	5	6	Wm
p3	5	7	1
p3	5	8	G6
p3	5	9	7
p3	5	10	3
p3	5	11	7
p3	5	12	Zb
p3	5	13	3
p3	5	14	5
p3	5	15	6
p3	5	16	6
p3	5	17	Xk
p3	5	18	V
p3	5	19	G6
p3	5	20	0
p3	5	21	G4
p3	5	22	X
p3	5	23	G2
p3	5	24	6
p3	5	25	4
p3	5	26	Xk
p3	5	27	ZZ
p3	5	28	0
p3	5	29	1
p3	5	30	TL
p3	5	31	G6
p3	5	32	4
p3	5	33	Xk
p3	5	34	G1
p3	6	1	3
p3	6	2	8
p3	6	3	1
p3	6	4	V
p3	6	5	XX
p3	6	6	G6
p3	6	7	1
p3	6	8	Z
p3	6	9	3
p3	6	10	T
p3	6	11	0
p3	6	12	1
p3	6	13	TL
p3	6	14	V
p3	6	15	1
p3	6	16	Xy
p3	6	17	X
p3	6	18	G2
p3	6	19	G3
p3	6	20	9
p3	6	21	V
p3	6	22	G6
p3	6	23	1
p3	6	24	Z
p3	6	25	1
p3	6	26	7
p3	6	27	0
p3	6	28	1
p3	6	29	XX
p3	6	30	1
p3	6	31	G4
p3	6	32	1
p3	6	33	7
p3	6	34	S
p3	6	35	3
p3	6	36	G1
p3	6	37	1
p3	6	38	V
p3	6	39	T
p3	6	40	G2
p3	6	41	6
p3	6	42	G6
p3	6	43	4
p3	6	44	S
p3	7	1	8
p3	7	2	1
p3	7	3	X
p3	7	4	V
p3	7	5	6
p3	7	6	3
p3	7	7	X
p3	7	8	8
p3	7	9	1
p3	7	10	7
p3	7	11	6
p3	7	12	3
p3	7	13	G4
p3	7	14	1
p3	7	15	7
p3	7	16	3
p3	7	17	8
p3	7	18	1
p3	7	19	V
p3	7	20	7
p3	7	21	X
p3	7	22	5
p3	7	23	7
p3	7	24	XX
p3	7	25	G6
p3	7	26	1
p3	7	27	Z
p3	7	28	1
p3	7	29	V
p3	7	30	3
p3	7	31	7
p3	7	32	0
p3	7	33	1
p3	7	34	7
p3	7	35	G2
p3	7	36	G3
p3	7	37	G3
p3	7	38	1
p3	7	39	7
p3	7	40	Z
p3	7	41	1?
p3	7	42	V
p3	8	1	HZG
p3	8	2	ZZ
p3	8	3	BAY
p3	8	4	5
p3	8	5	3
p3	8	6	G1
p3	8	7	T
p3	8	8	1
p3	8	9	G6
p3	8	10	7
p3	8	11	X
p3	8	12	G2
p3	8	13	6
p3	8	14	4
p3	8	15	Xk
p3	8	16	T
p3	8	17	G2
p3	8	18	Z
p3	8	19	1
p3	8	20	G3
p3	8	21	VmV
p3	8	22	ZZ
p3	8	23	Wm
p3	8	24	ZZ
p3	8	25	5
p3	8	26	X
p3	8	27	6
p3	8	28	9
p3	8	29	9
p3	9	1	Xk
p3	9	2	S
p3	9	3	G2
p3	9	4	G3
p3	9	5	G3
p3	9	6	1
p3	9	7	7
p3	9	8	T
p3	9	9	G2
p3	9	10	6
p3	9	11	6
p3	9	12	3
p3	9	13	X
p3	9	14	4
p3	9	15	5
p3	9	16	9
p3	9	17	1
p3	9	18	V
p3	9	19	G1
p3	9	20	G6
p3	9	21	0
p3	9	22	XX
p3	9	23	G6
p3	9	24	V
p3	9	25	3
p3	9	26	8
p3	9	27	1
p3	9	28	V
p3	9	29	G6
p3	9	30	7
p3	9	31	Z
p3	9	32	G6
p3	9	33	1
p3	9	34	G4
p3	9	35	1
p3	9	36	7
p3	9	37	NL
p3	9	38	1
p3	9	39	7
p3	10	1	T
p3	10	2	1
p3	10	3	G6
p3	10	4	7
p3	10	5	G1
p3	10	6	T?
p3	10	7	G2
p3	10	8	4
p3	10	9	S
p3	10	10	J
p3	10	11	G6
p3	10	12	6
p3	10	13	XX
p3	10	14	G6
p3	10	15	V
p3	10	16	0
p3	10	17	6
p3	10	18	1
p3	10	19	G6
p3	10	20	4
p3	10	21	S
p3	10	22	XX
p3	10	23	G2
p3	10	24	6
p3	10	25	1
p3	10	26	V
p3	10	27	T
p3	10	28	X
p3	10	29	4
p3	10	30	S
p3	10	31	G1
p3	10	32	XX
p3	10	33	G2
p3	10	34	V
p3	10	35	Z
p3	10	36	1
p3	10	37	7
p3	11	1	Z
p3	11	2	1
p3	11	3	G3
p3	11	4	VmV
p3	11	5	ZZ
p3	11	6	Wm
p3	11	7	8
p3	11	8	1
p3	11	9	G6
p3	11	10	J
p3	11	11	3
p3	11	12	7
p3	11	13	Z
p3	11	14	G1
p3	11	15	ZZ
p3	11	16	G1
p3	11	17	5
p3	11	18	X
p3	11	19	7
p3	11	20	5
p3	11	21	3
p3	11	22	8
p3	11	23	1
p3	11	24	7
p3	11	25	T
p3	11	26	3
p3	11	27	8
p3	11	28	1
p3	11	29	V
p3	11	30	G3
p3	11	31	G6
p3	11	32	G1
p3	12	1	0
p3	12	2	6
p3	12	3	G6
p3	12	4	G3
p3	12	5	9
p3	12	6	9
p3	12	7	3
p3	12	8	8
p3	12	9	0
p3	12	10	1
p3	12	11	TL
p3	12	12	6
p3	12	13	3
p3	12	14	0
p3	12	15	1
p3	12	16	7
p3	12	17	X
p3	12	18	7
p3	12	19	Z
p3	12	20	G1
p3	12	21	G3
p3	12	22	G2
p3	12	23	4
p3	12	24	5
p3	12	25	G1
p3	12	26	1
p3	12	27	7
p3	12	28	XX
p3	12	29	G2
p3	12	30	6
p3	12	31	6
p3	12	32	6
p3	12	33	G6
p3	12	34	1
p3	12	35	Z
p3	12	36	1
p3	12	37	7
p3	13	1	Z
p3	13	2	3
p3	13	3	T
p3	13	4	X
p3	13	5	7
p3	13	6	T
p3	13	7	1
p3	13	8	V
p3	13	9	VmV
p3	13	10	G6
p3	13	11	7
p3	13	12	HISP
p3	13	13	Z
p3	13	14	1
p3	13	15	V
p3	13	16	0
p3	13	17	6
p3	13	18	G6
p3	13	19	4
p3	13	20	S
p3	13	21	1
p3	13	22	7
p3	13	23	3
p3	13	24	X
p3	13	25	4
p3	13	26	5
p3	13	27	G1
p3	13	28	S
p3	13	29	1
p3	13	30	G1
p3	13	31	1
p3	13	32	XX
p3	13	33	G6
p3	13	34	V
p3	14	1	Xk
p3	14	2	S
p3	14	3	G2
p3	14	4	7
p3	14	5	7
p3	14	6	1
p3	14	7	7
p3	14	8	G6
p3	14	9	5
p3	14	10	7
p3	14	11	1
p3	14	12	7
p3	14	13	3
p3	14	14	8
p3	14	15	1
p3	14	16	V
p3	14	17	G6
p3	14	18	5
p3	14	19	1
p3	14	20	7
p3	14	21	T
p3	14	22	1
p3	14	23	G6
p3	14	24	G1
p3	14	25	Zb
p3	14	26	3
p3	14	27	5
p3	14	28	7
p3	14	29	T
p3	14	30	1
p3	14	31	G6
p3	14	32	7
p3	14	33	1
p3	14	34	G3
p3	14	35	X
p3	14	36	G2
p3	14	37	V
p3	14	38	S
p3	14	39	3
p3	14	40	8
p3	14	41	1
p3	14	42	7
p3	15	1	7
p3	15	2	G6
p3	15	3	G1
p3	15	4	G1
p3	15	5	X
p3	15	6	1
p3	15	7	V
p3	15	8	5
p3	15	9	G6
p3	15	10	7
p3	15	11	Z
p3	15	12	1
p3	15	13	V
p3	15	14	1
p3	15	15	7
p3	15	16	XX
p3	15	17	1
p3	15	18	6
p3	15	19	4
p3	15	20	5
p3	15	21	T
p3	15	22	3
p3	15	23	6
p3	15	24	6
p3	15	25	1
p3	15	26	T
p3	15	27	EL
p3	15	28	8
p3	15	29	1
p3	15	30	G6
p3	15	31	T
p3	15	32	G6
p3	15	33	4
p3	15	34	5
p3	15	35	G6
p3	15	36	7
p3	16	1	0
p3	16	2	1
p3	16	3	S
p3	16	4	3
p3	16	5	G6
p3	16	6	G3
p3	16	7	8
p3	16	8	G1
p3	16	9	XX
p3	16	10	1
p3	16	11	V
p3	16	12	Z
p3	16	13	1
p3	16	14	7
p3	16	15	Zb
p3	16	16	8
p3	16	17	1
p3	16	18	5
p3	16	19	3
p3	16	20	6
p3	16	21	G1
p3	16	22	1
p3	16	23	7
p3	16	24	XX
p3	16	25	G6
p3	16	26	G4
p3	16	27	1
p3	16	28	7
p4	1	1	1
p4	1	2	T
p4	1	3	S
p4	1	4	3
p4	1	5	G1
p4	1	6	G1
p4	1	7	3
p4	1	8	X
p4	1	9	4
p4	1	10	5
p4	1	11	1
p4	1	12	G6
p4	1	13	7
p4	1	14	9
p4	1	15	V
p4	1	16	3
p4	1	17	7
p4	1	18	G1
p4	1	19	Zb
p4	1	20	G2
p4	1	21	T
p4	1	22	G6
p4	1	23	TL
p4	1	24	1
p4	1	25	V
p4	1	26	S
p4	1	27	1
p4	1	28	V
p4	1	29	V
p4	1	30	0
p4	1	31	1
p4	1	32	7
p4	1	33	3
p4	1	34	7
p4	1	35	G1
p4	1	36	Z
p4	1	37	1
p4	1	38	V
p4	1	39	S
p4	1	40	1
p4	1	41	V
p4	1	42	X
p4	1	43	G2
p4	1	44	7
p4	2	1	G3
p4	2	2	3
p4	2	3	6
p4	2	4	6
p4	2	5	8
p4	2	6	G6
p4	2	7	7
p4	2	8	G6
p4	2	9	7
p4	2	10	Z
p4	2	11	1
p4	2	12	V
p4	2	13	VmV
p4	2	14	G6
p4	2	15	7
p4	2	16	ZZ
p4	2	17	ENG
p4	2	18	1
p4	2	19	G6
p4	2	20	7
p4	2	21	1
p4	2	22	7
p4	2	23	5
p4	2	24	3
p4	2	25	9
p4	2	26	1
p4	2	27	7
p4	2	28	0
p4	2	29	1
p4	2	30	7
p4	2	31	3
p4	2	32	7
p4	2	33	G1
p4	2	34	6
p4	2	35	3
p4	2	36	5
p4	2	37	3
p4	2	38	X
p4	2	39	1
p4	2	40	V
p4	2	41	Z
p4	2	42	1
p4	3	1	0
p4	3	2	V
p4	3	3	3
p4	3	4	T
p4	3	5	X
p4	3	6	1
p4	3	7	V
p4	3	8	Xk
p4	3	9	3
p4	3	10	X
p4	3	11	9
p4	3	12	9
p4	3	13	G1
p4	3	14	T
p4	3	15	G2
p4	3	16	6
p4	3	17	6
p4	3	18	T
p4	3	19	1
p4	3	20	S
p4	3	21	V
p4	3	22	J
p4	3	23	3
p4	3	24	V
p4	3	25	4
p4	3	26	Xk
p4	3	27	UND
p4	3	28	ENG
p4	3	29	XX
p4	3	30	G2
p4	3	31	6
p4	3	32	6
p4	3	33	0
p4	3	34	1
p4	3	35	6
p4	3	36	1
p4	3	37	0
p4	3	38	1
p4	3	39	7
p4	3	40	T
p4	3	41	1
p4	3	42	G6
p4	3	43	7
p4	4	1	T
p4	4	2	G2
p4	4	3	S
p4	4	4	3
p4	4	5	G1
p4	4	6	G1
p4	4	7	3
p4	4	8	X
p4	4	9	4
p4	4	10	5
p4	4	11	Z
p4	4	12	G6
p4	4	13	1
p4	4	14	VmV
p4	4	15	G6
p4	4	16	7
p4	4	17	ZZ
p4	4	18	ENG
p4	4	19	G6
p4	4	20	1
p4	4	21	7
p4	4	22	3
p4	4	23	G3
p4	4	24	8
p4	4	25	3
p4	4	26	G4
p4	4	27	3
p4	4	28	Z
p4	4	29	1
p4	4	30	X
p4	4	31	V
p4	4	32	3
p4	4	33	X
p4	4	34	G4
p4	4	35	Wm
p4	5	1	XX
p4	5	2	G6
p4	5	3	1
p4	5	4	Z
p4	5	5	1
p4	5	6	V
p4	5	7	3
p4	5	8	8
p4	5	9	9
p4	5	10	X
p4	5	11	V
p4	5	12	Z
p4	5	13	1
p4	5	14	V
p4	5	15	7
p4	5	16	6
p4	5	17	3
p4	5	18	G4
p4	5	19	1
p4	5	20	7
p4	5	21	Z
p4	5	22	3
p4	5	23	T
p4	5	24	G3
p4	5	25	3
p4	5	26	7
p4	5	27	X
p4	5	28	1
p4	5	29	V
p4	5	30	G3
p4	5	31	X
p4	5	32	1
p4	5	33	Z
p4	5	34	G1
p4	5	35	T
p4	5	36	G6
p4	5	37	1
p4	5	38	XX
p4	5	39	1
p4	5	40	V
p4	5	41	Z
p4	5	42	1
p4	6	1	T
p4	6	2	G6
p4	6	3	4
p4	6	4	5
p4	6	5	XX
p4	6	6	G6
p4	6	7	1
p4	6	8	Z
p4	6	9	1
p4	6	10	V
p4	6	11	Z
p4	6	12	1
p4	6	13	7
p4	6	14	VmV
p4	6	15	UND
p4	6	16	Z
p4	6	17	1
p4	6	18	G3
p4	6	19	F
p4	6	20	V
p4	6	21	G6
p4	6	22	7
p4	6	23	G1
p4	6	24	Zb
p4	6	25	1
p4	6	26	7
p4	6	27	X
p4	6	28	G2
p4	6	29	7
p4	6	30	4
p4	6	31	G2
p4	6	32	7
p4	6	33	Z
p4	6	34	1
p4	6	35	ZZ
p4	6	36	G3
p4	7	1	8
p4	7	2	1
p4	7	3	J
p4	7	4	1
p4	7	5	7
p4	7	6	G6
p4	7	7	7
p4	7	8	Z
p4	7	9	G6
p4	7	10	1
p4	7	11	G4
p4	7	12	1
p4	7	13	7
p4	7	14	6
p4	7	15	1
p4	7	16	X
p4	7	17	9
p4	7	18	9
p4	7	19	1
p4	7	20	7
p4	7	21	1
p4	7	22	V
p4	7	23	Xk
p4	7	24	6
p4	7	25	1
p4	7	26	V
p4	7	27	1
p4	7	28	7
