order	djvu_line	raw	cleaned	doubtful	clear_words_around
80	47949	500	500	no	26 50 5 [[500]] fame 208 710 540.
81	47949	208	208	no	50 5 500 fame [[208]] 710 540. lean 48
82	47949	710	710	no	5 500 fame 208 [[710]] 540. lean 48 400
83	47949	540.	540	no	500 fame 208 710 [[540.]] lean 48 400 16
84	47949	48	48	no	208 710 540. lean [[48]] 400 16 504 19
85	47949	400	400	no	710 540. lean 48 [[400]] 16 504 19 419
86	47949	16	16	no	540. lean 48 400 [[16]] 504 19 419 26
87	47949	504	504	no	lean 48 400 16 [[504]] 19 419 26 50
88	47949	19	19	no	48 400 16 504 [[19]] 419 26 50 419
89	47949	419	419	no	400 16 504 19 [[419]] 26 50 419 19
90	47949	26	26	no	16 504 19 419 [[26]] 50 419 19
91	47949	50	50	no	504 19 419 26 [[50]] 419 19
92	47949	419	419	no	19 419 26 50 [[419]] 19
93	47949	19	19	no	419 26 50 419 [[19]]
94	47953	10	10	no	[[10]] 541 as yet j
95	47953	541	541	no	10 [[541]] as yet j but
96	47953	164	164	no	yet j but that [[164]] 548 913 is now
97	47953	548	548	no	j but that 164 [[548]] 913 is now 403
98	47953	913	913	no	but that 164 548 [[913]] is now 403 2
99	47953	403	403	no	548 913 is now [[403]] 2 39 405 548
100	47953	2	2	no	913 is now 403 [[2]] 39 405 548 to
101	47953	39	39	no	is now 403 2 [[39]] 405 548 to 156
102	47953	405	405	no	now 403 2 39 [[405]] 548 to 156 418
103	47953	548	548	no	403 2 39 405 [[548]] to 156 418 403
104	47953	156	156	no	39 405 548 to [[156]] 418 403
105	47953	418	418	no	405 548 to 156 [[418]] 403
106	47953	403	403	no	548 to 156 418 [[403]]
107	47957	414	414	no	[[414]] 18 44 26 500,
108	47957	18	18	no	414 [[18]] 44 26 500, with
109	47957	44	44	no	414 18 [[44]] 26 500, with good
110	47957	26	26	no	414 18 44 [[26]] 500, with good 44
111	47957	500,	500	no	414 18 44 26 [[500,]] with good 44 405
112	47957	44	44	no	26 500, with good [[44]] 405 419 60 19
113	47957	405	405	no	500, with good 44 [[405]] 419 60 19 420
114	47957	419	419	no	with good 44 405 [[419]] 60 19 420 405
115	47957	60	60	no	good 44 405 419 [[60]] 19 420 405 and
116	47957	19	19	no	44 405 419 60 [[19]] 420 405 and 48
117	47957	420	420	no	405 419 60 19 [[420]] 405 and 48 24
118	47957	405	405	no	419 60 19 420 [[405]] and 48 24 410
119	47957	48	48	no	19 420 405 and [[48]] 24 410 405
120	47957	24	24	no	420 405 and 48 [[24]] 410 405
121	47957	410	410	no	405 and 48 24 [[410]] 405
122	47957	405	405	no	and 48 24 410 [[405]]
123	47961	413	413	no	[[413]] 40 60 406 914
124	47961	40	40	no	413 [[40]] 60 406 914 5
125	47961	60	60	no	413 40 [[60]] 406 914 5 14
126	47961	406	406	no	413 40 60 [[406]] 914 5 14 18
127	47961	914	914	no	413 40 60 406 [[914]] 5 14 18 60
128	47961	5	5	no	40 60 406 914 [[5]] 14 18 60 24
129	47961	14	14	no	60 406 914 5 [[14]] 18 60 24 31
130	47961	18	18	no	406 914 5 14 [[18]] 60 24 31 10
131	47961	60	60	no	914 5 14 18 [[60]] 24 31 10 405.
132	47961	24	24	no	5 14 18 60 [[24]] 31 10 405. 418
133	47961	31	31	no	14 18 60 24 [[31]] 10 405. 418 419
134	47961	10	10	no	18 60 24 31 [[10]] 405. 418 419 414
135	47961	405.	405	no	60 24 31 10 [[405.]] 418 419 414 19
136	47961	418	418	no	24 31 10 405. [[418]] 419 414 19 10
137	47961	419	419	no	31 10 405. 418 [[419]] 414 19 10 350
138	47961	414	414	no	10 405. 418 419 [[414]] 19 10 350 405
139	47961	19	19	no	405. 418 419 414 [[19]] 10 350 405
140	47961	10	10	no	418 419 414 19 [[10]] 350 405
141	47961	350	350	no	419 414 19 10 [[350]] 405
142	47961	405	405	no	414 19 10 350 [[405]]
143	47963	19	19	no	[[19]]
144	47966	576	576	no	[[576]] STATE PAPERS OF
145	47970	A.D.1654.	A.D.1654?	yes	[[A.D.1654.]] 19 406 5 400
146	47970	19	19	no	A.D.1654. [[19]] 406 5 400 420
147	47970	406	406	no	A.D.1654. 19 [[406]] 5 400 420 414
148	47970	5	5	no	A.D.1654. 19 406 [[5]] 400 420 414 18
149	47970	400	400	no	A.D.1654. 19 406 5 [[400]] 420 414 18 407
150	47970	420	420	no	19 406 5 400 [[420]] 414 18 407 418
151	47970	414	414	no	406 5 400 420 [[414]] 18 407 418 are
152	47970	18	18	no	5 400 420 414 [[18]] 407 418 are ufed
153	47970	407	407	no	400 420 414 18 [[407]] 418 are ufed by
154	47970	418	418	no	420 414 18 407 [[418]] are ufed by 62
155	47970	62	62	no	418 are ufed by [[62]] 542 and 156, to
156	47970	542	542	no	are ufed by 62 [[542]] and 156, to 39
157	47970	156,	156	no	by 62 542 and [[156,]] to 39 2 419
158	47970	39	39	no	542 and 156, to [[39]] 2 419 18
159	47970	2	2	no	and 156, to 39 [[2]] 419 18
160	47970	419	419	no	156, to 39 2 [[419]] 18
161	47970	18	18	no	to 39 2 419 [[18]]
162	47974	405	405	no	[[405]] 546 73 to 500
163	47974	546	546	no	405 [[546]] 73 to 500 60
164	47974	73	73	no	405 546 [[73]] to 500 60 2
165	47974	500	500	no	405 546 73 to [[500]] 60 2 409 19
166	47974	60	60	no	546 73 to 500 [[60]] 2 409 19 708
167	47974	2	2	no	73 to 500 60 [[2]] 409 19 708 with
168	47974	409	409	no	to 500 60 2 [[409]] 19 708 with them
169	47974	19	19	no	500 60 2 409 [[19]] 708 with them :
170	47974	708	708	no	60 2 409 19 [[708]] with them : but
171	47974	36	36	no	them : but they [[36]] 405 3 24 547
172	47974	405	405	no	: but they 36 [[405]] 3 24 547
173	47974	3	3	no	but they 36 405 [[3]] 24 547
174	47974	24	24	no	they 36 405 3 [[24]] 547
175	47974	547	547	no	36 405 3 24 [[547]]
176	47978	460	460	no	[[460]] 49 414 2 7
177	47978	49	49	no	460 [[49]] 414 2 7 as
178	47978	414	414	no	460 49 [[414]] 2 7 as yet.
179	47978	2	2	no	460 49 414 [[2]] 7 as yet. y6
180	47978	7	7	no	460 49 414 2 [[7]] as yet. y6 is
181	47978	y6	y6?	yes	2 7 as yet. [[y6]] is in 401 400
182	47978	401	401	no	yet. y6 is in [[401]] 400 40 542 403
183	47978	400	400	no	y6 is in 401 [[400]] 40 542 403 2
184	47978	40	40	no	is in 401 400 [[40]] 542 403 2 19
185	47978	542	542	no	in 401 400 40 [[542]] 403 2 19 40
186	47978	403	403	no	401 400 40 542 [[403]] 2 19 40 60
187	47978	2	2	no	400 40 542 403 [[2]] 19 40 60 419
188	47978	19	19	no	40 542 403 2 [[19]] 40 60 419 60
189	47978	40	40	no	542 403 2 19 [[40]] 60 419 60 414
190	47978	60	60	no	403 2 19 40 [[60]] 419 60 414
191	47978	419	419	no	2 19 40 60 [[419]] 60 414
192	47978	60	60	no	19 40 60 419 [[60]] 414
193	47978	414	414	no	40 60 419 60 [[414]]
194	47982	913.	913	no	[[913.]] God 31 48 418
195	47982	31	31	no	913. God [[31]] 48 418 60 48
196	47982	48	48	no	913. God 31 [[48]] 418 60 48 26
197	47982	418	418	no	913. God 31 48 [[418]] 60 48 26 500.
198	47982	60	60	no	God 31 48 418 [[60]] 48 26 500. I
199	47982	48	48	no	31 48 418 60 [[48]] 26 500. I goe
200	47982	26	26	no	48 418 60 48 [[26]] 500. I goe from
201	47982	500.	500	no	418 60 48 26 [[500.]] I goe from this
202	47982	132	132	no	this inflant hence towards [[132]]
203	47986	132	132	no	[[132]] 400 513 406 910
204	47986	400	400	no	132 [[400]] 513 406 910 122;
205	47986	513	513	no	132 400 [[513]] 406 910 122; from
206	47986	406	406	no	132 400 513 [[406]] 910 122; from 13
207	47986	910	910	no	132 400 513 406 [[910]] 122; from 13 50
208	47986	122;	122	no	400 513 406 910 [[122;]] from 13 50 405
209	47986	13	13	no	406 910 122; from [[13]] 50 405 413 403
210	47986	50	50	no	910 122; from 13 [[50]] 405 413 403 405
211	47986	405	405	no	122; from 13 50 [[405]] 413 403 405 530
212	47986	413	413	no	from 13 50 405 [[413]] 403 405 530 16
213	47986	403	403	no	13 50 405 413 [[403]] 405 530 16 2
214	47986	405	405	no	50 405 413 403 [[405]] 530 16 2 421
215	47986	530	530	no	405 413 403 405 [[530]] 16 2 421 fhall
216	47986	16	16	no	413 403 405 530 [[16]] 2 421 fhall
217	47986	2	2	no	403 405 530 16 [[2]] 421 fhall
218	47986	421	421	no	405 530 16 2 [[421]] fhall
219	47990	50	50	no	[[50]] 405 31 44 405
220	47990	405	405	no	50 [[405]] 31 44 405 7
221	47990	31	31	no	50 405 [[31]] 44 405 7 44
222	47990	44	44	no	50 405 31 [[44]] 405 7 44 414
223	47990	405	405	no	50 405 31 44 [[405]] 7 44 414 39
224	47990	7	7	no	405 31 44 405 [[7]] 44 414 39 710
225	47990	44	44	no	31 44 405 7 [[44]] 414 39 710 large,
226	47990	414	414	no	44 405 7 44 [[414]] 39 710 large, fo
227	47990	39	39	no	405 7 44 414 [[39]] 710 large, fo foon
228	47990	710	710	no	7 44 414 39 [[710]] large, fo foon as
229	47994	403	403	no	in all your [[403]] 2 18 413 403
230	47994	2	2	no	in all your 403 [[2]] 18 413 403 405
231	47994	18	18	no	all your 403 2 [[18]] 413 403 405 49
232	47994	413	413	no	your 403 2 18 [[413]] 403 405 49 411
233	47994	403	403	no	403 2 18 413 [[403]] 405 49 411 542
234	47994	405	405	no	2 18 413 403 [[405]] 49 411 542 910.
235	47994	49	49	no	18 413 403 405 [[49]] 411 542 910. I
236	47994	411	411	no	413 403 405 49 [[411]] 542 910. I remaine
237	47994	542	542	no	403 405 49 411 [[542]] 910. I remaine
238	47994	910.	910	no	405 49 411 542 [[910.]] I remaine
239	48000	412	412	no	[[412]] 60 40 411 405
240	48000	60	60	no	412 [[60]] 40 411 405 401
241	48000	40	40	no	412 60 [[40]] 411 405 401 2
242	48000	411	411	no	412 60 40 [[411]] 405 401 2 417
243	48000	405	405	no	412 60 40 411 [[405]] 401 2 417 19
244	48000	401	401	no	60 40 411 405 [[401]] 2 417 19 50
245	48000	2	2	no	40 411 405 401 [[2]] 417 19 50 546
246	48000	417	417	no	411 405 401 2 [[417]] 19 50 546 60
247	48000	19	19	no	405 401 2 417 [[19]] 50 546 60 19
248	48000	50	50	no	401 2 417 19 [[50]] 546 60 19 910
249	48000	546	546	no	2 417 19 50 [[546]] 60 19 910 11
250	48000	60	60	no	417 19 50 546 [[60]] 19 910 11 405
251	48000	19	19	no	19 50 546 60 [[19]] 910 11 405 49
252	48000	910	910	no	50 546 60 19 [[910]] 11 405 49 400
253	48000	11	11	no	546 60 19 910 [[11]] 405 49 400 413.
254	48000	405	405	no	60 19 910 11 [[405]] 49 400 413.
255	48000	49	49	no	19 910 11 405 [[49]] 400 413.
256	48000	400	400	no	910 11 405 49 [[400]] 413.
257	48000	413.	413	no	11 405 49 400 [[413.]]
258	48002	406	406	no	[[406]] 541 26 13 405
259	48002	541	541	no	406 [[541]] 26 13 405 413
260	48002	26	26	no	406 541 [[26]] 13 405 413 419
261	48002	13	13	no	406 541 26 [[13]] 405 413 419 409
262	48002	405	405	no	406 541 26 13 [[405]] 413 419 409 405
263	48002	413	413	no	541 26 13 405 [[413]] 419 409 405 530
264	48002	419	419	no	26 13 405 413 [[419]] 409 405 530 419
265	48002	409	409	no	13 405 413 419 [[409]] 405 530 419 421
266	48002	405	405	no	405 413 419 409 [[405]] 530 419 421 414
267	48002	530	530	no	413 419 409 405 [[530]] 419 421 414 48
268	48002	419	419	no	419 409 405 530 [[419]] 421 414 48 405
269	48002	421	421	no	409 405 530 419 [[421]] 414 48 405 24
270	48002	414	414	no	405 530 419 421 [[414]] 48 405 24 419
271	48002	48	48	no	530 419 421 414 [[48]] 405 24 419 405
272	48002	405	405	no	419 421 414 48 [[405]] 24 419 405 39
273	48002	24	24	no	421 414 48 405 [[24]] 419 405 39
274	48002	419	419	no	414 48 405 24 [[419]] 405 39
275	48002	405	405	no	48 405 24 419 [[405]] 39
276	48002	39	39	no	405 24 419 405 [[39]]
277	48003	401	401	no	[[401]] 405 44 912 2
278	48003	405	405	no	401 [[405]] 44 912 2 49
279	48003	44	44	no	401 405 [[44]] 912 2 49 401
280	48003	912	912	no	401 405 44 [[912]] 2 49 401 48
281	48003	2	2	no	401 405 44 912 [[2]] 49 401 48 419
282	48003	49	49	no	405 44 912 2 [[49]] 401 48 419 409
283	48003	401	401	no	44 912 2 49 [[401]] 48 419 409 411
284	48003	48	48	no	912 2 49 401 [[48]] 419 409 411 546
285	48003	419	419	no	2 49 401 48 [[419]] 409 411 546 for
286	48003	409	409	no	49 401 48 419 [[409]] 411 546 for my
287	48003	411	411	no	401 48 419 409 [[411]] 546 for my faid
288	48003	546	546	no	48 419 409 411 [[546]] for my faid 48
289	48003	48	48	no	546 for my faid [[48]] 405 400 411,
290	48003	405	405	no	for my faid 48 [[405]] 400 411,
291	48003	400	400	no	my faid 48 405 [[400]] 411,
292	48003	411,	411	no	faid 48 405 400 [[411,]]
293	48004	31	31	no	ufe this or one [[31]] 19 403 44 405,
294	48004	19	19	no	this or one 31 [[19]] 403 44 405, with
295	48004	403	403	no	or one 31 19 [[403]] 44 405, with a
296	48004	44	44	no	one 31 19 403 [[44]] 405, with a cable
297	48004	405,	405	no	31 19 403 44 [[405,]] with a cable about
