identifier	title	year	why
bim_eighteenth-century_original-papers-contain_macpherson-james_1775_2	Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. The whole arranged and published by James Macpherson. 1775: Vol 2	1775	(a) Macpherson's Original Papers 1775
bim_eighteenth-century_a-letter-to-james-macphe_rustic_1775	A letter to James Macpherson, Esq. With an address to the public, on his History of Great Britain, and his original papers. 1775	1775	(a) Macpherson's Original Papers 1775
miscellaneaauli00browgoog	Miscellanea Aulica: Faithfully Collected from Their Originals	1702	(a) Miscellanea Aulica
bim_eighteenth-century_miscellanea-aulica-or-_1702	Miscellanea aulica: or, a collection of state-treatises, never before publish'd. ... Faithfully collected from their originals, by Mr. T. Brown. 1702	1702	(a) Miscellanea Aulica
letterspapersfor01greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
pt2addletterspap01greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
lettersandpaper02gairgoog	Letters and papers, foreign and domestic, of the reign of Henry VIII, preserved in the Public Record Office, the British museum, and elsewhere in England	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspaperspt204greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspaperspt214greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspapersfor12greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspaperspt119greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspapersfor10greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
lettersandpaper07offigoog	Letters and papers, foreign and domestic, of the reign of Henry VIII : preserved in the Public Record Office, the British Museum, and elsewhere in England	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspaperspt202greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
lettersandpaper10offigoog	Letters and papers, foreign and domestic, of the reign of Henry VIII : preserved in the Public Record Office, the British Museum, and elsewhere in England	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspapersfor17greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspaperspt104greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspaperspt218greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspapersfor13lond	Letters and papers, foreign and domestic of the reign of Henry VIII /	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
letterspaperspt120greauoft	Letters and Papers, Foreign and Domestic, Henry VIII	1862	(a) Letters and Papers Henry VIII (Brewer/Gairdner)
statepaperspubli03grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
statepaperspubli07grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
statepaperspubli11grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
statepaperspubli06grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
statepaperspubli08grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
statepaperspubli04grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
statepaperspubli05grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
statepaperspubli09grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
statepaperspubli10grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	(a) State Papers Henry VIII 1830-52
corpodiplomatico09acad	Corpo diplomatico portuguez contendo os actos e relações politicas e diplomaticas de Portugal com as diversas potencias do mundo : desde o seculo XVI até os nossos dias	1862	(b) Corpo diplomatico portuguez
rikskanslerenax00akadgoog	Rikskansleren Axel Oxenstiernas skrifter och brefvexling	1888	(b) Rikskansleren Axel Oxenstiernas skrifter och brefvexling
rikskanslerenax00palagoog	Rikskansleren Axel Oxenstiernas skrifter och brefvexling	1897	(b) Rikskansleren Axel Oxenstiernas skrifter och brefvexling
rikskanslerenax00styfgoog	Rikskansleren Axel Oxenstiernas skrifter och brefvexling	1888	(b) Rikskansleren Axel Oxenstiernas skrifter och brefvexling
rikskanslerenax03akadgoog	Rikskansleren Axel Oxenstiernas skrifter och brefvexling	1888	(b) Rikskansleren Axel Oxenstiernas skrifter och brefvexling
rikskanslerenax01akadgoog	Rikskansleren Axel Oxenstiernas skrifter och brefvexling	1888	(b) Rikskansleren Axel Oxenstiernas skrifter och brefvexling
rikskanslerenax01palagoog	Rikskansleren Axel Oxenstiernas skrifter och brefvexling	1888	(b) Rikskansleren Axel Oxenstiernas skrifter och brefvexling
rikskanslerenax01styfgoog	Rikskansleren Axel Oxenstiernas skrifter och brefvexling	1895	(b) Rikskansleren Axel Oxenstiernas skrifter och brefvexling
rikskanslerenax02akadgoog	Rikskansleren Axel Oxenstiernas skrifter och brefvexling	1888	(b) Rikskansleren Axel Oxenstiernas skrifter och brefvexling
bub_gb_h40hAQAAMAAJ	Documente privitoare la istoria românilor, culese de Eudoxiu de Hurmuzaki	1876	(b) Hurmuzaki Documente privitoare la istoria Romanilor
00112255bsb	Documente privitóre la istoria românilor: culese de Eudoxin de Hurmuzaki ; culese, adnotate şi publicate de Nic. Densuşianu. 9,1: Volumul 9., partea 1., 1650-1747	1897	(b) Hurmuzaki Documente privitoare la istoria Romanilor
11797073bsb	Documente privitóre la istoria românilor: culese de Eudoxin de Hurmuzaki ; culese, adnotate şi publicate de Nic. Densuşianu. 9,1	1897	(b) Hurmuzaki Documente privitoare la istoria Romanilor
00111907bsb	Documente privitóre la istoria românilor: culese de Eudoxin de Hurmuzaki ; culese, adnotate şi publicate de Nic. Densuşianu. 2,1: Volumul 2., partea 1., 1451-1575	1891	(b) Hurmuzaki Documente privitoare la istoria Romanilor
jbc.bj.uj.edu.pl.NDIGORP055576	Acta Tomiciana. T. 12	1540	(b) Acta Tomiciana
jbc.bj.uj.edu.pl.NDIGORP055567	Acta Tomiciana. T. 2	1540	(b) Acta Tomiciana
acta-tomiciana	Acta Tomiciana	1500	(b) Acta Tomiciana
jbc.bj.uj.edu.pl.NDIGORP055571	Acta Tomiciana. T. 7	1540	(b) Acta Tomiciana
jbc.bj.uj.edu.pl.NDIGORP055578	Acta Tomiciana. T. 14	1540	(b) Acta Tomiciana
jbc.bj.uj.edu.pl.NDIGORP055574	Acta Tomiciana. T. 10	1540	(b) Acta Tomiciana
jbc.bj.uj.edu.pl.NDIGORP055570	Acta Tomiciana. T. 6	1540	(b) Acta Tomiciana
jbc.bj.uj.edu.pl.NDIGORP055569	Acta Tomiciana. T. 5	1540	(b) Acta Tomiciana
jbc.bj.uj.edu.pl.NDIGORP055572	Acta Tomiciana. T. 8	1540	(b) Acta Tomiciana
jbc.bj.uj.edu.pl.NDIGORP056094	Acta Tomiciana. T. 18	1540	(b) Acta Tomiciana
politischecorres181freduoft	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres182freduoft	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres16freduoft	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres20fred	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres17freduoft	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres15fred	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres22freduoft	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres21freduoft	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres13freduoft	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
politischecorres25fred	Politische Correspondenz Friedrichs des Grossen	1879	(b) Politische Correspondenz Friedrichs des Grossen (sample 10 vols)
correspondancede03phil	Correspondance de Philippe II sur les affaires des Pays-Bas [1558-1577] pub. d'après les originaux conservés dans les archives royales de Simancas, précédée d'une notice historique et descriptive de ce célèbre dépôt et d'un rapport à M. le ministre de l'intérieur ; par M. Gachard	1848	(b) Gachard's Correspondance de Philippe II sur les affaires des Pays-Bas
correspondancede02phil	Correspondance de Philippe II sur les affaires des Pays-Bas [1558-1577] pub. d'après les originaux conservés dans les archives royales de Simancas, précédée d'une notice historique et descriptive de ce célèbre dépôt et d'un rapport à M. le ministre de l'intérieur ; par M. Gachard	1848	(b) Gachard's Correspondance de Philippe II sur les affaires des Pays-Bas
correspondancede01phil	Correspondance de Philippe II sur les affaires des Pays-Bas [1558-1577] pub. d'après les originaux conservés dans les archives royales de Simancas, précédée d'une notice historique et descriptive de ce célèbre dépôt et d'un rapport à M. le ministre de l'intérieur ; par M. Gachard	1848	(b) Gachard's Correspondance de Philippe II sur les affaires des Pays-Bas
correspondancede05phil	Correspondance de Philippe II sur les affaires des Pays-Bas [1558-1577] pub. d'après les originaux conservés dans les archives royales de Simancas, précédée d'une notice historique et descriptive de ce célèbre dépôt et d'un rapport à M. le ministre de l'intérieur ; par M. Gachard	1848	(b) Gachard's Correspondance de Philippe II sur les affaires des Pays-Bas
correspondancede04phil	Correspondance de Philippe II sur les affaires des Pays-Bas [1558-1577] pub. d'après les originaux conservés dans les archives royales de Simancas, précédée d'une notice historique et descriptive de ce célèbre dépôt et d'un rapport à M. le ministre de l'intérieur ; par M. Gachard	1848	(b) Gachard's Correspondance de Philippe II sur les affaires des Pays-Bas
correspondancede01will	Correspondance de Guillaume le Taciturne, prince d'Orange, publiée pour la première;	1850	(b) Correspondance de Guillaume le Taciturne
correspondanced09willgoog	Correspondance de Guillaume le Taciturne, prince d'Orange, publiée pour la première fois [microform] : suivie de pièces inédites sur l'assassinat de ce prince et sur les récompenses accordées par Philippe II à la famille de Balthazar Gérard	1850	(b) Correspondance de Guillaume le Taciturne
correspondanced01willgoog	Correspondance de Guillaume le Taciturne, prince d'Orange, publiée pour la première fois; suivie de pièces inédites sur l'assassinat de ce prince et sur les récompenses accordées par Philippe II à la famille de Balthazar Gérard;	1847	(b) Correspondance de Guillaume le Taciturne
correspondancede03will	Correspondance de Guillaume le Taciturne, prince d'Orange, publiée pour la première;	1850	(b) Correspondance de Guillaume le Taciturne
correspondanced00willgoog	Correspondance de Guillaume le taciturne, suivie de pièces inédites sur l'assassinat de ce ...	1866	(b) Correspondance de Guillaume le Taciturne
lettresetnegocia01witt	Lettres et negociations entre Mr. Jean de Witt ... et Messieurs les plenipotentiaires des Provinces Unies des Pais-Bas : aux cours de France, d'Angleterre, de Suede, de Danemarc, de Pologne &c. : depuis l'année 1652. jusqu'à l'an 1669. inclus.	1725	(b) Lettres et negociations de Jean de Witt
lettresetnegocia02witt	Lettres et negociations entre Mr. Jean de Witt ... et Messieurs les plenipotentiaires des Provinces Unies des Pais-Bas : aux cours de France, d'Angleterre, de Suede, de Danemarc, de Pologne &c. : depuis l'année 1652. jusqu'à l'an 1669. inclus.	1725	(b) Lettres et negociations de Jean de Witt
lettresetnegocia03witt	Lettres et negociations entre Mr. Jean de Witt ... et Messieurs les plenipotentiaires des Provinces Unies des Pais-Bas : aux cours de France, d'Angleterre, de Suede, de Danemarc, de Pologne &c. : depuis l'année 1652. jusqu'à l'an 1669. inclus.	1725	(b) Lettres et negociations de Jean de Witt
lettresetnegocia04witt	Lettres et negociations entre Mr. Jean de Witt ... et Messieurs les plenipotentiaires des Provinces Unies des Pais-Bas : aux cours de France, d'Angleterre, de Suede, de Danemarc, de Pologne &c. : depuis l'année 1652. jusqu'à l'an 1669. inclus.	1725	(b) Lettres et negociations de Jean de Witt
bub_gb_HyfTxXjGJPAC	Lettres et negociations entre Mr. Jean de Witt, conseiller pensionnaire & garde des sceaux des Provices de Hollande et de WestFrise. Et messieurs les plenipotentiaires des provinces unies des PaisBas. Aux cours de France, d'Angleterre, de Suede, de Danemarc, de Pologne & c. Depuis l'Année 1652. jusqu'à l'an 1669. inclus. Tradu	1725	(b) Lettres et negociations de Jean de Witt
ArchivioVeneto39	Archivio veneto	1890	(b) Archivio veneto (sample volumes)
nuovoarchiviove00venegoog	Nuovo archivio veneto	1891	(b) Archivio veneto (sample volumes)
ArchivioVeneto30	Archivio veneto	1885	(b) Archivio veneto (sample volumes)
ArchivioVeneto32	Archivio veneto	1886	(b) Archivio veneto (sample volumes)
ArchivioVeneto24	Archivio veneto	1882	(b) Archivio veneto (sample volumes)
ArchivioVeneto26	Archivio veneto	1883	(b) Archivio veneto (sample volumes)
iteatrimusicali00wielgoog	I teatri musicali veneziani del settecento; catalogo delle opere in musica rappresentate nel secolo XVIII in Venezia (1701-1800) con prefazione dell' autore. (Estratto dall' Archivio veneto 1891-'97)	1897	(b) Archivio veneto (sample volumes)
NuovoArchivioVeneto12	Nuovo archivio veneto	1896	(b) Archivio veneto (sample volumes)
indarchiviostori2130sociuoft	Archivio storico lombardo	1874	(b) Archivio storico lombardo (sample volumes)
indarchiviostori120sociuoft	Archivio storico lombardo	1874	(b) Archivio storico lombardo (sample volumes)
archiviostoricol01sociuoft	Archivio storico lombardo	1874	(b) Archivio storico lombardo (sample volumes)
archiviostoricol2130cava	Archivio storico lombardo	1874	(b) Archivio storico lombardo (sample volumes)
archiviostoricol44sociuoft	Archivio storico lombardo	1874	(b) Archivio storico lombardo (sample volumes)
archiviostoricol19sociuoft	Archivio storico lombardo	1874	(b) Archivio storico lombardo (sample volumes)
archiviostoricol41sociuoft	Archivio storico lombardo	1874	(b) Archivio storico lombardo (sample volumes)
archiviostorico39lombgoog	Archivio storico lombardo	1874	(b) Archivio storico lombardo (sample volumes)
archiviostoricop44rdepuoft	Archivio storico per le province napoletane	1876	(b) Archivio storico per le province napoletane (sample volumes)
archiviostoricop24rdepuoft	Archivio storico per le province napoletane	1876	(b) Archivio storico per le province napoletane (sample volumes)
archiviostoricop45rdepuoft	Archivio storico per le province napoletane	1876	(b) Archivio storico per le province napoletane (sample volumes)
archiviostoricop25rdepuoft	Archivio storico per le province napoletane	1876	(b) Archivio storico per le province napoletane (sample volumes)
archiviostorico68patrgoog	Archivio storico per le province napoletane	1876	(b) Archivio storico per le province napoletane (sample volumes)
archiviostoricop27rdepuoft	Archivio storico per le province napoletane	1876	(b) Archivio storico per le province napoletane (sample volumes)
miscellaneadisto13rdepuoft	MIscellanea di storia italiana. 3a serie		(b) Miscellanea di storia italiana (sample volumes)
s3miscellaneadis09rdepuoft	MIscellanea di storia italiana. 3a serie		(b) Miscellanea di storia italiana (sample volumes)
MiscellaneaDiStoriaItaliana33	Miscellanea di storia italiana	1895	(b) Miscellanea di storia italiana (sample volumes)
miscellaneadist01lombgoog	Miscellanea di storia italiana	1862	(b) Miscellanea di storia italiana (sample volumes)
MiscellaneaDiStoriaItaliana35	Miscellanea di storia italiana	1898	(b) Miscellanea di storia italiana (sample volumes)
s3miscellaneadis07rdepuoft	MIscellanea di storia italiana. 3a serie		(b) Miscellanea di storia italiana (sample volumes)
recueildesinstr09diplgoog	Recueil des instructions données aux ambassadeurs et ministres de France depuis les traités de Westphalie jusqu'à la révolution française;	1884	(b) Recueil des instructions donnees aux ambassadeurs (sample)
recueildesinstr04diplgoog	Recueil des instructions données aux ambassadeurs et ministres de France depuis les traités de Westphalie jusqu'à la révolution française;	1884	(b) Recueil des instructions donnees aux ambassadeurs (sample)
recueildesinstr01diplgoog	Recueil des instructions données aux ambassadeurs et ministres de France depuis les traités de ...	1899	(b) Recueil des instructions donnees aux ambassadeurs (sample)
recueildesinstr00trgoog	Recueil des instructions données aux ambassadeurs et ministres de France depuis les traités de Westphalie jusqu'à la révolution française;	1884	(b) Recueil des instructions donnees aux ambassadeurs (sample)
recueildesinstr07diplgoog	Recueil des instructions données aux ambassadeurs et ministres de France depuis les traités de Westphalie jusqu'à la révolution française;	1884	(b) Recueil des instructions donnees aux ambassadeurs (sample)
recueildesinstr04frangoog	Recueil des instructions données aux ambassadeurs et ministres de France / .30,., Suisse. .1,., Les XIII cantons / avec une introduction générale et des notes par Georges Livet	1983	(b) Recueil des instructions donnees aux ambassadeurs (sample)
recueildesinstr08diplgoog	Recueil des instructions données aux ambassadeurs et ministres de France depuis les traités de Westphalie jusqu'à la révolution française;	1884	(b) Recueil des instructions donnees aux ambassadeurs (sample)
sc_0000914511_00000001011417	Recueil des instructions données aux ambassadeurs et ministres de France depuis les traités de Westphalie jusqu'à la Révolution française 8, Russie 1, Des origines jusqu'à 1748	1890	(b) Recueil des instructions donnees aux ambassadeurs (sample)
miscellaneoussta01harduoft	Miscellaneous state papers : From 1501 to 1726	1778	(a) Hardwicke Miscellaneous State Papers 1778, retry
miscellaneoussta02harduoft	Miscellaneous state papers : From 1501 to 1726	1778	(a) Hardwicke Miscellaneous State Papers 1778, retry
miscellaneousst00hardgoog	Miscellaneous state papers : From 1501-1726	1778	(a) Hardwicke Miscellaneous State Papers 1778, retry
cihm_35666	Miscellaneous state papers from 1501 to 1726 [microform]	1778	(a) Hardwicke Miscellaneous State Papers 1778, retry
cihm_35667	Miscellaneous state papers from 1501 to 1726 [microform]	1778	(a) Hardwicke Miscellaneous State Papers 1778, retry
statepaperslette01sadluoft	The state papers and letters. Edited by Arthur Clifford. To which is added, a memoir of the life of Sir Ralph Sadler, with historical notes	1809	(a) Sadler State Papers, retry
statepaperslette02sadl	The state papers and letters of Sir Ralph Sadler	1809	(a) Sadler State Papers, retry
CalendarOfStatePapersRelatingToScotlandAndMaryQueenOfScotsVolume13Part115971599	Calendar Of State Papers Relating To Scotland And Mary, Queen Of Scots, Volume 13, Part 1 ( 1597 1599)	1969	(a) CSP Scotland (Bain), retry
calendarofstatep0008vari	Calendar of state papers relating to scotland and Mary, Queen of Scots 1547-1603	1969	(a) CSP Scotland (Bain), retry
calendarofstuart01greauoft	Calendar of the Stuart papers belonging to His Majesty the King, preserved at Windsor Castle	1902	(a) HMC Stuart Papers, retry
calendarofmanusc03greauoft	Calendar of the Stuart papers belonging to His Majesty the King, preserved at Windsor Castle	1902	(a) HMC Stuart Papers, retry
calendarofstuart01grea	Calendar of the Stuart papers belonging to His Majesty the king, preserved at Windsor castle ..	1902	(a) HMC Stuart Papers, retry
stuartpaperswind56greauoft	Calendar of the Stuart papers belonging to His Majesty the King, preserved at Windsor Castle	1902	(a) HMC Stuart Papers, retry
calendarofstuart06grea	Calendar of the Stuart papers belonging to His Majesty the king, preserved at Windsor castle ..	1902	(a) HMC Stuart Papers, retry
calendarofstuart07grea	Calendar of the Stuart papers belonging to His Majesty the king, preserved at Windsor castle ..	1902	(a) HMC Stuart Papers, retry
calendarofstuart02grea	Calendar of the Stuart papers belonging to His Majesty the king, preserved at Windsor castle ..	1902	(a) HMC Stuart Papers, retry
dukeportlandman03greauoft	The manuscripts of His Grace the Duke of Portland, preserved at Welbeck abbey ..	1891	(a) HMC Portland, retry
manuscriptshisg08wardgoog	The manuscripts of His Grace the Duke of Portland, preserved at Welbeck abbey ..	1891	(a) HMC Portland, retry
manuscriptsofhis01grea	The manuscripts of His Grace the Duke of Portland, preserved at Welbeck abbey	1899	(a) HMC Portland, retry
manuscriptshisg01wardgoog	The manuscripts of His Grace the Duke of Portland: preserved at Welbeck abbey	1907	(a) HMC Portland, retry
manuscriptsofhis03grea	The manuscripts of His Grace the Duke of Portland, preserved at Welbeck abbey ..	1891	(a) HMC Portland, retry
dukeportlandwelb01greauoft	The manuscripts of His Grace the Duke of Portland, preserved at Welbeck abbey ..	1891	(a) HMC Portland, retry
manuscriptsofhis06grea	The manuscripts of His Grace the Duke of Portland, preserved at Welbeck abbey	1899	(a) HMC Portland, retry
manuscriptsofhis02greauoft	The manuscripts of His Grace the Duke of Portland, preserved at Welbeck abbey ..	1891	(a) HMC Portland, retry
monumentahungar09unkngoog	Monumenta Hungariae historica. 2. osztály, Irók	1857	(b) Monumenta Hungariae Historica, retry
monumentahungar10bizogoog	Monumenta Hungariae historica = Magyar történelmi emlékek. Második osztály, Irók	1857	(b) Monumenta Hungariae Historica, retry
monumentahungar21akadgoog	Monumenta hungariae historica. Magyar történelmi emlékek. 3. osztály. A, Magyar országgyülési emlékek	1874	(b) Monumenta Hungariae Historica, retry
monumentahungar05unkngoog	Monumenta Hungariae historica. 2. osztály, Irók	1866	(b) Monumenta Hungariae Historica, retry
monumentahungar11bizogoog	Monumenta Hungariae historica = Magyar történelmi emlékek. Második osztály, Irók	1857	(b) Monumenta Hungariae Historica, retry
monumentahungar08akadgoog	Monumenta hungariae historica. Magyar történelmi emlékek. 3. osztály. A, Magyar országgyülési emlékek	1874	(b) Monumenta Hungariae Historica, retry
monumentahungar08unkngoog	Monumenta Hungariae historica. 2. osztály, Irók	1873	(b) Monumenta Hungariae Historica, retry
monumentahungar14akadgoog	Monumenta hungariae historica. Magyar történelmi emlékek. 3. osztály. A, Magyar országgyülési emlékek	1874	(b) Monumenta Hungariae Historica, retry
kroniekvanhethi00utregoog	Kroniek van het Historisch Genootschap,gevestigd te Utrecht	1872	(b) Werken van het Historisch Genootschap Kroniek, retry
kroniekvanhethi00deelgoog	Kroniek van het Historisch Genootschap,Gevestigd te Utrecht	1874	(b) Werken van het Historisch Genootschap Kroniek, retry
sim_great-britain-public-record-papers-domestic-charles-ii_1673-1675_index	Great Britain. Public Record Office. Calendar of State Papers. Domestic Series. Charles II 1673 - 1675: Index	1673	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-papers-domestic-charles-ii_1668-1669_index	Great Britain. Public Record Office. Calendar of State Papers. Domestic Series. Charles II 1668 - 1669: Index	1668	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-papers-domestic-charles-ii_1672-1673_index	Great Britain. Public Record Office. Calendar of State Papers. Domestic Series. Charles II 1672 - 1673: Index	1672	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-papers-domestic-charles-ii_1678_index	Great Britain. Public Record Office. Calendar of State Papers. Domestic Series. Charles II 1678: Index	1678	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-papers-domestic-charles-ii_january-1679-august-1680	Great Britain. Public Record Office. Calendar of State Papers. Domestic Series. Charles II January 1679-August 1680	1679	(a) supplementary CSP Domestic volumes not in round 1/2
