identifier	title	year	why
bub_gb_twgSAAAAYAAJ	Ungedruckte Briefe Albrechts von Wallenstein und Gustav Adolfs des Grossen nebst einem Anhange enthaltend Beiträge zur Geschichte des dreissigjährigen Krieges	1830	Wallenstein Briefe/Akten loosened
ungedrucktebrief00stra	Ungedruckte Briefe Albrechts von Wallenstein und Gustav Adolfs des Grossen : nebst einem Anhange enthaltend Beiträge zur Geschichte des dreissigjährigen Krieges	1830	Wallenstein Briefe/Akten loosened
ungedrucktebrie00wallgoog	Ungedruckte. Briefe Albrechts von Wallenstein und Gustav Adolfs des Grossen, nebst einem Anhange ...	1830	Wallenstein Briefe/Akten loosened
albrechtsvonwall01wall	Albrechts von Wallenstein, des Herzogs von Friedland und Mecklenburg, ungedruckte, eigenhändige vertrauliche Briefe und amtlich Schreiben aus den Jahren 1627 bis 1634 [...] : mit einer Charkteristik des Lebens und der Feldzüge Wlalenstein's	1828	Wallenstein Briefe/Akten loosened
albrechtsvonwall03wall	Albrechts von Wallenstein, des Herzogs von Friedland und Mecklenburg, ungedruckte, eigenhändige vertrauliche Briefe und amtlich Schreiben aus den Jahren 1627 bis 1634 [...] : mit einer Charkteristik des Lebens und der Feldzüge Wlalenstein's	1828	Wallenstein Briefe/Akten loosened
albrechtsvonwal04wallgoog	Albrechts von Wallenstein, des herzogs von Friedland und Mecklenburg : ungedruckte, eigenhändige vertrauliche briefe und amtliche schreiben aus den jahren 1627 bis 1634 an Arnheim (v. Arnimb) Aldringer, Gallas, Piccolomini und andere fürsten und feldherrn seiner zeit ; mit einer charakteristik des lebens und der feldzüge Wallenstein's	1828	Wallenstein Briefe/Akten loosened
albrechtsvonwal02wallgoog	Albrechts von Wallenstein ... ungedruckte, eigenhändige vertrauliche Briefe und amtliche ...	1829	Wallenstein Briefe/Akten loosened
albrechtsvonwal00wallgoog	Albrechts von Wallenstein ... ungedruckte, eigenhändige vertrauliche Briefe und amtliche ...	1829	Wallenstein Briefe/Akten loosened
albrechtsvonwall02wall	Albrechts von Wallenstein, des Herzogs von Friedland und Mecklenburg, ungedruckte, eigenhändige vertrauliche Briefe und amtlich Schreiben aus den Jahren 1627 bis 1634 [...] : mit einer Charkteristik des Lebens und der Feldzüge Wlalenstein's	1828	Wallenstein Briefe/Akten loosened
10717047bsb	Albrechts von Wallenstein, des Herzogs von Friedland und Mecklenburg, ungedruckte, eigenhändige vertrauliche Briefe und amtliche Schreiben aus den Jahren 1627 bis 1634: an Arnheim (v. Arnimb), Aldringen, Gallas, Piccolomini ... mit einer Charakteristik des Lebens und der Feldzüge Walllenstein's. 2	1829	Wallenstein Briefe/Akten loosened
wallensteineind02schigoog	Werke und Briefe Bd. 4. Wallenstein / hrsg. von Frithjof Stock	2000	Wallenstein Briefe/Akten loosened
ungedrucktebrie02wallgoog	Ungedruckte Briefe Albrechts von Wallenstein und Gustav Adolfs des grossen ...	1830	Wallenstein Briefe/Akten loosened
10404226bsb	Albrechts von Wallenstein, des Herzogs von Friedland und Mecklenburg, ungedruckte, eigenhändige vertrauliche Briefe und amtliche Schreiben aus den Jahren 1627 bis 1634: an Arnheim (v. Arnimb), Aldringen, Gallas, Piccolomini ... mit einer Charakteristik des Lebens und der Feldzüge Walllenstein's. 1	1828	Wallenstein Briefe/Akten loosened
10404229bsb	Ungedruckte Briefe Albrechts von Wallenstein und Gustav Adolfs des Großen: nebst einem Anhange enthaltend Beiträge zur Geschichte des dreißigjährigen Krieges	1830	Wallenstein Briefe/Akten loosened
heinrichmatthias00thur	Heinrich Matthias Thurn als Zeuge im Process Wallenstein. Ein Denkblatt zur dritten Säcularfeier Wallenstein's, hrsg. von Hermann Hallwich	1883	Hallwich by creator
heinrichmatthia00thurgoog	Heinrich Matthias Thurn als Zeuge im Process Wallenstein: Ein Denkblatt zur ...	1883	Hallwich by creator
wallensteinherzo00frst	Wallenstein, Herzog zu Mecklenburg, Friedland und Sagan, als Feldherr und Landesfürst in seinem ëffentlichen und Privat-leben. Eine Biographie. Nach des Herzogs eigenhändigen Briefen und aus den Acten und Urkunden der geheimen Staats-archive zu Wien, Berlin, München, und der vornehmsten Landes-archive des Königreichs Böhmen	1834	Förster by creator
albrechtsvonwal00frgoog	Albrechts von Wallenstein, des Herzogs von Friedland und Mecklenburg ...	1828	Förster by creator
dieverhandlunge02irmegoog	Die verhandlungen Schwedens und seiner verbündeten mit Wallenstein und dem Kaiser von 1631 bis 1634	1888	Irmer by creator
dieverhandlunge00irmegoog	Die verhandlungen Schwedens und seiner verbündeten mit Wallenstein und dem Kaiser von 1631 bis 1634	1888	Irmer by creator
dieverhandlunge03irmegoog	Die verhandlungen Schwedens und seiner verbündeten mit Wallenstein und dem Kaiser von 1631 bis 1634	1888	Irmer by creator
bub_gb_UBtTAAAAcAAJ	Urkunden, Aktenstücke und Briefe zur Geschichte der Anhaltischen Lande und ihrer Fürsten unter dem Drucke des dreißigjährigen Krieges 16371639	1864	Dreissigjaehriger Krieg loosened
bub_gb_XYVVAAAAcAAJ	Urkunden, Aktenstücke und Briefe zur Geschichte der Anhaltischen Lande und ihrer Fürsten unter dem Drucke des dreißigjährigen Krieges	1864	Dreissigjaehriger Krieg loosened
bub_gb_i4ZVAAAAcAAJ	Urkunden, Aktenstücke und Briefe zur Geschichte der Anhaltischen Lande und ihrer Fürsten unter dem Drucke des dreißigjährigen Krieges	1865	Dreissigjaehriger Krieg loosened
bub_gb_iWwAAAAAcAAJ	Urkunden, Aktenstücke und Briefe zur Geschichte der Anhaltischen Lande und ihrer Fürsten unter dem Drucke des dreißigjährigen Krieges nach den Archivalien auf der Herzoglichen Bibliothek zu Cöthen. ¬Bd. ¬4 ; ¬Abt. ¬1 1637 1639	1864	Dreissigjaehriger Krieg loosened
10378409bsb	Maximilian I. der Katholische, Kurfürst von Bayern und der dreißigjährige Krieg: nach den Acten und Urkunden der k. b. allgemeinen Reichs-, Staats- und Provincial-Archive	1868	Thirty Years War alt phrasing
11415122bsb	Maximilian I. der Katholische, Kurfürst von Bayern und der dreißigjährige Krieg: nach den Acten und Urkunden der k. b. allgemeinen Reichs-, Staats- und Provincial-Archive	1868	Thirty Years War alt phrasing
india.history.resource.71587	The Memoires of the Life and Actions of James Duke of Hamilton	1673	Hamilton Papers by Burnet
10278792bsb	The memoirs of the lives and actions of James and William, Dukes of Hamilton and Castle-Herald	1852	Hamilton Papers by Burnet
memoirsoflivesac00burn	The memoirs of the lives and actions of James and William, dukes of Hamilton and Castle-Herald	1852	Hamilton Papers by Burnet
theologyofsacram0000dona_d2o1	The theology of the sacraments, and other papers	1964	Nairne/Macpherson loosened
10225276bsb	Original Papers; Containing The Secret History of Great Britain, From The Restoration, To The Accession Of The House Of Hannover: To Which Are Prefixed Extracts from the Life of James II. As Written By Himself. 1	1775	Nairne/Macpherson loosened
glimpsesofchurch00macp	Glimpses of church and social life in the Highlands in olden times : and other papers	1893	Nairne/Macpherson loosened
theologyofsacram0000unse_w4a3	The theology of the sacraments, and other papers	1957	Nairne/Macpherson loosened
cihm_25154	An Account of vessels arrived at Quebec in the year 1798 [microform] : (as found among the papers of the late Chief Justice Jonathan Sewell, and presented to the Quebec Exchange in 1863, by his son, Revd. E.W. Sewell)	1882	Nairne/Macpherson loosened
10225277bsb	Original Papers; Containing The Secret History of Great Britain, From The Restoration, To The Accession Of The House Of Hannover: To Which Are Prefixed Extracts from the Life of James II. As Written By Himself. 2	1775	Nairne/Macpherson loosened
india.history.resource.78873	Original Papers; containing the Secret History of Great Britain, from the Restoration to the accession of the House of Hannover; to which are prefixed extracts from the Life of James II., 2nd ed., in Two Volumes, Vol. I	1776	Nairne/Macpherson loosened
india.history.resource.72279	Original Papers containing the Secret History of Great Britain from the Restoration to the accession of the House of Hannover; to which are prefixed Extracts from the Life of James II., 2nd ed., Vol. II	1776	Nairne/Macpherson loosened
accountofvessels00sewe	An Account of vessels arrived at Quebec in the year 1793 : (as found among the papers of the late Chief Justice Jonathan Sewell, and presented to the Quebec Exchange in 1863, by his son, Revd. E.W. Sewell)	1882	Nairne/Macpherson loosened
originalpapersco02macp	Original papers, containing the secret history of Great Britain from the Restoration, to the accession of the House of Hannover : to which are prefixed extracts from the life of James II as written by himself	1775	Nairne/Macpherson loosened
10722671bsb	Original Papers; Containing The Secret History of Great Britain, From The Restoration, To The Accession Of The House Of Hannover: To Which Are Prefixed Extracts from the Life of James II. As Written By Himself. 1	1776	Nairne/Macpherson loosened
10722672bsb	Original Papers; Containing The Secret History of Great Britain, From The Restoration, To The Accession Of The House Of Hannover: To Which Are Prefixed Extracts from the Life of James II. As Written By Himself. 2	1776	Nairne/Macpherson loosened
cihm_13463	An Account of vessels arrived at Quebec in the year 1798 [microform] : (as found among the papers of the late Chief Justice Jonathan Sewell, and presented to the Quebec Exchange in 1863, by his son, Revd. E.W. Sewell)	1882	Nairne/Macpherson loosened
loyalldissuasive00macp	The loyall dissuasive, and other papers concerning the affairs of clan Chattan:	1902	Nairne/Macpherson loosened
loyalldissuasiv00macpgoog	The Loyall Dissuasive: And Other Papers Concerning the Affairs of Clan Chattan	1902	Nairne/Macpherson loosened
originalpapersco01macp	Original papers, containing the secret history of Great Britain from the Restoration, to the accession of the House of Hannover : to which are prefixed extracts from the life of James II as written by himself	1775	Nairne/Macpherson loosened
theologyofsacram0000bail	The theology of the sacraments, and other papers	1957	Nairne/Macpherson loosened
courttimesofchar01birc	The court and times of Charles the First : containing a series of historical and confidential letters, including memoirs of the mission in England of the Capuchin friars in the service of Henrietta Maria, and a variety of other particulars not mentioned by our historians	1849	Henrietta Maria letters loosened
charlesiinlette00chargoog	Charles I. in 1646: Letters of King Charles the First to Queen Henrietta Maria	1856	Henrietta Maria letters loosened
trent_0116401962349_63	Charles I. in 1646. Letters of King Charles the First to Queen Henrietta Maria	1968	Henrietta Maria letters loosened
courtandtimesch02willgoog	The court and times of Charles the First; illustrated by authentic and confidential letters, from various public and private collections; including Memoirs of the mission in England of the Capuchin friars in the service of Queen Henrietta Maria	1848	Henrietta Maria letters loosened
courttimesofchar02birc	The court and times of Charles the First : containing a series of historical and confidential letters, including memoirs of the mission in England of the Capuchin friars in the service of Henrietta Maria, and a variety of other particulars not mentioned by our historians	1849	Henrietta Maria letters loosened
bub_gb_YtxSAAAAcAAJ	The court and times of Charles the First; illustrated by authentic and confidential letters, from various public and private collections; including Memoirs of the mission in England of the Capuchin friars in the service of Queen Henrietta Maria	1848	Henrietta Maria letters loosened
charlesiin1646le00chariala	Charles I. in 1646. Letters of King Charles the First to Queen Henrietta Maria	1856	Henrietta Maria letters loosened
courtandtimesch01willgoog	The court and times of Charles the First; illustrated by authentic and confidential letters, from various public and private collections; including Memoirs of the mission in England of the Capuchin friars in the service of Queen Henrietta Maria	1848	Henrietta Maria letters loosened
courtandtimesch00willgoog	The court and times of Charles the First; illustrated by authentic and confidential letters, from various public and private collections; including Memoirs of the mission in England of the Capuchin friars in the service of Queen Henrietta Maria	1848	Henrietta Maria letters loosened
charlottedorothe00bieh	Charlotte Dorothea Biehl's breve om kong Christian VII. Udgivne efter originalerne af L. Bobé	1901	Christian IV Breve loosened
kongchristianden01molb	Kong Christian den Fierdes egenhændige Breve, Befalinger og Statsskrivelser til Rigsraadet: første Bind 1596-1631	1848	Christian IV Breve loosened
bub_gb_7c1AAAAAIAAJ	Handlingar rörande Sveriges äldre nyare och nyaste historia ; samt historiska personer	1831	Historiska handlingar loosened
handlingarrrand00adlegoog	Handlingar rörande Sveriges äldre : nyare och nyaste historia ; samt historiska personer	1830	Historiska handlingar loosened
handlingarrrand02adlegoog	Handlingar rörande Sveriges äldre : nyare och nyaste historia ; samt historiska personer	1830	Historiska handlingar loosened
bidragtillskand04styfgoog	Bidrag till Skandinaviens historia ur utländska arkiver	1859	Skandinaviens historia loosened
bidragtillskand00styfgoog	Bidrag till Skandinaviens historia ur utländska arkiver	1859	Skandinaviens historia loosened
bidragtillskand02styfgoog	Bidrag till Skandinaviens historia ur utländska arkiver	1864	Skandinaviens historia loosened
bidragtillskand01styfgoog	Bidrag till Skandinaviens historia ur utländska arkiver	1859	Skandinaviens historia loosened
bidragtillskand03styfgoog	Bidrag till Skandinaviens historia ur utländska arkiver	1859	Skandinaviens historia loosened
