line	sign	truth
r016	79	d
r016	85	e
r016	37	u
r016	6	o
r016	38	u
r016	87	f
r016	61	a
r016	72	c
r016	73	c
r016	6	o
r016	118	m
r016	117	m
r016	8	o
r016	77	d
r016	82	e
r016	21	r
r016	79	d
r016	82	e
r016	81	e
r016	31	t
r016	61	a
r016	7	o
r016	33	t
r016	23	r
r016	21	r
r016	27	s
r016	2	n
r016	83	e
r016	72	c
r016	84	e
r016	27	s
r016	28	s
r016	104	i
r016	32	t
r016	83	e
r016	28	s
r021	85	e
r021	27	s
r021	12	p
r021	83	e
r021	22	r
r021	63	a
r021	2	n
r021	31	t
r021	62	a
r021	39	u
r021	28	s
r021	26	s
r021	52	y
r021	78	d
r021	53	y
r021	63	a
r021	113	l
r021	112	l
r021	82	e
r021	23	r
r021	120	m
r021	7	o
r021	54	y
r021	120	m
r021	82	e
r021	27	s
r021	109	k
r021	83	e
r021	104	i
r021	83	e
r021	27	s
r021	38	u
r021	104	i
r021	27	s
r021	119	m
r021	63	a
r021	22	r
r021	24	r
r021	105	i
r021	17	q
r021	83	e
r021	84	e
r021	114	l
r021	82	e
r021	27	s
r021	90	f
r021	22	r
r021	62	a
r021	2	n
r021	72	c
r021	100	h
r021	6	o
r021	51	y
r021	27	s
r021	2	n
r021	83	e
r021	24	r
r021	9	o
r021	2	n
r021	32	t
r021	23	r
r021	3	n
r021	77	d
r021	5	n
r021	102	i
r021	23	r
r021	84	e
r021	29	s
r021	38	u
r021	81	e
r021	2	n
r021	37	u
r021	89	f
r021	104	i
r021	58	z
r021	26	s
r021	16	q
r021	36	u
r021	82	e
r021	27	s
r021	64	a
r021	38	u
r021	8	o
r021	37	u
r021	20	q
r021	117	m
r021	84	e
r021	78	d
r021	9	o
r021	58	z
r021	69	b
r021	32	t
r021	61	a
r021	2	n
r021	33	t
r021	17	q
r021	58	z
r021	81	e
r021	77	d
r021	8	o
r021	38	u
r021	61	a
r021	2	n
r021	33	t
r021	113	l
r021	85	e
r021	37	u
r021	21	r
r021	64	a
r021	22	r
r021	11	p
r021	38	u
r021	81	e
r021	83	e
r021	38	u
r021	8	o
r021	30	s
r021	29	s
r021	83	e
r021	26	s
r021	31	t
r021	82	e
r021	29	s
r021	12	p
r021	61	a
r021	22	r
r021	31	t
r021	53	y
r021	81	e
r021	31	t
r021	18	q
r021	37	u
r021	105	i
r021	114	l
r021	57	z
r021	27	s
r021	6	o
r021	102	i
r021	81	e
r021	2	n
r021	31	t
r021	70	b
r021	61	a
r021	113	l
r021	102	i
r021	70	b
r021	83	e
r021	22	r
r021	84	e
r021	98	h
r021	78	d
r021	81	e
r021	38	u
r021	84	e
r021	37	u
r021	27	s
r021	28	s
r021	37	u
r021	102	i
r021	38	u
r021	21	r
r021	81	e
r021	105	i
r021	113	l
r021	94	g
r021	2	n
r021	81	e
r021	114	l
r021	37	u
r021	22	r
r021	21	r
r021	8	o
r021	2	n
r021	31	t
r021	12	p
r021	62	a
r021	20	q
r021	27	s
r021	81	e
r021	22	r
r021	26	s
r021	62	a
r021	1	n
r021	27	s
r021	74	c
r021	6	o
r021	37	u
r021	21	r
r021	109	k
r021	22	r
r021	16	q
r021	37	u
r021	81	e
r021	113	l
r021	7	o
r021	38	u
r021	81	e
r021	35	t
r021	21	r
r021	61	a
r021	2	n
r021	76	d
r021	79	d
r021	61	a
r021	1	n
r021	94	g
r021	105	i
r021	81	e
r021	21	r
r021	16	q
r021	37	u
r021	102	i
r021	27	s
r021	81	e
r021	22	r
r021	6	o
r021	78	d
r021	8	o
r021	117	m
r021	106	k
r021	61	a
r021	104	i
r021	94	g
r021	81	e
r021	13	p
r021	6	o
r021	38	u
r021	11	p
r021	85	e
r021	37	u
r021	112	l
r021	18	q
r021	82	e
r021	31	t
r021	3	n
r021	8	o
r021	37	u
r021	26	s
r021	37	u
r021	101	i
r021	81	e
r021	11	p
r021	77	d
r021	21	r
r021	6	o
r021	102	i
r021	31	t
r021	116	m
r021	62	a
r021	13	p
r021	01	n
r021	12	p
r021	20	q
r021	8	o
r021	14	p
r021	9	o
r021	27	s
r021	12	p
r021	1	n
r021	8	o
r021	12	p
r021	105	i
r021	113	l
r021	114	l
r021	81	e
r021	87	f
r021	62	a
r021	37	u
r021	113	l
r021	31	t
r021	22	r
r021	81	e
r021	120	m
r021	82	e
r021	72	c
r021	37	u
r021	22	r
r021	81	e
r021	62	a
r021	76	d
r021	105	i
r021	81	e
r021	30	s
r021	82	e
r021	31	t
r021	26	s
r021	61	a
r021	61	a
r021	105	i
r021	5	n
r021	76	d
r021	81	e
r021	22	r
r021	78	d
r021	37	u
r021	1	n
r021	114	l
r021	101	i
r021	81	e
r021	37	u
r021	112	l
r021	14	p
r021	16	q
r021	70	b
r021	6	o
r021	2	n
r021	12	p
r021	81	e
r021	37	u
r021	112	l
r021	31	t
r031	16	q
r031	37	u
r031	61	a
r031	2	n
r031	32	t
r031	63	a
r031	81	e
r031	51	y
r031	3	n
r031	76	d
r031	100	h
r031	6	o
r031	38	u
r031	84	e
r031	4	n
r031	2	n
r031	83	e
r031	2	n
r031	84	e
r031	87	f
r031	64	a
r031	34	t
r031	113	l
r031	77	d
r031	21	r
r031	6	o
r031	38	u
r031	84	e
r031	76	d
r031	85	e
r031	65	a
r031	115	l
r031	114	l
r031	84	e
r031	87	f
r031	64	a
r031	39	u
r031	113	l
r031	77	d
r031	21	r
r031	72	c
r031	8	o
r031	116	m
r031	118	m
r031	82	e
r031	37	u
r031	27	s
r031	28	s
r031	51	y
r031	104	i
r031	81	e
r031	85	e
r031	82	e
r031	22	r
r031	6	o
r031	105	i
r031	27	s
r031	6	o
r031	27	s
r031	82	e
r031	12	p
r031	113	l
r031	37	u
r031	26	s
r031	92	g
r031	23	r
r031	61	a
r031	2	n
r031	77	d
r031	81	e
r031	101	i
r031	27	s
r031	2	n
r031	8	o
r031	58	z
r031	87	f
r031	7	o
r031	28	s
r031	71	c
r031	82	e
r031	27	s
r031	2	n
r031	77	d
r031	82	e
